method,city,throughput_rate,accept_rate,latency_mean,delivery_route_efficiency,agent_completed_gini,mean_congestion,mean_bpr_along_route,total_fleet_distance_m,wallclock_ms,compute_time_per_task_ms
FaithfulCongestionAware,Kyoto_Small,0.39616851000000003,1.0,824.2852333333334,0.0,0.16197532,4.4263650000000005,1.0,66337.52333333333,89176.43333333333,795.051
FaithfulMAPPER,Kyoto_Small,0.9107466666666667,1.0,484.4993266666667,0.88857,0.29043,4.41425,4.980049999999999,127009.44830333332,6010.266666666666,54.558346666666665
Hybrid,Kyoto_Small,0.9054166666666666,1.0,462.52614,0.8927866666666667,0.2702333333333333,4.41431,4.832883333333334,127449.85443,3712.9,29.93604666666667
HybridAdaptivePredictive,Kyoto_Small,0.4087049333333333,1.0,973.5223666666667,0.0,0.21059096,4.429062666666667,1.0,62855.136666666665,319562.0333333333,2985.6110000000003
IPPO,Kyoto_Small,0.9038033333333333,1.0,461.98117333333334,0.8906633333333334,0.27554666666666666,4.414406666666667,4.95067,126893.26549666666,4300.566666666667,37.251796666666664
MAPPO,Kyoto_Small,0.7875733333333335,1.0,641.3624266666667,0.8730466666666666,0.32667666666666667,4.42327,5.074533333333334,108603.47748,21250.433333333334,217.75711
TokenPassing,Kyoto_Small,0.4795,1.0,718.72507,0.9145766666666667,0.24527,4.467526666666667,4.952383333333334,47736.01451666667,73874.5,563.0669633333333
FaithfulCongestionAware,LosAngeles_Small,0.38869323333333333,1.0,858.1146666666667,0.0,0.17589774666666666,4.454303666666667,1.0,66984.33,145076.0,1331.9747666666667
FaithfulMAPPER,LosAngeles_Small,0.8980233333333333,1.0,497.88088,0.8858133333333335,0.2771866666666667,4.4456999999999995,4.1493899999999995,123758.38567666667,8204.7,76.17417666666667
Hybrid,LosAngeles_Small,0.88983,1.0,477.45073666666667,0.8927399999999999,0.26607333333333333,4.446136666666667,4.289316666666667,123195.96758,5399.3,45.04123666666666
HybridAdaptivePredictive,LosAngeles_Small,0.38776990000000006,1.0,959.9724333333334,0.0,0.21010983333333333,4.456476666666667,1.0,63330.69999999999,713483.2999999999,6724.225000000001
IPPO,LosAngeles_Small,0.8904933333333332,1.0,490.3052666666667,0.8902199999999999,0.2759933333333333,4.445463333333333,4.437143333333333,123139.87108333333,6725.333333333333,54.52993333333334
MAPPO,LosAngeles_Small,0.73563,1.0,693.4339366666667,0.8715466666666667,0.3126466666666667,4.4521766666666664,4.41097,100292.49647666665,34370.73333333333,342.7266233333333
TokenPassing,LosAngeles_Small,0.45656333333333327,1.0,726.81892,0.9026366666666666,0.25114333333333333,4.482906666666667,4.69072,45778.93151333334,100460.16666666667,782.5119500000001
FaithfulCongestionAware,NewYork_Small,0.3867065,1.0,829.2487666666666,0.0,0.17436696,4.4649209999999995,1.0,64534.71666666667,176317.9,1619.3560666666665
FaithfulMAPPER,NewYork_Small,0.8707033333333333,1.0,486.49183,0.8771333333333334,0.29000333333333334,4.45602,5.02693,120986.20287,12979.699999999999,119.81846666666667
Hybrid,NewYork_Small,0.8859633333333333,1.0,470.6232366666666,0.8764200000000001,0.2878,4.45637,4.74726,121001.52969,8936.033333333333,73.19812666666667
HybridAdaptivePredictive,NewYork_Small,0.4020675333333334,1.0,948.8050333333334,0.0,0.19541038333333335,4.467027666666667,1.0,62407.94,798384.2333333334,7552.303666666667
IPPO,NewYork_Small,0.8870533333333334,1.0,479.4521366666667,0.87539,0.29778,4.45649,5.120263333333334,122277.31816999998,9550.7,81.50444333333333
MAPPO,NewYork_Small,0.6973699999999999,1.0,693.7660500000001,0.8865266666666667,0.34746000000000005,4.4640233333333335,4.731203333333333,95100.41705666667,73509.43333333333,691.8024
TokenPassing,NewYork_Small,0.4277,1.0,756.0758266666667,0.9190133333333333,0.2993033333333333,4.487543333333334,5.05071,43904.29622,171606.56666666665,1301.7574866666666
FaithfulCongestionAware,Paris_Small,0.4151678333333333,1.0,840.6739333333334,0.0,0.16146224666666667,4.480061,1.0,64763.5,308925.1,2868.839833333333
FaithfulMAPPER,Paris_Small,0.9029766666666666,1.0,471.71541333333334,0.8525833333333334,0.2766733333333333,4.47389,4.636310000000001,117287.42670666667,14893.666666666666,136.73956333333334
Hybrid,Paris_Small,0.9080266666666666,1.0,457.38865333333337,0.8524600000000001,0.26653,4.473976666666666,5.041709999999999,116898.68373,9995.866666666667,80.64760333333334
HybridAdaptivePredictive,Paris_Small,0.41834486666666665,1.0,1010.8871,0.0,0.19657342666666666,4.480771,1.0,62382.22,1974809.2,18655.106666666667
IPPO,Paris_Small,0.8971966666666668,1.0,462.07295999999997,0.8600500000000001,0.2674366666666667,4.47361,5.208643333333334,116297.51745,12862.666666666666,105.51603
MAPPO,Paris_Small,0.78398,1.0,609.5711766666667,0.8339533333333332,0.32758333333333334,4.476576666666666,5.00744,100516.37669,53573.1,546.9780366666668
TokenPassing,Paris_Small,0.4598966666666666,1.0,733.9841,0.9097733333333333,0.25537666666666664,4.495496666666667,5.4653366666666665,42872.34466,171900.86666666667,1275.1888666666666
FaithfulCongestionAware,Tokyo_Small,0.3613132333333333,1.0,899.9124,0.0,0.18573432666666667,4.462406666666666,1.0,64801.72,165220.4,1570.7978
FaithfulMAPPER,Tokyo_Small,0.8812099999999999,1.0,502.70371,0.8773133333333334,0.2803733333333333,4.4556700000000005,4.893653333333333,117205.21081,10031.733333333334,90.64952000000001
Hybrid,Tokyo_Small,0.8823599999999999,1.0,487.90474666666665,0.8765900000000002,0.29131666666666667,4.4550833333333335,4.77105,116678.49453000001,6132.433333333333,52.48504333333333
HybridAdaptivePredictive,Tokyo_Small,0.3797877,1.0,979.4278333333335,0.0,0.20049158,4.463406666666667,1.0,62852.84666666667,837408.4333333332,8034.712666666666
IPPO,Tokyo_Small,0.88803,1.0,491.6590066666667,0.8837866666666666,0.2869466666666667,4.4548700000000006,4.681733333333333,118520.09257,7295.266666666666,63.69590333333334
MAPPO,Tokyo_Small,0.7667566666666668,1.0,650.7579666666667,0.8575466666666666,0.3315666666666666,4.45805,4.562153333333334,101391.91261666668,37713.03333333333,388.11614333333335
TokenPassing,Tokyo_Small,0.43873999999999996,1.0,758.6111099999999,0.8965866666666665,0.26735666666666663,4.486916666666667,4.42159,42076.34453333333,112467.90000000001,905.9030133333334
