method,seed,n_obs,throughput_rate,latency_mean,mean_bpr_along_route,agent_completed_gini,delivery_route_efficiency,compute_time_per_task_ms
FaithfulMAPPER,42,50,0.8895779999999999,482.47392400000007,4.481,0.28633000000000003,0.87214,100.65102199999997
FaithfulMAPPER,43,50,0.8976660000000001,494.912372,4.88793,0.282296,0.87484,94.434834
FaithfulMAPPER,44,50,0.8909520000000001,488.58840000000004,4.8428700000000005,0.280174,0.8818680000000001,91.678188
Hybrid,42,50,0.8894519999999999,465.2930799999999,4.813630000000001,0.27508999999999995,0.8781799999999998,57.244246
Hybrid,43,50,0.900574,475.19256,4.584688,0.27428199999999997,0.878344,54.59483600000001
Hybrid,44,50,0.892932,473.0504679999999,4.811013999999999,0.2798,0.8780740000000001,56.94575200000001
HybridAdaptivePredictive,42,50,0.40397004000000003,965.96112,1.0,0.198080164,0.0,8922.9204
HybridAdaptivePredictive,43,50,0.39501823999999996,1009.8476999999999,1.0,0.20750311000000005,0.0,8505.2656
HybridAdaptivePredictive,44,50,0.39901668,947.76004,1.0,0.20232243599999997,0.0,8942.989399999999
IPPO,42,50,0.891044,474.40867999999995,4.850662000000001,0.285922,0.8843279999999999,68.39503599999999
IPPO,43,50,0.8939159999999999,482.005512,4.835050000000001,0.27459799999999995,0.8782740000000001,65.28143200000001
IPPO,44,50,0.894986,474.868134,4.95336,0.281702,0.8774639999999999,71.822396
MAPPO,42,50,0.748018,655.109132,4.537532,0.32077399999999995,0.861586,466.76930799999997
MAPPO,43,50,0.742482,664.6095539999999,4.984082,0.33729,0.8699520000000001,411.48428399999995
MAPPO,44,50,0.772286,653.616248,4.750166,0.329496,0.862034,434.17459599999995
TokenPassing,42,50,0.45775200000000005,726.2442,4.629630000000001,0.26895600000000003,0.9254759999999999,1130.040372
TokenPassing,43,50,0.44217,746.1848140000002,5.1732380000000004,0.26516,0.912354,893.4130640000002
TokenPassing,44,50,0.45751799999999987,744.1000019999999,4.945576,0.25695399999999996,0.887722,873.603532
