method,scenario,n_obs,throughput_rate,latency_mean,mean_bpr_along_route,agent_completed_gini,delivery_route_efficiency,compute_time_per_task_ms
FaithfulMAPPER,normal_ramp,30,0.8740800000000001,489.8076,3.8616566666666667,0.30645333333333336,0.8800633333333334,84.36267333333333
Hybrid,normal_ramp,30,0.8751533333333334,468.91165,3.8586299999999993,0.2960433333333333,0.8802533333333334,54.97505333333334
HybridAdaptivePredictive,normal_ramp,30,0.3602708,936.3549,1.0,0.1846217666666667,0.0,8122.442333333333
IPPO,normal_ramp,30,0.8786766666666668,473.36004333333335,3.98278,0.29562999999999995,0.87908,65.62704333333333
MAPPO,normal_ramp,30,0.70051,725.2271466666666,3.668406666666667,0.3348033333333333,0.8791233333333334,382.98196666666655
TokenPassing,normal_ramp,30,0.4269933333333334,859.5253133333334,3.61613,0.25568,0.8975266666666665,1484.1896566666667
FaithfulMAPPER,normal_wave,30,0.8911566666666666,481.93916666666667,5.645630000000001,0.2997899999999999,0.88851,89.95133333333332
Hybrid,normal_wave,30,0.89547,468.66674333333344,5.393933333333333,0.2891000000000001,0.8917933333333331,56.522273333333345
HybridAdaptivePredictive,normal_wave,30,0.2632166333333333,1118.979466666667,1.0,0.2528559666666666,0.0,6719.620666666668
IPPO,normal_wave,30,0.88995,474.4332600000001,5.585269999999999,0.3006233333333333,0.8898466666666666,64.98141333333334
MAPPO,normal_wave,30,0.6447233333333334,765.7788666666668,5.708616666666667,0.32060333333333335,0.8545099999999999,609.2809533333333
TokenPassing,normal_wave,30,0.4297,893.4468899999999,5.459203333333332,0.2542833333333333,0.8881166666666666,1487.4697699999997
FaithfulMAPPER,over_fleet,30,0.9216066666666666,471.0017333333334,5.892196666666666,0.25872333333333336,0.8704033333333334,174.04095333333336
Hybrid,over_fleet,30,0.9160233333333332,454.7369933333333,6.001296666666667,0.26416,0.8705,72.73831333333332
HybridAdaptivePredictive,over_fleet,30,0.8398921000000001,519.1591333333333,1.0,0.22096226666666668,0.0,17007.082
IPPO,over_fleet,30,0.9142133333333332,459.89956,6.574680000000001,0.26458666666666664,0.8748033333333335,99.40721
MAPPO,over_fleet,30,0.8936866666666666,484.45210000000003,6.25998,0.30454333333333333,0.8800866666666665,797.23915
TokenPassing,over_fleet,30,0.9694266666666669,380.53416666666664,6.6075133333333325,0.24342666666666668,0.8712366666666668,252.7261833333333
FaithfulMAPPER,stress_buildup,30,0.8745499999999999,516.0541666666667,4.646673333333333,0.26062,0.8639600000000001,71.06589000000001
Hybrid,stress_buildup,30,0.8882533333333335,499.93762,4.754903333333332,0.25017666666666666,0.8650933333333334,54.61209333333333
HybridAdaptivePredictive,stress_buildup,30,0.19964780000000004,1153.9384333333333,1.0,0.17033309333333332,0.0,5409.465666666666
IPPO,stress_buildup,30,0.8835333333333332,504.9556533333334,4.655020000000001,0.25760666666666665,0.87281,65.99023
MAPPO,stress_buildup,30,0.7869666666666667,635.6099333333333,4.716013333333333,0.3407633333333334,0.86449,182.46349999999998
TokenPassing,stress_buildup,30,0.17703333333333335,719.6969666666666,4.850586666666667,0.2849266666666666,0.9695633333333333,804.7691033333334
FaithfulMAPPER,stress_shock,30,0.9022666666666666,484.48849333333334,3.6401766666666657,0.28908000000000006,0.8784766666666666,58.519223333333336
Hybrid,stress_shock,30,0.8966966666666666,463.6405066666667,3.673456666666666,0.2824733333333333,0.8833566666666667,42.460323333333335
HybridAdaptivePredictive,stress_shock,30,0.33364760000000004,1144.1828333333333,1.0,0.18440309000000002,0.0,6693.3483333333315
IPPO,stress_shock,30,0.9002033333333334,472.8220266666667,3.600703333333333,0.2852566666666666,0.88357,46.49221
MAPPO,stress_shock,30,0.7454233333333333,677.8235100000002,3.4332833333333337,0.34521999999999997,0.8444099999999999,215.41474333333338
TokenPassing,stress_shock,30,0.2592466666666667,841.01169,4.047306666666667,0.28013333333333335,0.9161433333333334,799.2735666666667
