seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
42,0,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,115,72,0.6261,1.0000,0.0000,727.5833,181.8958,0.6735,4.6500,273.3115,446.2963,1067.2606,0.7810,29.0913,26.5606,791.5093,209.3504,692.8000,115466.6641,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6261,0.3739,4.7165,1125.4863,wave,0.2642,0.4733,1.2313,0.0000,1.0000,0.0000,59.8593,28,939.3220,0.3666,0.8378,8,1,76842.7656,3.3217,0.0000,3.3217,0.6147,0.4718,0.0000,4.8372,77260.3594,48,2.4316,679814.1250,6.2435,79672
42,1,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,109,75,0.6881,1.0000,0.0000,750.0267,375.0133,0.4748,4.6491,263.9219,541.1250,1068.3638,0.8096,29.5271,27.0010,837.8716,246.0615,327.0917,54515.2891,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6881,0.3119,4.6533,1125.4863,wave,0.2674,0.4891,1.2446,0.0000,1.0000,0.0000,50.2491,28,938.6306,0.3744,0.8592,8,1,80127.2812,3.3945,0.0000,3.3945,0.6766,0.5327,0.0000,5.6006,54249.8945,55,1.1960,311610.3750,5.4771,35653
42,2,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,105,57,0.5429,1.0000,0.0000,765.6140,382.8070,0.3552,4.3343,265.2941,486.0364,1395.7892,1.0000,29.4667,27.2106,949.1213,228.9151,461.3810,76896.8281,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5429,0.4571,4.3862,618.6302,ramp_up_down,0.4240,0.8246,1.2849,0.0000,1.0000,0.0000,0.0000,24,549.1758,0.2995,0.8031,8,0,79559.9844,3.8000,0.0000,3.8000,0.6555,0.7282,0.0000,3.4712,40548.0391,27,1.2884,450144.7188,5.2476,48445
42,3,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,106,82,0.7736,1.0000,0.0000,693.2317,693.2317,0.2019,4.3301,244.0959,459.5075,1005.9089,0.8242,29.0985,25.4563,770.6998,266.7950,136.4057,22734.2773,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7736,0.2264,4.3643,618.6302,ramp_up_down,0.4098,0.8027,1.1897,0.0000,1.0000,0.0000,42.9141,24,549.6383,0.3063,0.8922,11,1,82484.5312,3.4906,0.0000,3.4906,0.7359,0.4354,0.0000,3.2075,38510.1055,31,1.4431,126199.8203,5.7736,14459
42,4,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,170,131,0.7706,1.0000,0.0000,674.6489,337.3244,0.4290,4.1703,259.5299,406.9546,1081.5211,0.8334,28.5064,25.3236,874.8556,59.1200,151.7118,25285.2949,1,0,0.0000,0.0000,0.0000,0.0000,0,0.7706,0.2294,4.1541,513.2000,shock_burst,0.3122,0.5765,1.2508,0.0000,1.0000,0.0000,43.2257,28,440.1772,0.4744,0.8399,9,1,141679.2656,4.1588,0.0000,4.1588,0.7088,0.4916,0.0000,2.8997,54118.6914,47,1.1852,145115.6719,4.6882,25791
42,5,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,165,127,0.7697,1.0000,0.0000,636.5040,636.5040,0.1756,4.1762,271.8158,359.5221,1178.7584,0.8673,29.0465,25.3598,860.1920,68.4192,95.4424,15907.0703,2,0,0.0000,0.0000,0.0000,0.0000,0,0.7697,0.2303,4.1374,513.2000,shock_burst,0.3645,0.6584,1.2677,0.0000,1.0000,0.0000,36.0641,24,438.9778,0.4816,0.8601,7,0,149702.3281,4.0424,0.0000,4.0424,0.7822,0.5520,0.0000,3.3883,69881.8047,57,1.0419,88841.3828,3.7212,15748
42,6,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,168,139,0.8274,1.0000,0.0000,639.8777,639.8777,0.1708,4.4761,257.9847,402.7710,1107.1138,0.8583,29.0338,24.0455,809.5054,26.9813,65.6310,10938.4922,2,0,0.0000,0.0000,0.0000,0.0000,0,0.8274,0.1726,4.4432,883.7547,building_up,0.3394,0.6189,1.2710,0.0000,1.0000,0.0000,36.5620,32,764.2355,0.3506,0.8289,6,0,153888.8125,4.1845,0.0000,4.1845,0.8293,0.5216,0.0000,3.8083,96019.2031,93,1.0000,56410.8398,3.9345,11026
42,7,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,198,167,0.8434,1.0000,0.0000,522.9042,522.9042,0.2019,4.4605,210.9935,321.7242,882.2299,0.8363,26.8595,23.9111,651.7503,39.4603,84.7778,14129.6299,1,0,0.0000,0.0000,0.0000,0.0000,0,0.8434,0.1566,4.4290,883.7547,building_up,0.3029,0.5429,1.2526,0.0000,1.0000,0.0000,34.5475,24,766.4311,0.3649,0.9188,7,0,147332.3906,4.3030,0.0000,4.3030,0.7927,0.3940,0.0000,4.3681,113807.4766,98,1.1353,77032.6484,3.7980,16786
42,8,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,55,49,0.8909,1.0000,0.0000,457.2449,91.4490,0.8537,4.6675,218.8333,234.1875,1007.3231,0.9206,28.0722,24.5414,754.1093,352.9463,721.1818,120196.9688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8909,0.1091,4.7396,1125.4863,wave,0.3015,0.6375,1.2295,0.0000,1.0000,0.0000,17.3687,28,935.0739,0.3605,0.9543,5,0,49358.8281,3.7818,0.0000,3.7818,0.9700,0.5121,0.0000,6.9031,47717.3047,38,1.4012,693228.5000,3.8909,39665
42,9,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,51,43,0.8431,1.0000,0.0000,515.2325,103.0465,0.9036,4.6613,242.9302,290.7391,1078.0280,0.8875,27.4802,23.4517,866.9570,352.1759,848.1373,141356.2031,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8431,0.1569,4.7261,1125.4863,wave,0.3188,0.7019,1.2727,0.0000,1.0000,0.0000,27.3246,28,936.5072,0.3578,0.9143,6,1,46355.2031,3.9608,0.0000,3.9608,0.7888,0.5327,0.0000,5.2247,39447.1523,47,1.6666,815996.9375,3.9412,43255
