source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,MAPPO,Tokyo_Small,normal_wave,0,6,3600,105,58,0.5524,1.0000,1002.2414,334.0805,0.5430,4.6541,278.9245,697.4783,1039.4218,0.7453,71.0402,28,0.3685,4.0963,45,0.8561,60286.4609,0.3103,0.5462,1125.4863,4.6966,68906,656.2476,109374.6016,0,0
RL,MAPPO,Tokyo_Small,normal_wave,1,6,3600,120,79,0.6583,1.0000,718.7342,239.5781,0.5512,4.6490,257.4143,471.2609,1152.4609,0.8954,26.9221,28,0.3729,7.8294,68,0.9114,91044.4141,0.3188,0.5778,1125.4863,4.7368,59897,499.1417,83190.2812,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,0,6,3600,109,76,0.6972,1.0000,700.9079,700.9079,0.2713,4.3287,254.9420,450.2222,1201.1373,0.9423,14.7146,28,0.3077,3.3812,35,0.8195,91286.4453,0.2899,0.5212,618.6302,4.3689,25099,230.2661,38377.6758,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,1,6,3600,92,66,0.7174,1.0000,759.1061,379.5530,0.3725,4.3349,270.7895,542.3461,1060.5590,0.7833,58.6777,24,0.3075,3.1635,32,0.8235,69996.8906,0.3286,0.5933,618.6302,4.3628,29054,315.8044,52634.0586,0,0
RL,MAPPO,Tokyo_Small,stress_shock,0,6,3600,129,103,0.7984,1.0000,647.5825,647.5825,0.2885,4.1966,226.4316,454.1031,994.5602,0.8785,27.5195,24,0.4621,3.5961,38,0.9004,102439.6953,0.3864,0.6967,513.2000,4.2354,31592,244.8992,40816.5391,0,0
RL,MAPPO,Tokyo_Small,stress_shock,1,6,3600,162,132,0.8148,1.0000,549.6061,549.6061,0.3195,4.1818,243.3719,304.5478,957.1082,0.7865,51.9503,24,0.4694,4.0301,53,0.8554,126338.2734,0.3662,0.6859,513.2000,4.1846,23062,142.3580,23726.3379,0,0
RL,MAPPO,Tokyo_Small,stress_buildup,0,6,3600,206,169,0.8204,1.0000,734.6036,367.3018,0.4140,4.4590,272.9367,454.8808,1138.8624,0.8345,45.1642,36,0.3671,4.8846,118,0.8351,192467.7500,0.3571,0.6441,883.7547,4.4137,46854,227.4466,37907.7656,0,0
RL,MAPPO,Tokyo_Small,stress_buildup,1,6,3600,202,175,0.8663,1.0000,569.8457,569.8457,0.2672,4.4606,245.9304,326.5369,1058.8879,0.8611,34.1528,24,0.3590,4.0731,99,0.8717,185305.3906,0.3446,0.6213,883.7547,4.4541,23559,116.6287,19438.1191,0,0
RL,MAPPO,Tokyo_Small,over_fleet,0,6,3600,49,45,0.9184,1.0000,557.8222,92.9704,1.0082,4.6671,276.6190,276.0227,1262.2935,0.9127,24.1604,28,0.3584,5.1620,41,0.7897,56803.2031,0.3051,0.6047,1125.4863,4.7592,31074,634.1633,105693.8750,0,0
RL,MAPPO,Tokyo_Small,over_fleet,1,6,3600,57,50,0.8772,1.0000,491.6200,98.3240,0.8940,4.6676,261.2917,239.0000,1133.8599,0.8679,34.5197,24,0.3557,6.3213,44,0.9105,56692.9883,0.4028,0.9071,1125.4863,4.6873,40380,708.4211,118070.1719,0,0
RL,FaithfulMAPPER,Tokyo_Small,normal_wave,0,6,3600,105,91,0.8667,1.0000,506.5165,253.2582,0.3586,4.6494,263.9663,246.6702,1131.8793,0.8576,37.5904,28,0.3688,5.9402,77,0.8396,103001.0156,0.3142,0.5953,1125.4863,4.6907,10118,96.3619,16060.3174,0,0
RL,FaithfulMAPPER,Tokyo_Small,normal_wave,1,6,3600,120,109,0.9083,1.0000,552.4587,0.0000,0.1370,4.6487,278.2451,279.0101,1180.0663,0.8482,42.2318,28,0.3653,6.8598,101,0.8465,128627.2266,0.3060,0.5704,1125.4863,4.7325,13627,113.5583,18926.3887,0,0
RL,FaithfulMAPPER,Tokyo_Small,normal_ramp,0,6,3600,109,87,0.7982,1.0000,543.2299,0.0000,0.1440,4.3256,282.0814,273.6559,1240.4508,0.8795,33.9912,28,0.3077,4.4212,52,0.7864,107919.2188,0.2775,0.5270,618.6302,4.3650,10962,100.5688,16761.4688,0,0
RL,FaithfulMAPPER,Tokyo_Small,normal_ramp,1,6,3600,92,80,0.8696,1.0000,491.3750,491.3750,0.3054,4.3313,225.3333,260.9620,1032.9333,0.9168,18.7467,24,0.3075,3.3379,41,0.8754,82634.6641,0.3007,0.5875,618.6302,4.3607,8499,92.3804,15396.7393,0,0
RL,FaithfulMAPPER,Tokyo_Small,stress_shock,0,6,3600,129,117,0.9070,1.0000,447.7949,0.0000,0.0537,4.1996,212.6174,239.0744,993.3019,0.9344,13.9570,24,0.4596,3.2411,63,0.8751,116216.3281,0.3292,0.5952,513.2000,4.2315,6095,47.2481,7874.6772,0,0
RL,FaithfulMAPPER,Tokyo_Small,stress_shock,1,6,3600,162,135,0.8333,1.0000,493.2148,493.2148,0.2262,4.1806,237.7121,259.3795,992.9404,0.8354,39.1241,24,0.4696,3.6154,49,0.8073,134046.9531,0.3053,0.5675,513.2000,4.1863,9914,61.1975,10199.5889,0,0
