seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,8,130,57,0.4385,1.0000,0.0000,777.0175,194.2544,0.6126,1.0002,251.7234,635.6512,1080.0210,0.8581,29.6079,26.1481,839.9340,219.7594,240.9231,30115.3848,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4385,0.5615,1.0006,2.0000,flat,0.2746,0.4915,1.2384,0.0000,1.0000,0.0000,35.7192,2,0.0017,0.0055,0.3995,8,1,61561.1992,31320
42,1,Tokyo_Small,eval,MAPPO,3600,8,135,82,0.6074,1.0000,0.0000,1049.3414,262.3354,0.5961,1.0001,241.2676,755.8333,1062.3547,0.8806,29.3572,26.9962,783.9375,191.9491,113.1259,14140.7412,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6074,0.3926,1.0000,2.0000,flat,0.2425,0.4354,1.2550,0.0000,1.0000,0.0000,28.7967,2,0.0011,0.0029,0.4205,9,1,87113.0859,15272
42,2,Tokyo_Small,eval,MAPPO,3600,8,129,77,0.5969,1.0000,0.0000,872.3636,290.7879,0.4862,1.0001,226.6000,610.9310,938.0829,0.8280,29.2780,27.4186,813.4323,200.2791,130.8062,16350.7754,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5969,0.4031,1.0000,2.0000,flat,0.2727,0.4975,1.2287,0.0000,1.0000,0.0000,38.9834,2,0.0008,0.0031,0.4339,11,2,72232.3906,16874
42,3,Tokyo_Small,eval,MAPPO,3600,8,117,46,0.3932,1.0000,0.0000,734.2826,367.1413,0.3719,1.0001,243.0976,541.2000,1120.1288,0.9215,29.5886,26.6193,896.0030,227.6813,327.6239,40952.9922,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3932,0.6068,1.0000,2.0000,flat,0.3129,0.5503,1.2122,0.0000,1.0000,0.0000,19.0718,2,0.0006,0.0039,0.3820,7,1,51525.9258,38332
42,4,Tokyo_Small,eval,MAPPO,3600,8,132,63,0.4773,1.0000,0.0000,718.7302,179.6825,0.5725,1.0000,244.3636,493.4583,1156.5631,0.9466,29.5305,26.4191,892.4816,214.0693,193.1288,24141.0977,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4773,0.5227,1.0000,2.0000,flat,0.3362,0.5925,1.2908,0.0000,1.0000,0.0000,13.0510,2,0.0003,0.0019,0.4335,10,0,72863.4766,25493
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,8,130,60,0.4615,1.0000,0.0000,892.2333,178.4467,0.6330,1.0002,287.9091,583.7778,1150.2288,0.7990,29.6079,26.1481,839.9340,219.7594,172.9000,21612.5000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4615,0.5385,1.0000,2.0000,flat,0.1488,0.2673,1.2384,0.0000,1.0000,0.0000,57.8633,2,0.0019,0.0058,0.3689,7,3,69013.7266,22477
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,8,135,67,0.4963,1.0000,0.0000,898.6269,224.6567,0.6226,1.0001,278.5167,644.9259,970.3569,0.6968,29.3572,26.9962,783.9375,191.9491,171.5704,21446.2969,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4963,0.5037,1.0000,2.0000,flat,0.1243,0.2294,1.2550,0.0000,1.0000,0.0000,84.4453,2,0.0011,0.0033,0.3759,7,3,65013.9102,23162
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,8,129,62,0.4806,1.0000,0.0000,906.7903,226.6976,0.6227,1.0001,231.4364,727.5686,1017.7558,0.8795,29.2780,27.4186,813.4323,200.2791,193.5504,24193.7988,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4806,0.5194,1.0000,2.0000,flat,0.2593,0.4670,1.2287,0.0000,1.0000,0.0000,27.8852,2,0.0011,0.0041,0.3638,8,1,63100.8594,24968
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,8,117,57,0.4872,1.0000,0.0000,928.4737,185.6947,0.6757,1.0000,288.9804,615.1875,1373.8276,0.9508,29.5886,26.6193,896.0030,227.6813,196.5556,24569.4453,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4872,0.5128,1.0000,2.0000,flat,0.2179,0.3922,1.2122,0.0000,1.0000,0.0000,14.2148,2,0.0003,0.0015,0.3507,7,1,78308.1797,22997
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,8,132,64,0.4848,1.0000,0.0000,877.6406,175.5281,0.6698,1.0001,246.0172,659.1035,1141.1112,0.9277,29.5305,26.4191,892.4816,214.0693,177.4697,22183.7129,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4848,0.5152,1.0000,2.0000,flat,0.2172,0.3972,1.2908,0.0000,1.0000,0.0000,17.7950,2,0.0006,0.0024,0.3904,9,3,73031.1172,23426
