solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,105,20,0,0.190476,1,1221.4,203.567,1097.8,265.1,815.858,0,0,57353.5,0.965694,6,1,0.233333,0.447214,4.66614,0.132688,28,1125.49,0,3.29754,0,0,0,95929,0,913.505,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,120,24,0,0.2,1,1176.17,196.028,812.083,404.958,932.281,0,0,54090.5,0.939537,7,1,0.277778,0.5,4.66794,0.128478,28,1125.49,0,2.68505,0,0,0,127810,0,1064.99,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,109,32,0,0.293578,1,1032.47,172.078,789.344,291.281,1088.81,0,0,74895.7,0.97537,8,3,0.166667,0.299739,4.34457,0.0957856,28,618.63,0,1.73436,0,0,0,99574,0,913.431,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,92,26,0,0.282609,1,1161.96,193.66,1057.15,216.231,829.159,0,0,63767.5,0.948657,6,1,0.230769,0.435143,4.35003,0.0932408,24,618.63,0,2.05773,0,0,0,75321,0,818.587,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,129,36,0,0.27907,1,1007.11,201.422,876.972,170.417,587.056,0,0,60383.2,0.969167,11,4,0.177778,0.321551,4.27071,0.178126,24,513.2,0,1.53342,0,0,0,166349,0,1289.44,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,162,45,0,0.277778,1,952.044,190.409,838.644,145.067,558.827,0,0,64374.4,0.984222,18,5,0.257778,0.521157,4.26412,0.181863,24,513.2,0,1.42064,0,0,0,253809,0,1566.66,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,0,3600,4,206,18,0,0.0873786,1,1135.33,283.833,1048.5,215.333,573.491,0,0,34840.8,0.991458,7,1,0.25,0.484322,4.51178,0.116997,36,883.755,0,4.39106,0,0,0,240339,0,1166.64,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,1,3600,4,202,18,0,0.0891089,1,1568.22,392.056,1691.67,168.389,555.328,0,0,40773.4,0.987639,10,3,0.259259,0.490653,4.51049,0.114382,24,883.755,0,2.29532,0,0,0,181399,0,897.965,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,0,3600,60,49,40,0,0.816327,1,616.125,10.2688,347.775,387.725,1144.1,0,0,83274.9,0.169981,3,1,0.201724,0.443001,4.66782,0.126905,28,1125.49,0,3.49488,0,0,0,213444,0,4355.65,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,1,3600,60,57,49,0,0.859649,1,586.653,9.77755,230.98,392.02,1093.85,0,0,90366.2,0.153491,4,1,0.270068,0.558528,4.66884,0.125187,24,1125.49,0,2.63187,0,0,0,243742,0,4275.98,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,0,3600,6,102,26,0,0.254902,1,1154.62,192.436,869.885,347.423,826.475,0,0,52563.5,0.989815,8,1,0.320513,0.57564,4.6536,0.152636,28,631.469,0,2.86327,0,0,0,56252,0,551.431,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,1,3600,6,103,30,0,0.291262,1,909.7,151.617,731.4,262.1,793.908,0,0,62909.6,0.955278,6,3,0.122222,0.23094,4.65733,0.141085,28,631.469,0,2.88735,0,0,0,57514,0,558.33,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,0,3600,6,97,43,0,0.443299,1,672.86,112.143,509.581,226.674,831.68,0,0,75635.9,0.90875,11,4,0.189922,0.336205,4.33415,0.0939944,24,347.136,0,1.5869,0,0,0,49220,0,507.371,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,1,3600,6,110,30,0,0.272727,1,1054.57,175.761,1010.37,247.3,715.661,0,0,66323.3,0.955046,9,3,0.244444,0.46188,4.33719,0.0992457,24,347.136,0,2.34367,0,0,0,64334,0,584.8,0,0,0,0,0
