solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
HybridAdaptivePredictive,Tokyo_Small,normal_wave,0,3600,6,105,21,0,0.2,1,1505.43,250.905,1410.62,516.571,1114.54,0,0,56109.8,0.93787,6,1,0.246032,0.459221,4.66205,0.129957,28,1125.49,0,2.99157,0,0,0,990347,105,8121.74,7.88887e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_wave,1,3600,6,120,19,0,0.158333,1,1107.63,184.605,1266.58,346.895,982.711,0,0,52309.1,0.905231,6,2,0.252632,0.482376,4.66298,0.127998,28,1125.49,0,2.43627,0,0,0,755707,120,6297.45,6.06503e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,0,3600,6,109,37,0,0.33945,1,1003.97,167.329,694.919,442.135,1165.57,0,0,75475.2,0.948704,12,3,0.265766,0.499086,4.33556,0.0958452,28,618.63,0,1.41764,0,0,0,1150473,109,10554.7,1.03197e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,1,3600,6,92,37,0,0.402174,1,1051.03,175.171,1011,363.135,857.908,0,0,72770.7,0.933009,7,5,0.0585586,0.111435,4.33944,0.0948636,24,618.63,0,1.61553,0,0,0,819947,92,8912.3,8.67726e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,0,3600,5,129,47,0,0.364341,1,1153.38,230.677,996.277,356.872,781.812,0,0,63305,0.949722,14,6,0.187234,0.340426,4.25226,0.186094,24,513.2,0,1.3301,0,0,0,1011743,129,7842.88,7.71958e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,1,3600,5,162,48,0,0.296296,1,1228.58,245.717,1260.23,365.958,740.583,0,0,60583,0.973833,23,7,0.260417,0.536837,4.24186,0.19148,24,513.2,0,1.57297,0,0,0,1200630,162,7411.21,7.28258e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,0,3600,4,206,44,0,0.213592,1,1422.68,355.67,1284.45,502.75,985.465,0,0,48434.9,0.980347,14,6,0.136364,0.272727,4.49893,0.12013,36,883.755,0,1.70075,0,0,0,1382931,206,6713.2,6.60721e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,1,3600,4,202,41,0,0.20297,1,1194.49,298.622,1413.12,330.366,577.226,0,0,44104.8,0.974167,12,7,0.0914634,0.187345,4.49763,0.118927,24,883.755,0,2.35434,0,0,0,1312217,202,6496.06,6.38658e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,0,3600,60,49,36,0,0.734694,1,582.028,9.70046,342,350.167,1066.35,0,0,70079.4,0.166389,3,1,0.224444,0.484322,4.66816,0.127253,28,1125.49,0,4.68792,0,0,0,1099801,49,22444.6,2.22029e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,1,3600,60,57,45,0,0.789474,1,659.2,10.9867,286.6,435.333,1126.28,0,0,87436,0.157764,3,1,0.188194,0.391893,4.66881,0.125036,24,1125.49,0,2.82344,0,0,0,1132088,57,19861,1.964e+07,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_wave,0,3600,6,102,24,0,0.235294,1,1276.62,212.771,1735.25,647.167,998.729,0,0,54492.5,0.952963,7,3,0.2,0.381881,4.64401,0.152376,28,631.469,0,2.73237,0,0,0,340141,102,2707.44,2.60954e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_wave,1,3600,6,103,30,0,0.291262,1,951.2,158.533,961.567,397.2,827.079,0,0,49380.4,0.86662,9,1,0.377778,0.69282,4.64509,0.148272,28,631.469,0,3.22904,0,0,0,276004,103,2679.59,2.58192e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_ramp,0,3600,6,97,35,0,0.360825,1,729.971,121.662,521.943,382.171,1012.32,0,0,64022.9,0.879491,7,4,0.1,0.182946,4.32463,0.0966512,24,347.136,0,3.08111,0,0,0,340322,97,3508.41,3.4066e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_ramp,1,3600,6,110,45,0,0.409091,1,1080.8,180.133,845,444.644,974.11,0,0,72313.9,0.92125,11,4,0.174074,0.315054,4.31734,0.101481,24,347.136,0,1.67453,0,0,0,383156,110,3483.17,3.38535e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_shock,0,3600,5,158,46,0,0.291139,1,1093.85,218.77,1054.96,328.152,886.426,0,0,54042.6,0.977889,16,3,0.295652,0.538674,4.19263,0.222376,24,288,0,3.31516,0,0,0,425245,158,2691.37,2.64069e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_shock,1,3600,5,144,41,0,0.284722,1,1166.93,233.385,1158.46,389.78,955.231,0,0,54898.1,0.967389,15,3,0.282927,0.508114,4.19765,0.219416,24,288,0,6.91848,0,0,0,396456,144,2753.12,2.69813e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_buildup,0,3600,4,230,34,0,0.147826,1,1281.41,320.353,1257.53,556.471,735.366,0,0,38172.9,0.984583,12,4,0.220588,0.420084,4.47761,0.13898,28,495.862,0,2.87093,0,0,0,462908,230,2012.61,1.96646e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_buildup,1,3600,4,236,30,0,0.127119,1,1233.4,308.35,1246.93,516.233,706.755,0,0,37653.9,0.992014,13,3,0.3,0.553775,4.47438,0.149358,24,495.862,0,3.80584,0,0,0,492332,236,2086.12,2.04035e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,over_fleet,0,3600,60,57,50,0,0.877193,1,469.88,7.83133,168.64,311.82,1082.15,0,0,84152.1,0.12312,4,1,0.245882,0.552811,4.65152,0.132066,24,631.469,0,2.4734,0,0,0,374396,57,6568.19,6.45076e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,over_fleet,1,3600,60,48,41,0,0.854167,1,608.756,10.1459,272.585,366.561,1080.57,0,0,67938.9,0.142861,5,1,0.20299,0.588407,4.65853,0.130355,24,631.469,0,4.34687,0,0,0,365747,48,7619.54,7.50165e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,normal_wave,0,3600,6,100,13,0,0.13,1,1143.62,190.603,1455,565.615,870.382,0,0,45946.9,0.974074,6,1,0.369231,0.713355,4.66043,0.129726,28,944.367,0,3.71643,0,0,0,565251,100,5404.31,5.24913e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,normal_wave,1,3600,6,107,18,0,0.168224,1,889.833,148.306,1163.94,362.667,688.699,0,0,42223.3,0.925231,9,2,0.333333,0.638285,4.65575,0.13346,28,944.367,0,2.99391,0,0,0,483973,107,4523.03,4.36504e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,normal_ramp,0,3600,6,99,34,0,0.343434,1,983.088,163.848,877.676,440.5,837.331,0,0,67449.6,0.871944,7,4,0.117647,0.220097,4.33976,0.0909673,24,519.094,0,1.79443,0,0,0,793578,99,8015.85,7.85715e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,normal_ramp,1,3600,6,119,29,0,0.243697,1,995.379,165.897,1062.1,496.966,904.529,0,0,57646.1,0.891435,11,1,0.350575,0.658792,4.33834,0.0924883,24,519.094,0,2.20206,0,0,0,724415,119,6087.45,5.93233e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,stress_shock,0,3600,5,191,42,0,0.219895,1,1107.55,221.51,920.548,446.643,846.054,0,0,54411.8,0.964,12,5,0.152381,0.277664,4.22563,0.204802,28,430,0,2.18059,0,0,0,1142109,191,5979.58,5.90165e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,stress_shock,1,3600,5,156,52,0,0.333333,1,1177.92,235.585,1142.6,402.365,844.042,0,0,59703.4,0.973944,14,7,0.138462,0.255125,4.22533,0.200781,24,430,0,1.50712,0,0,0,984500,156,6310.83,6.22483e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,stress_buildup,0,3600,4,234,42,0,0.179487,1,1036.26,259.065,1140.74,362.286,667.425,0,0,43943.2,0.979583,15,4,0.202381,0.383917,4.49472,0.123186,28,741.544,0,2.20653,0,0,0,945566,234,4040.83,3.96807e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,stress_buildup,1,3600,4,198,34,0,0.171717,1,1489.56,372.39,1277.88,375.912,673.729,0,0,37785.7,0.975417,14,2,0.279412,0.509427,4.50492,0.119994,24,741.544,0,3.35531,0,0,0,880913,198,4449.01,4.37659e+06,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,over_fleet,0,3600,60,53,45,0,0.849057,1,568.489,9.47481,248.844,362.622,1129.92,0,0,76664.7,0.140593,6,1,0.299588,0.69282,4.66567,0.127154,28,944.367,0,4.18925,0,0,0,899979,53,16980.5,1.67979e+07,0,0,0,0
HybridAdaptivePredictive,LosAngeles_Small,over_fleet,1,3600,60,54,45,0,0.833333,1,620.667,10.3444,283.511,365.222,955.736,0,0,73338.6,0.161199,3,1,0.217921,0.457584,4.6608,0.129514,28,944.367,0,3.17064,0,0,0,775866,54,14367.7,1.41795e+07,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_wave,0,3600,6,130,27,0,0.207692,1,1106.7,184.451,1291.59,481,802.447,0,0,55593.8,0.936991,10,1,0.388889,0.711458,4.65824,0.133305,28,1191.7,0,3.56096,0,0,0,903950,130,6633.08,6.44415e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_wave,1,3600,6,99,19,0,0.191919,1,977.895,162.982,966.895,375.789,662.582,0,0,50982,0.879676,10,1,0.381579,0.704163,4.66542,0.125597,28,1191.7,0,4.39682,0,0,0,622878,99,6291.58,6.09244e+06,0,0,0,0
