solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
HybridAdaptivePredictive,Tokyo_Small,normal_wave,0,3600,6,115,30,0,0.26087,1,880.567,146.761,863.267,392.967,915.958,0,0,63260.1,0.946667,8,1,0.244444,0.46188,4.65828,0.130748,28,1125.49,0,1.76963,0,0,0,1210415,115,10525.3,1.02924e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_wave,1,3600,6,109,28,0,0.256881,1,1009.79,168.298,1028.32,309.714,778.812,0,0,53214.3,0.955602,8,1,0.321429,0.575876,4.65774,0.134796,28,1125.49,0,3.78488,0,0,0,1101983,109,10109.9,9.87502e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,0,3600,6,105,28,0,0.266667,1,1066.75,177.792,987.464,355.893,1034.37,0,0,67081.3,0.864074,8,2,0.238095,0.422577,4.34105,0.0899384,24,618.63,0,2.1204,0,0,0,1365252,105,13002.3,1.27744e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,1,3600,6,106,30,0,0.283019,1,924.167,154.028,1040.97,278.167,840.846,0,0,66862.3,0.962639,7,1,0.2,0.4,4.33844,0.0946419,24,618.63,0,2.40038,0,0,0,1287746,106,12148.5,1.19187e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,0,3600,5,170,57,0,0.335294,1,1161.25,232.249,1059.65,337.684,801.735,0,0,64501.5,0.9805,18,7,0.189474,0.344682,4.23695,0.192645,28,513.2,0,1.97822,0,0,0,1814262,170,10672.1,1.05538e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,1,3600,5,165,37,0,0.224242,1,1258.92,251.784,1125.08,413.297,938.503,0,0,61437.3,0.969611,14,2,0.281081,0.524073,4.24296,0.200376,24,513.2,0,1.43166,0,0,0,1590091,165,9636.85,9.522e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,0,3600,4,168,55,0,0.327381,1,1365.04,341.259,1169.45,292.709,617.411,0,0,52854.9,0.956042,18,10,0.131818,0.243256,4.50257,0.118094,32,883.755,0,1.27724,0,0,0,1450231,168,8632.27,8.52859e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,1,3600,4,198,36,0,0.181818,1,1219.14,304.785,1383.86,319.806,722.882,0,0,45214.6,0.983056,12,5,0.152778,0.283279,4.49572,0.12271,24,883.755,0,1.82242,0,0,0,1481177,198,7480.64,7.38019e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,0,3600,60,55,45,0,0.818182,1,561.8,9.36333,277.156,351.244,905.999,0,0,75641.8,0.159495,4,1,0.265021,0.541603,4.66976,0.125162,30,1125.49,0,4.76415,0,0,0,1263156,55,22966.3,2.27453e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,1,3600,60,51,41,0,0.803922,1,613.805,10.2301,225.512,411.561,1063.04,0,0,75980.6,0.185921,3,1,0.222125,0.464697,4.66472,0.123299,28,1125.49,0,4.63545,0,0,0,902132,51,17688.7,1.75026e+07,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_wave,0,3600,6,94,29,0,0.308511,1,770.621,128.437,777.621,264.793,844.172,0,0,53239.1,0.95338,8,2,0.247126,0.437537,4.64134,0.154976,24,631.469,0,11.6976,0,0,0,246072,94,2282.69,2.17895e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_wave,1,3600,6,103,35,0,0.339806,1,1197.17,199.529,935.971,515.6,834.333,0,0,65262.6,0.92162,10,1,0.319048,0.572142,4.65018,0.137303,24,631.469,0,1.85378,0,0,0,341787,103,3318.26,3.21933e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_ramp,0,3600,6,108,42,0,0.388889,1,907.81,151.302,918.952,395.643,861.507,0,0,78837.6,0.964398,12,3,0.246032,0.436436,4.30746,0.107514,24,347.136,0,1.52071,0,0,0,379676,108,3515.45,3.41442e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,normal_ramp,1,3600,6,113,45,0,0.39823,1,942.022,157.004,743.378,308.467,942.865,0,0,75295.9,0.927963,11,5,0.144444,0.263874,4.31889,0.10106,24,347.136,0,1.41065,0,0,0,405668,113,3589.93,3.49639e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_shock,0,3600,5,150,56,0,0.373333,1,1127.45,225.489,830.75,457.107,892.597,0,0,59502.7,0.9555,17,6,0.2,0.354454,4.19037,0.225545,28,288,0,1.78109,0,0,0,427198,150,2847.95,2.797e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_shock,1,3600,5,179,49,0,0.273743,1,1264.78,252.955,1347.57,391.612,827.217,0,0,58920.2,0.973167,17,6,0.195918,0.389363,4.18577,0.218287,24,288,0,1.97641,0,0,0,525232,179,2934.22,2.88608e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_buildup,0,3600,4,220,35,0,0.159091,1,1085.14,271.286,1427.71,389.343,779.695,0,0,36934.9,0.979861,13,3,0.235714,0.430472,4.47405,0.14169,24,495.862,0,2.41814,0,0,0,439876,220,1999.41,1.95513e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,stress_buildup,1,3600,4,214,36,0,0.168224,1,1354.08,338.521,1607.64,502.611,798.456,0,0,43282.3,0.975903,12,7,0.111111,0.20787,4.4795,0.135723,28,495.862,0,1.91778,0,0,0,468208,214,2187.86,2.14022e+06,0,0,0,0
HybridAdaptivePredictive,Kyoto_Small,over_fleet,0,3600,60,48,39,0,0.8125,1,511.795,8.52991,242.513,313.179,1026.83,0,0,69064.8,0.114375,3,1,0.183908,0.403795,4.65388,0.132153,24,631.469,0,3.33432,0,0,0,353466,48,7363.75,7.25415e+06,0,0,0,0
