seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
42,0,Tokyo_Small,eval_normal_wave,RMCA,3600,6,115,33,0.2870,1.0000,0.0000,1034.3636,344.7879,0.5844,4.6599,292.6000,742.1818,987.6768,0.6751,29.0913,26.5606,791.5093,209.3504,649.5565,108259.4219,0,0,0.0000,0.0000,0.0000,0.0000,0,0.2870,0.7130,4.7209,1125.4863,wave,0.4689,0.9678,1.2313,0.0000,1.0000,0.0000,95.0646,28,937.7003,0.3537,0.9722,6,0,32593.3359,4.7043,0.0000,4.7043,0.2474,0.4144,0.0000,3.8706,25833.9102,17,1.0645,6.9194,1144.0042,3289.7285,637259.7500,10.0000,69418.3672,0.0000,74699
42,1,Tokyo_Small,eval_normal_wave,RMCA,3600,6,109,52,0.4771,1.0000,0.0000,628.4615,209.4872,0.5379,4.6538,219.2326,392.8696,1078.8168,0.9842,29.5271,27.0010,837.8716,246.0615,888.6514,148108.5625,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4771,0.5229,4.6556,1125.4863,wave,0.3103,0.5659,1.2446,0.0000,1.0000,0.0000,3.4692,28,937.6653,0.3690,0.6578,8,1,56098.4727,4.6055,0.0000,4.6055,0.4574,0.5194,0.0000,2.0473,9395.8662,9,1.0057,4.4488,1187.0613,2685.7732,870625.8125,9.3394,91375.7891,0.0000,96863
42,2,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,105,49,0.4667,1.0000,0.0000,542.6938,542.6938,0.2244,4.3372,241.5333,283.3958,1254.4545,1.0000,29.4667,27.2106,949.1213,228.9151,579.1619,96526.9844,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4667,0.5333,4.3881,618.6302,ramp_up_down,0.4431,0.9927,1.2849,0.0000,1.0000,0.0000,0.0000,24,548.2292,0.3022,0.4227,9,0,61468.2695,4.7048,0.0000,4.7048,0.5015,0.6480,0.0000,1.4409,4553.5938,2,1.0000,9.5110,1251.9547,4843.7109,565882.9375,15.9238,56084.8438,0.0000,60812
42,3,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,106,54,0.5094,1.0000,0.0000,580.3889,580.3889,0.2693,4.3350,276.4583,369.3207,1094.0543,0.7915,29.0985,25.4563,770.6998,266.7950,241.1981,40199.6836,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5094,0.4906,4.3716,618.6302,ramp_up_down,0.3986,0.7158,1.1897,0.0000,1.0000,0.0000,57.6475,24,548.3764,0.3073,0.4264,6,0,59078.9297,4.6226,0.0000,4.6226,0.5173,0.4648,0.0000,1.9228,9891.2354,5,1.1816,4.0186,1593.8645,2633.5654,228153.0000,10.3396,22534.0391,0.0000,25567
42,4,Tokyo_Small,eval_stress_shock,RMCA,3600,5,170,76,0.4471,1.0000,0.0000,639.7368,213.2456,0.6449,4.1979,263.3971,329.9600,1070.0939,0.8125,28.5064,25.3236,874.8556,59.1200,289.3706,48228.4297,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4471,0.5529,4.1852,513.2000,shock_burst,0.3684,0.6900,1.2508,0.0000,1.0000,0.0000,49.3783,28,437.3803,0.4627,0.4683,7,0,81327.1328,4.6588,0.0000,4.6588,0.3998,0.4780,0.0000,2.0738,19893.9043,11,2.3133,16.1585,932.4110,2737.3755,283185.9375,5.9588,44625.1250,0.0000,49193
42,5,Tokyo_Small,eval_stress_shock,RMCA,3600,5,165,101,0.6121,1.0000,0.0000,631.3366,631.3366,0.3069,4.1828,259.3258,375.9898,1173.7723,0.9052,29.0465,25.3598,860.1920,68.4192,118.4121,19735.3535,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6121,0.3879,4.1544,513.2000,shock_burst,0.3973,0.7637,1.2677,0.0000,1.0000,0.0000,24.5714,24,437.8353,0.4818,0.5040,9,0,118551.0078,4.7091,0.0000,4.7091,0.6350,0.5635,0.0000,2.0928,27772.3867,23,1.0089,6.4014,1791.3944,3733.0879,111624.9688,4.5515,16455.4492,0.0000,19538
42,6,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,168,90,0.5357,1.0000,0.0000,675.2444,675.2444,0.4419,4.4811,237.2500,454.8788,965.2154,0.8137,29.0338,24.0455,809.5054,26.9813,147.4048,24567.4609,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5357,0.4643,4.4474,883.7547,building_up,0.4460,0.8735,1.2710,0.0000,1.0000,0.0000,44.2069,32,761.9447,0.3568,0.7411,9,0,86869.3906,4.7560,0.0000,4.7560,0.4648,0.4515,0.0000,3.6108,58376.2617,29,1.0000,9.2864,1859.6906,3964.6377,138969.5312,4.2798,20491.3203,0.0000,24764
42,7,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,198,144,0.7273,1.0000,0.0000,518.1389,518.1389,0.4633,4.4628,221.9528,290.3521,859.4107,0.7744,26.8595,23.9111,651.7503,39.4603,115.6162,19269.3594,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7273,0.2727,4.4323,883.7547,building_up,0.4218,0.8079,1.2526,0.0000,1.0000,0.0000,50.0706,24,765.3089,0.3686,0.5545,11,0,123755.1406,4.6717,0.0000,4.6717,0.6890,0.3971,0.0000,2.6961,40802.7461,31,1.0000,7.8468,1280.6871,4792.9214,108420.6250,4.3333,19177.7480,0.0000,22892
42,8,Tokyo_Small,eval_over_fleet,RMCA,3600,60,55,44,0.8000,1.0000,0.0000,438.9318,87.7864,0.0880,4.6670,235.5476,200.2128,901.0927,0.7651,28.0722,24.5414,754.1093,352.9463,525.9091,87651.5156,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8000,0.2000,4.7398,1125.4863,wave,0.3742,0.7201,1.2295,0.0000,1.0000,0.0000,55.3291,28,935.0455,0.3627,0.5712,4,0,39648.0781,4.4909,0.0000,4.4909,0.7899,0.4644,0.0000,2.3460,9023.2871,10,1.0283,1.3599,1321.9165,1628.8491,500852.0000,4.2727,27207.2070,0.0000,28925
42,9,Tokyo_Small,eval_over_fleet,RMCA,3600,60,51,40,0.7843,1.0000,0.0000,584.3000,73.0375,0.1347,4.6638,380.5000,198.4545,1100.9489,0.5787,27.4802,23.4517,866.9570,352.1759,592.1373,98689.5391,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7843,0.2157,4.7262,1125.4863,wave,0.2561,0.5280,1.2727,0.0000,1.0000,0.0000,160.3102,28,936.2503,0.3538,0.8256,3,0,44037.9531,4.5686,0.0000,4.5686,0.8160,0.5924,0.0000,4.0160,24447.7109,15,1.1785,1.3506,1433.3875,1759.3281,567500.6875,3.6275,28624.1289,0.0000,30199
