seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
44,0,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,81,45,0.5556,1.0000,0.0000,826.1111,413.0555,0.3480,4.6588,277.8000,583.0526,1145.6381,0.8248,29.0533,26.5659,830.9788,249.0288,610.9506,101825.1016,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5556,0.4444,4.7158,1125.4863,wave,0.4339,0.7845,1.2356,0.0000,1.0000,0.0000,48.6724,28,937.2083,0.3600,0.8220,7,0,51553.7109,3.5556,0.0000,3.5556,0.6191,0.5469,0.0000,8.5908,83114.0625,44,2.0750,590660.3750,5.7037,49487
44,1,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,79,64,0.8101,1.0000,0.0000,634.0625,211.3542,0.6131,4.6539,238.6379,444.4000,1043.2441,0.8743,27.5240,24.8454,722.9757,270.2626,347.0127,57835.4414,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8101,0.1899,4.6868,1125.4863,wave,0.3406,0.6047,1.2479,0.0000,1.0000,0.0000,29.9891,28,937.8253,0.3690,0.8381,7,1,66767.6250,3.5190,0.0000,3.5190,0.8554,0.4882,0.0000,4.7488,54216.2891,39,1.2845,321816.5312,6.2911,27414
44,2,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,99,68,0.6869,1.0000,0.0000,699.9412,349.9706,0.4425,4.3282,222.6393,480.1035,1054.3131,0.9471,28.4555,26.6666,833.8855,246.1933,460.5959,76765.9922,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6869,0.3131,4.3160,618.6302,ramp_up_down,0.2975,0.5320,1.3009,0.0000,1.0000,0.0000,11.7767,24,549.6289,0.3061,0.8810,7,1,71693.2891,3.5152,0.0000,3.5152,0.6130,0.4689,0.0000,2.6406,26434.3242,31,1.8221,445459.3125,6.1010,45599
44,3,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,114,81,0.7105,1.0000,0.0000,660.1235,660.1235,0.2650,4.3266,225.5000,451.3889,1020.0157,0.9047,28.7345,26.8039,822.0781,246.4431,293.8947,48982.4570,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7105,0.2895,4.3501,618.6302,ramp_up_down,0.3111,0.5571,1.3063,0.0000,1.0000,0.0000,21.4969,28,550.6847,0.3002,0.8862,7,1,82621.2734,3.6053,0.0000,3.6053,0.7078,0.5348,0.0000,3.3245,41112.3086,34,1.1951,280419.5312,5.5526,33504
44,4,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,159,131,0.8239,1.0000,0.0000,721.4199,360.7099,0.4456,4.1767,270.3964,477.5340,1047.3298,0.7747,29.2357,23.8651,845.3345,63.6928,244.3082,40718.0312,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8239,0.1761,4.1270,513.2000,shock_burst,0.3866,0.7057,1.2170,0.0000,1.0000,0.0000,60.9304,24,439.2892,0.4767,0.8704,10,0,137200.2031,4.0377,0.0000,4.0377,0.7795,0.4828,0.0000,3.3141,64252.1680,49,1.4262,234946.4688,4.4969,38845
44,5,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,183,137,0.7486,1.0000,0.0000,652.1971,326.0985,0.4414,4.1703,232.4758,430.2881,1003.0333,0.8629,27.9039,25.2283,778.5887,41.4835,308.7705,51461.7500,2,0,0.0000,0.0000,0.0000,0.0000,0,0.7486,0.2514,4.1805,513.2000,shock_burst,0.2763,0.4920,1.2249,0.0000,1.0000,0.0000,31.8691,24,440.0558,0.4775,0.7795,8,1,137415.5625,4.0601,0.0000,4.0601,0.7320,0.4703,0.0000,2.5633,53488.1914,36,1.8075,300151.4688,4.4426,56505
44,6,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,224,168,0.7500,1.0000,0.0000,617.0179,617.0179,0.3313,4.4663,233.8067,376.9392,1032.5916,0.8833,29.0975,26.2781,764.4222,34.1191,209.7723,34962.0547,2,0,0.0000,0.0000,0.0000,0.0000,0,0.7500,0.2500,4.4466,883.7547,building_up,0.3394,0.6146,1.3037,0.0000,1.0000,0.0000,27.2884,28,766.1086,0.3590,0.8537,9,0,173475.3750,3.9911,0.0000,3.9911,0.6670,0.4258,0.0000,4.1903,120084.2969,119,1.0602,197981.1406,4.1518,46989
44,7,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,222,199,0.8964,1.0000,0.0000,629.0754,629.0754,0.2638,4.4553,229.0278,413.2161,915.3159,0.7993,28.8960,25.2226,751.9205,24.8067,196.2568,32709.4590,2,0,0.0000,0.0000,0.0000,0.0000,0,0.8964,0.1036,4.3992,883.7547,building_up,0.3335,0.5897,1.2065,0.0000,1.0000,0.0000,45.9646,28,768.6997,0.3577,0.9235,9,0,182147.8750,4.2748,0.0000,4.2748,0.8045,0.4296,0.0000,5.3914,177591.6094,124,1.2388,185822.1562,4.4009,43569
44,8,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,44,35,0.7955,1.0000,0.0000,478.3143,119.5786,0.8071,4.6677,262.3429,278.6154,1179.8658,0.8995,26.8000,23.2812,914.8398,345.0008,897.4318,149571.9688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7955,0.2045,4.7454,1125.4863,wave,0.2230,0.4957,1.1947,0.0000,1.0000,0.0000,26.3697,28,934.8181,0.3597,0.8475,3,1,41295.3047,4.1136,0.0000,4.1136,0.8240,0.5969,0.0000,7.6565,67201.4297,33,1.7981,855338.2500,3.6364,39487
44,9,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,56,52,0.9286,1.0000,0.0000,489.5385,97.9077,0.9857,4.6629,266.8600,206.2400,1107.5819,0.8301,28.2711,23.8219,791.4982,336.5012,714.5536,119092.2656,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9286,0.0714,4.6746,1125.4863,wave,0.2906,0.6000,1.2157,0.0000,1.0000,0.0000,45.3436,28,935.9425,0.3633,0.9057,4,0,57594.2578,3.7143,0.0000,3.7143,0.9502,0.4622,0.0000,4.1980,35716.3008,35,4.3159,686085.5625,4.0536,40015
