seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Paris_Small,generalize_normal_wave,MAPPO,2,0.7257,0.0090,1.0000,0.0000,632.1936,28.9576,0.5547,0.0485,4.6601,0.0007,230.2175,0.0456,412.4040,6.6540,957.7352,22.4279,0.8320,0.0196,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_ramp,MAPPO,2,0.7135,0.0298,1.0000,0.0000,669.7081,40.1725,0.3936,0.0030,4.3425,0.0026,254.4587,21.3938,437.3983,7.8720,1129.5518,200.0546,0.8808,0.0832,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_shock,MAPPO,2,0.8113,0.0869,1.0000,0.0000,629.7771,91.0371,0.4167,0.0148,4.2221,0.0047,236.5521,0.4121,398.4546,65.3554,907.3860,39.9785,0.7672,0.0351,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_buildup,MAPPO,2,0.8067,0.0267,1.0000,0.0000,616.0087,16.9785,0.3318,0.0179,4.4865,0.0036,250.9001,0.5733,353.4307,24.0765,1005.2906,17.0156,0.8014,0.0154,0.0000,0.0000,0.0000
42,Paris_Small,generalize_over_fleet,MAPPO,2,0.8724,0.0205,1.0000,0.0000,471.1413,34.1413,0.8967,0.0069,4.6694,0.0006,244.6189,12.3589,231.8395,11.3779,1046.0826,44.9008,0.8556,0.0065,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_wave,FaithfulMAPPER,2,0.9166,0.0084,1.0000,0.0000,424.0090,1.0360,0.2387,0.0249,4.6597,0.0008,214.7362,4.2362,217.8722,8.4347,941.5762,23.4344,0.8769,0.0045,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_ramp,FaithfulMAPPER,2,0.8952,0.0074,1.0000,0.0000,479.5538,20.7106,0.2449,0.0530,4.3409,0.0020,256.5019,10.9452,242.0094,1.7322,1094.5234,99.8059,0.8517,0.0415,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_shock,FaithfulMAPPER,2,0.9132,0.0030,1.0000,0.0000,456.3262,17.7065,0.2056,0.0361,4.2142,0.0010,221.2794,6.6635,221.4460,10.0769,913.4541,41.9444,0.8252,0.0131,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_buildup,FaithfulMAPPER,2,0.9069,0.0331,1.0000,0.0000,509.0226,14.4109,0.2452,0.0220,4.4839,0.0019,243.2058,5.3716,263.9356,16.0816,1029.6223,3.4068,0.8472,0.0215,0.0000,0.0000,0.0000
42,Paris_Small,generalize_over_fleet,FaithfulMAPPER,2,0.9454,0.0010,1.0000,0.0000,406.9036,4.5115,0.8731,0.0762,4.6698,0.0011,234.1246,19.3554,181.2440,27.1264,985.3818,55.4464,0.8436,0.0224,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_wave,IPPO,2,0.9240,0.0260,1.0000,0.0000,416.4276,28.6776,0.2008,0.0183,4.6593,0.0019,217.8449,12.3914,208.1788,5.4121,922.4938,34.2010,0.8479,0.0168,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_ramp,IPPO,2,0.8966,0.0116,1.0000,0.0000,472.2406,22.8606,0.1383,0.0068,4.3414,0.0014,264.3257,19.0227,217.1841,4.2521,1149.5022,92.9330,0.8692,0.0078,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_shock,IPPO,2,0.8948,0.0026,1.0000,0.0000,427.4464,28.8893,0.1575,0.0370,4.2135,0.0005,209.6771,8.4086,224.5472,17.4333,899.8835,25.4542,0.8588,0.0102,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_buildup,IPPO,2,0.8893,0.0207,1.0000,0.0000,483.6978,13.1978,0.2795,0.0128,4.4838,0.0017,239.0525,1.2269,245.7900,9.3229,1017.4017,2.2513,0.8512,0.0063,0.0000,0.0000,0.0000
42,Paris_Small,generalize_over_fleet,IPPO,2,0.8819,0.0069,1.0000,0.0000,427.8361,6.8986,0.9018,0.0138,4.6686,0.0008,236.7708,1.6667,203.8974,13.9174,1004.1319,35.0364,0.8480,0.0236,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_wave,Hybrid,2,0.9277,0.0111,1.0000,0.0000,431.9971,2.5789,0.2021,0.0027,4.6609,0.0014,221.7591,0.1767,215.8383,2.8030,951.2617,9.6032,0.8579,0.0080,-0.0351,0.0000,0.0000
42,Paris_Small,generalize_normal_ramp,Hybrid,2,0.8887,0.0316,1.0000,0.0000,480.4888,9.5946,0.2005,0.0766,4.3408,0.0020,265.2871,15.4271,223.9326,2.6293,1143.7256,109.7968,0.8604,0.0327,-0.0499,0.0000,0.0000
42,Paris_Small,generalize_stress_shock,Hybrid,2,0.9166,0.0064,1.0000,0.0000,415.7388,5.9125,0.1635,0.0182,4.2148,0.0023,212.3165,1.8596,214.0948,4.4649,897.7857,18.9162,0.8456,0.0104,-0.0285,0.0000,0.0000
42,Paris_Small,generalize_stress_buildup,Hybrid,2,0.8792,0.0308,1.0000,0.0000,484.6353,8.3317,0.2692,0.0472,4.4841,0.0019,240.4096,2.4759,246.5276,5.1867,1018.2140,2.2063,0.8472,0.0106,-0.0273,0.0000,0.0000
42,Paris_Small,generalize_over_fleet,Hybrid,2,0.8998,0.0109,1.0000,0.0000,415.7255,6.6078,0.8898,0.0535,4.6684,0.0014,239.2667,18.5667,181.9400,18.0600,997.0891,42.2781,0.8357,0.0295,-0.0308,0.0000,0.0000
42,Paris_Small,generalize_normal_wave,TokenPassing,2,0.4519,0.0685,1.0000,0.0000,854.6599,19.3990,0.8069,0.0038,4.6663,0.0009,206.6802,41.6532,645.6489,5.5632,957.5292,121.6446,0.9346,0.0654,0.0000,0.0000,0.0000
42,Paris_Small,generalize_normal_ramp,TokenPassing,2,0.4018,0.0141,1.0000,0.0000,853.9594,31.8278,0.8027,0.0042,4.3500,0.0006,197.8259,22.2313,711.4149,115.1797,1164.4861,84.2809,1.0000,0.0000,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_shock,TokenPassing,2,0.2837,0.0337,1.0000,0.0000,753.8058,56.0622,0.6435,0.0009,4.2760,0.0001,164.1284,18.1951,568.7854,84.7551,787.7725,62.2342,0.9634,0.0310,0.0000,0.0000,0.0000
42,Paris_Small,generalize_stress_buildup,TokenPassing,2,0.1658,0.0008,1.0000,0.0000,783.0757,157.0151,0.5024,0.0003,4.5147,0.0015,150.5812,3.0974,625.6512,107.8845,971.7167,73.0786,1.0000,0.0000,0.0000,0.0000,0.0000
42,Paris_Small,generalize_over_fleet,TokenPassing,2,0.9815,0.0185,1.0000,0.0000,368.5144,12.8606,0.9311,0.0576,4.6699,0.0021,233.5968,3.1147,134.4650,16.4279,997.2814,19.8149,0.8538,0.0056,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_normal_wave,MAPPO,2,0.6275,0.0534,1.0000,0.0000,775.2999,40.1064,0.5901,0.0353,4.6571,0.0033,262.0000,11.6038,541.5444,68.5444,1121.0364,82.1343,0.8602,0.1008,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_normal_ramp,MAPPO,2,0.6024,0.0399,1.0000,0.0000,746.2323,9.8249,0.5423,0.0415,4.3349,0.0043,265.3152,10.4847,513.4066,52.6311,1073.1301,81.3633,0.8078,0.0294,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_stress_shock,MAPPO,2,0.6306,0.0230,1.0000,0.0000,721.0513,89.6154,0.4871,0.0512,4.1951,0.0108,220.7436,19.7436,502.7957,55.3686,1018.6750,14.5230,0.9292,0.0700,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_stress_buildup,MAPPO,2,0.6736,0.1058,1.0000,0.0000,722.5010,64.8721,0.4189,0.0112,4.4737,0.0035,231.6525,0.8290,485.8074,67.9313,1070.2393,58.8565,0.9238,0.0475,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_over_fleet,MAPPO,2,0.9208,0.0408,1.0000,0.0000,451.1464,85.3736,0.8918,0.1372,4.6608,0.0009,246.8370,66.3370,215.2069,19.5847,1090.0686,329.4479,0.8747,0.0319,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_normal_wave,FaithfulMAPPER,2,0.8688,0.0355,1.0000,0.0000,480.5203,39.1909,0.2486,0.0744,4.6520,0.0006,254.2618,20.8281,232.2547,24.2661,1148.4314,123.2747,0.9015,0.0231,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_normal_ramp,FaithfulMAPPER,2,0.8604,0.0479,1.0000,0.0000,467.2354,64.1748,0.2784,0.0148,4.3287,0.0049,246.4325,25.7727,231.7929,46.4798,1059.0284,131.9535,0.8577,0.0174,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_stress_shock,FaithfulMAPPER,2,0.8795,0.0192,1.0000,0.0000,479.1188,7.1540,0.2550,0.0208,4.1665,0.0066,232.4005,6.2945,252.1060,10.2127,1034.7070,56.7145,0.8898,0.0247,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_stress_buildup,FaithfulMAPPER,2,0.8428,0.0046,1.0000,0.0000,487.3803,48.5203,0.2303,0.0030,4.4607,0.0063,232.6393,26.7343,263.0835,26.2402,1011.3392,102.4509,0.8708,0.0120,0.0000,0.0000,0.0000
42,NewYork_Small,generalize_over_fleet,FaithfulMAPPER,2,0.8323,0.0523,1.0000,0.0000,426.9596,70.0621,0.9817,0.2272,4.6625,0.0023,238.4017,64.3761,227.4504,25.6896,1028.4540,264.7320,0.8660,0.0117,0.0000,0.0000,0.0000
