seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,eval_normal_wave,RMCA,2,0.3820,0.0951,1.0000,0.0000,831.4126,202.9510,0.5611,0.0232,4.6568,0.0031,255.9163,36.6837,567.5257,174.6561,1033.2468,45.5700,0.8296,0.1545,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_normal_ramp,RMCA,2,0.4881,0.0214,1.0000,0.0000,561.5414,18.8475,0.2468,0.0224,4.3361,0.0011,258.9958,17.4625,326.3583,42.9624,1174.2544,80.2001,0.8957,0.1043,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_stress_shock,RMCA,2,0.5296,0.0825,1.0000,0.0000,635.5367,4.2001,0.4759,0.1690,4.1903,0.0076,261.3615,2.0356,352.9749,23.0149,1121.9331,51.8392,0.8589,0.0464,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_stress_buildup,RMCA,2,0.6315,0.0958,1.0000,0.0000,596.6917,78.5528,0.4526,0.0107,4.4719,0.0091,229.6014,7.6486,372.6154,82.2633,912.3130,52.9023,0.7940,0.0196,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_over_fleet,RMCA,2,0.7922,0.0078,1.0000,0.0000,511.6159,72.6841,0.1113,0.0234,4.6654,0.0016,308.0238,72.4762,199.3336,0.8791,1001.0208,99.9281,0.6719,0.0932,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_normal_wave,MAPPO,2,0.7150,0.0281,1.0000,0.0000,697.3845,16.7390,0.3970,0.0428,4.6453,0.0013,346.1961,21.2730,389.9306,29.2327,1080.3831,9.5502,0.6269,0.0440,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_normal_ramp,MAPPO,2,0.6870,0.0394,1.0000,0.0000,564.8529,11.8529,0.2992,0.0694,4.3296,0.0000,281.5408,6.2681,323.2734,9.0599,1141.5575,28.2158,0.8109,0.0020,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_stress_shock,MAPPO,2,0.7938,0.0180,1.0000,0.0000,549.2435,25.5768,0.4466,0.0170,4.1622,0.0049,287.2573,16.3805,291.6103,19.6364,1063.1504,60.5671,0.7402,0.0000,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_stress_buildup,MAPPO,2,0.8017,0.0138,1.0000,0.0000,566.6054,16.4010,0.4614,0.0344,4.4645,0.0067,277.6224,6.9582,302.8137,12.0337,925.2059,59.0410,0.6680,0.0593,0.0000,0.0000,0.0000
42,Tokyo_Small,eval_over_fleet,MAPPO,2,0.8216,0.0216,1.0000,0.0000,578.0560,62.8742,0.1414,0.0032,4.6654,0.0014,282.4376,57.0740,300.5882,4.8901,995.8058,77.3401,0.7236,0.0915,0.0000,0.0000,0.0000
