seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
42,0,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,115,59,0.5130,0.8261,0.1739,676.0339,225.3446,0.5675,4.6575,233.5098,447.6889,1127.6019,0.9658,28.4385,24.2132,882.6306,237.0872,270.3826,45063.7695,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6211,0.3789,4.7216,1125.4863,wave,0.3039,0.5508,1.2258,1.2577,0.8261,0.0000,7.9894,28,937.5100,0.3600,0.9276,10,1,66528.5156,1.0348,0.5652,0.0000,0.5353,0.5014,4.4113,5.0858,42575.7617,40,1.3646,260528.5938,4.5652,31094
42,1,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,109,69,0.6330,0.9541,0.0459,649.4637,324.7319,0.3800,4.6521,224.6000,435.6000,1037.2040,0.9236,29.5271,27.0010,867.8145,253.6333,304.8716,50811.9258,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6635,0.3365,4.6550,1125.4863,wave,0.3308,0.5924,1.2565,0.9962,0.9541,0.0000,17.1592,28,937.8755,0.3716,0.9533,11,1,71567.0781,1.1468,0.1927,0.0000,0.6038,0.5167,0.5666,6.7251,52003.2188,57,3.0990,293252.8125,2.8349,33231
42,2,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,115,61,0.5304,0.8783,0.1217,718.7213,239.5738,0.5720,4.6525,275.4310,431.6035,1230.9612,0.8938,27.7436,26.1468,911.8432,255.7246,213.0174,35502.8984,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6040,0.3960,4.6956,1125.4863,wave,0.3602,0.6897,1.2862,1.3794,0.8783,0.0000,29.2388,28,938.2294,0.3703,0.7985,10,1,75088.6328,1.2348,0.3739,0.0000,0.6023,0.6040,2.8416,4.9424,47551.9453,48,111.1926,201371.2031,4.1565,24497
42,3,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,105,69,0.6571,0.9619,0.0381,738.4927,738.4927,0.2685,4.3345,288.0500,469.1961,1318.8911,0.9157,29.4667,27.2106,974.9412,230.7678,236.2952,39382.5391,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6832,0.3168,4.3837,618.6302,ramp_up_down,0.4437,0.8006,1.2799,1.4116,0.9619,0.0000,24.2718,24,548.9817,0.3008,0.7081,10,0,91003.4922,1.2476,0.1238,0.0000,0.7459,0.6844,0.8463,3.1006,25702.6992,22,1.1377,226443.4688,2.9810,24811
42,4,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,106,63,0.5943,0.9528,0.0472,643.8571,643.8571,0.2982,4.3342,251.7091,385.2941,1049.0145,0.8335,28.6007,25.3107,791.6157,271.5292,178.4528,29742.1387,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6238,0.3762,4.3713,618.6302,ramp_up_down,0.4307,0.7831,1.1983,1.0164,0.9528,0.0000,41.9062,24,548.7164,0.3063,0.8452,10,0,66087.9141,1.2642,0.2075,0.0000,0.6255,0.4817,0.8880,3.0610,28600.5957,27,1.0595,169743.3750,3.2830,18916
42,5,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,104,71,0.6827,0.9231,0.0769,650.1268,650.1268,0.2237,4.3337,254.6154,408.8727,1113.7606,0.8749,29.3286,27.4400,885.5757,244.5582,123.5577,20592.9492,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7396,0.2604,4.3248,618.6302,ramp_up_down,0.3578,0.6678,1.2069,1.2911,0.9231,0.0000,31.8633,24,548.6775,0.3033,0.9162,10,1,79077.0000,1.2500,0.2404,0.0000,0.7222,0.5369,1.4775,4.3160,28376.7520,25,1.3258,114560.0469,3.5673,12850
42,6,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,170,88,0.5176,0.8000,0.2000,714.8523,357.4261,0.4060,4.2022,271.2436,490.1169,1104.5076,0.8144,28.5064,25.3236,992.6233,91.0946,156.0765,26012.7441,2,0,0.0000,0.0000,0.0000,0.0000,0,0.6471,0.3529,4.1869,513.2000,shock_burst,0.4232,0.8286,1.2535,1.2399,0.8000,0.0000,50.3421,28,437.2414,0.4590,0.6872,8,0,97196.6641,1.1706,0.6471,0.0000,0.4651,0.4802,7.6505,3.0222,36864.7227,32,1.6784,150828.6406,4.1176,26533
42,7,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,165,104,0.6303,0.8909,0.1091,692.9423,692.9423,0.2075,4.2045,280.3656,403.1932,1162.7886,0.8295,28.3004,24.4544,892.6036,79.5289,113.4485,18908.0801,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7075,0.2925,4.1799,513.2000,shock_burst,0.4057,0.9283,1.2720,1.2330,0.8909,0.0000,47.8079,24,436.6270,0.4675,0.8531,16,0,120930.0156,1.3091,0.3636,0.0000,0.6675,0.5753,6.6091,4.5419,81192.5391,49,1.0244,107641.0391,4.0000,18719
42,8,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,162,111,0.6852,0.8642,0.1358,672.0901,672.0901,0.2682,4.2011,237.4388,421.4773,1031.6973,0.8690,27.0967,24.9581,859.1532,74.7348,91.7963,15299.3828,1,0,0.0000,0.0000,0.0000,0.0000,0,0.7929,0.2071,4.1685,513.2000,shock_burst,0.4330,0.8771,1.2923,0.9773,0.8642,0.0000,31.0993,24,437.9964,0.4586,0.8479,10,0,114518.3984,1.3025,0.4136,0.0000,0.7221,0.5275,3.2986,3.9432,66473.8125,54,2.0138,85838.4766,3.3333,14871
42,9,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,168,101,0.6012,0.8095,0.1905,627.4653,627.4653,0.1872,4.4849,262.5807,421.9579,1097.8207,0.8362,29.0338,24.0455,926.4498,48.9009,58.8452,9807.5400,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7426,0.2574,4.4523,883.7547,building_up,0.4185,0.8496,1.2961,1.1643,0.8095,0.0000,43.0165,32,761.6992,0.3506,0.7542,10,0,110879.8906,1.3512,0.6131,0.0000,0.6183,0.5352,4.8667,3.3488,67095.0547,61,1.0983,51043.2578,3.9762,9886
