seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,train,IPPO,60,0.5220,0.0696,1.0000,0.0000,875.4617,106.9886,0.5656,0.2039,4.3270,0.2179,260.2406,36.6568,619.5131,82.8042,1120.8652,127.5401,0.8667,0.0867,-0.0001,1.1035,0.6925
42,Tokyo_Small,train,FaithfulMAPPER,60,0.5039,0.0557,1.0000,0.0000,870.6298,83.7684,0.5556,0.2046,4.3282,0.2168,266.9021,33.7091,623.3893,85.2049,1135.1013,129.6263,0.8544,0.0959,-0.0004,1.0597,0.6918
42,Tokyo_Small,train,MAPPO,60,0.5032,0.0613,1.0000,0.0000,852.0603,88.3158,0.5692,0.1875,4.3271,0.2176,260.8095,34.2645,616.1885,75.9970,1102.0602,147.2576,0.8479,0.0889,-0.0001,1.1083,0.6913
42,Kyoto_Small,train,IPPO,60,0.5198,0.0565,1.0000,0.0000,863.8793,90.2291,0.4538,0.1995,4.3164,0.2310,255.6463,35.2964,617.1926,80.1724,1082.2472,101.6608,0.8545,0.0982,-0.0000,1.0639,0.6925
42,Kyoto_Small,train,FaithfulMAPPER,60,0.5144,0.0555,1.0000,0.0000,862.2964,91.1184,0.4476,0.1937,4.3163,0.2303,259.7036,31.7178,607.8674,82.9405,1102.8699,110.1641,0.8526,0.0867,-0.0004,0.9807,0.6917
42,Kyoto_Small,train,MAPPO,60,0.5183,0.0580,1.0000,0.0000,836.0721,101.4315,0.4398,0.1821,4.3156,0.2306,248.6381,30.3082,601.0889,110.0648,1075.1001,104.6697,0.8668,0.0926,-0.0001,0.9626,0.6913
42,LosAngeles_Small,train,IPPO,60,0.4969,0.0490,1.0000,0.0000,889.4084,95.9502,0.5477,0.1597,4.3233,0.2393,263.9394,34.1989,639.2908,80.5480,1107.5824,124.1767,0.8437,0.0711,-0.0000,1.0764,0.6925
42,LosAngeles_Small,train,FaithfulMAPPER,60,0.5040,0.0580,1.0000,0.0000,878.3058,115.1716,0.5516,0.1591,4.3234,0.2392,269.5096,44.6249,632.7834,84.9685,1108.7534,121.4050,0.8337,0.0965,-0.0003,1.0045,0.6917
42,LosAngeles_Small,train,MAPPO,60,0.5073,0.0598,1.0000,0.0000,869.5172,94.4819,0.5427,0.1687,4.3224,0.2391,266.5009,35.0907,625.2683,81.8672,1115.9949,115.8661,0.8418,0.0865,-0.0001,0.9393,0.6912
43,Tokyo_Small,train,IPPO,60,0.4745,0.0729,1.0000,0.0000,893.6868,104.2893,0.4493,0.1798,4.3492,0.2287,261.8305,35.1818,647.0549,92.3927,1111.7590,135.7402,0.8494,0.0891,-0.0000,1.1618,0.6926
43,Tokyo_Small,train,FaithfulMAPPER,60,0.4800,0.0658,1.0000,0.0000,888.2557,92.7124,0.4249,0.1828,4.3507,0.2278,259.5469,30.1697,653.8330,90.4997,1106.8031,107.1675,0.8543,0.0905,-0.0003,1.1041,0.6901
43,Tokyo_Small,train,MAPPO,60,0.4930,0.0560,1.0000,0.0000,872.8558,109.8473,0.4223,0.1798,4.3513,0.2281,256.0346,32.0032,645.2765,93.1950,1099.9758,110.7356,0.8590,0.0960,-0.0001,1.0915,0.6926
43,Kyoto_Small,train,IPPO,60,0.5092,0.0689,1.0000,0.0000,862.4288,108.9946,0.5560,0.1436,4.3127,0.2431,262.0075,31.8876,608.7560,101.7140,1061.0012,107.9201,0.8171,0.1030,-0.0000,1.0019,0.6926
43,Kyoto_Small,train,FaithfulMAPPER,60,0.4905,0.0760,1.0000,0.0000,863.4394,107.5929,0.5527,0.1421,4.3127,0.2440,250.7794,38.8283,630.2740,86.0385,1093.7770,122.0611,0.8771,0.0889,-0.0003,1.0094,0.6901
43,Kyoto_Small,train,MAPPO,60,0.5225,0.0707,1.0000,0.0000,841.3430,90.3136,0.5557,0.1454,4.3130,0.2444,247.6851,30.6077,606.3829,80.8406,1049.7141,91.0288,0.8532,0.0957,-0.0000,0.9215,0.6926
43,LosAngeles_Small,train,IPPO,60,0.4474,0.0803,1.0000,0.0000,915.9869,132.6034,0.3566,0.2110,4.3585,0.1971,272.8656,40.1652,660.4217,116.5101,1102.0352,124.5425,0.8147,0.1097,-0.0000,1.1111,0.6926
43,LosAngeles_Small,train,FaithfulMAPPER,60,0.4490,0.0864,1.0000,0.0000,901.0192,119.6597,0.3334,0.1993,4.3578,0.1967,254.6973,39.0917,661.8249,112.3048,1078.7561,113.8596,0.8521,0.0923,-0.0003,1.1561,0.6902
43,LosAngeles_Small,train,MAPPO,60,0.4644,0.0772,1.0000,0.0000,918.7173,120.5852,0.3399,0.1961,4.3583,0.1962,262.5984,40.8247,676.9216,111.3129,1104.9716,129.6148,0.8469,0.0991,-0.0001,1.1491,0.6926
