seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,8,130,53,0.4077,0.8923,0.1077,906.3396,181.2679,0.6381,1.0001,256.9783,608.6000,1084.1125,0.8437,29.6079,26.0953,855.5405,238.2957,188.0462,23505.7695,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4569,0.5431,1.0000,2.0000,flat,0.3406,0.6195,1.2263,1.3389,1.0000,0.0000,40.1558,2,0.0006,0.0026,0.4145,9,0,57457.9648,24446
42,1,Tokyo_Small,eval,MAPPO,3600,8,135,70,0.5185,0.8963,0.1037,1005.2286,335.0762,0.4457,1.0003,267.5932,746.6042,1032.5186,0.7717,29.3087,26.8461,799.7237,204.4360,151.7407,18967.5918,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5785,0.4215,1.0000,2.0000,flat,0.2314,0.4178,1.2496,1.3017,1.0000,0.0000,61.0895,2,0.0017,0.0071,0.4459,9,2,72276.2969,20485
42,2,Tokyo_Small,eval,MAPPO,3600,8,129,71,0.5504,0.8682,0.1318,1059.2394,264.8098,0.6126,1.0002,279.0833,717.8235,1086.1764,0.7784,29.1588,27.3721,866.7987,223.0284,151.6279,18953.4883,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6339,0.3661,1.0000,2.0000,flat,0.1909,0.3692,1.2004,1.4152,1.0000,0.0000,61.8481,2,0.0017,0.0045,0.4229,10,2,77118.5234,19560
42,3,Tokyo_Small,eval,MAPPO,3600,8,117,60,0.5128,0.8632,0.1368,961.8333,240.4583,0.5076,1.0002,322.9200,650.3261,1314.7004,0.8143,29.4716,26.5531,961.9896,258.4200,131.5641,16445.5137,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5941,0.4059,1.0000,2.0000,flat,0.2794,0.5094,1.2479,0.9871,1.0000,0.0000,59.9799,2,0.0014,0.0053,0.3954,9,1,78882.0234,15393
42,4,Tokyo_Small,eval,MAPPO,3600,8,132,67,0.5076,0.8788,0.1212,867.4776,216.8694,0.5913,1.0002,268.8644,623.2364,1105.8916,0.8226,29.4076,26.3504,907.8410,226.2016,140.6364,17579.5449,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5776,0.4224,1.0000,2.0000,flat,0.2694,0.4830,1.2806,1.3650,1.0000,0.0000,47.6861,2,0.0017,0.0048,0.4053,10,1,74094.7422,18564
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,8,130,56,0.4308,0.9923,0.0077,912.7500,182.5500,0.6460,1.0001,276.5660,645.3019,1101.5980,0.7966,29.6079,26.1481,842.5688,220.7191,163.1846,20398.0762,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4341,0.5659,1.0000,2.0000,flat,0.1506,0.3028,1.2437,0.5666,1.0000,0.0000,56.2464,2,0.0014,0.0037,0.3472,7,3,61689.4922,21214
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,8,135,64,0.4741,0.9926,0.0074,885.5000,177.1000,0.6384,1.0014,245.0702,680.5741,1032.4365,0.8426,29.3572,26.9962,788.3293,193.2517,178.1778,22272.2227,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4776,0.5224,1.0000,2.0000,flat,0.1667,0.3026,1.2528,1.5488,1.0000,0.0000,38.5829,2,0.0106,0.0138,0.3647,7,2,66075.9375,24054
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,8,129,58,0.4496,0.9922,0.0078,921.2759,230.3190,0.5246,1.0002,251.7059,614.9804,1068.3296,0.8489,29.2780,27.4186,815.1325,201.7525,203.0388,25379.8457,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4531,0.5469,1.0011,2.0000,flat,0.1745,0.3263,1.2308,0.9580,1.0000,0.0000,38.0400,2,0.0014,0.0043,0.3301,6,1,61963.1133,26192
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,8,117,56,0.4786,1.0000,0.0000,1078.5714,269.6429,0.6180,1.0002,325.8400,721.1860,1440.3900,0.8841,29.5886,26.6193,896.0030,227.6813,215.9915,26998.9316,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4786,0.5214,1.0000,2.0000,flat,0.1933,0.3528,1.2122,0.0000,1.0000,0.0000,37.7620,2,0.0017,0.0054,0.3454,6,1,80661.8359,25271
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,8,132,68,0.5152,1.0000,0.0000,800.2353,160.0471,0.6755,1.0001,263.1053,544.2222,1162.1571,0.8834,29.5305,26.4191,892.4816,214.0693,213.1894,26648.6738,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5152,0.4848,1.0000,2.0000,flat,0.2050,0.3658,1.2908,0.0000,1.0000,0.0000,30.6738,2,0.0008,0.0032,0.4147,8,2,79026.6875,28141
42,10,Tokyo_Small,eval,TamAlwaysAccept,3600,8,130,50,0.3846,1.0000,0.0000,861.1800,172.2360,0.7047,1.0002,242.8478,629.3674,1041.4266,0.8577,29.6079,26.1481,839.9340,219.7594,201.5615,25195.1914,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3846,0.6154,1.0000,2.0000,flat,0.2708,0.4787,1.2384,0.0000,1.0000,0.0000,34.5625,2,0.0014,0.0053,0.2899,7,1,52071.3320,26203
