solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
HybridAdaptivePredictive,Tokyo_Small,normal_wave,0,3600,6,115,30,0,0.26087,1,960.8,160.133,812.433,356.633,850.89,0,0,59330.1,0.90912,9,1,0.277778,0.503322,4.64972,0.138761,28,1125.49,0,1,0,0,0,776386,115,6751.09,6.56606e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_wave,1,3600,6,109,18,0,0.165138,1,1392.28,232.046,1189.17,495.833,842.131,0,0,38150,0.956759,8,3,0.185185,0.360041,4.65927,0.132263,28,1125.49,0,1,0,0,0,425423,109,3902.88,3.73944e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,0,3600,6,105,30,0,0.285714,1,931.867,155.311,861.8,319,904.491,0,0,70765,0.863796,7,3,0.188889,0.34641,4.32185,0.095901,24,618.63,0,1,0,0,0,732491,105,6976,6.80536e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,1,3600,6,106,40,0,0.377358,1,983.55,163.925,842.075,311.225,925.153,0,0,77767,0.961806,10,4,0.166667,0.295804,4.31549,0.103804,24,618.63,0,1,0,0,0,779066,106,7349.59,7.18001e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,0,3600,5,170,61,0,0.358824,1,1167.21,233.443,904.639,325.902,809.317,0,0,63842.4,0.980389,18,7,0.190164,0.341519,4.20458,0.211617,28,513.2,0,1,0,0,0,1003059,170,5900.29,5.81569e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,1,3600,5,165,42,0,0.254545,1,1198.81,239.762,990.548,491.952,955.778,0,0,65290.2,0.969333,13,6,0.142857,0.287692,4.21117,0.218032,24,513.2,0,1,0,0,0,873739,165,5295.34,5.21513e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,0,3600,4,168,41,0,0.244048,1,1114.9,278.726,947.512,319.073,709.578,0,0,43834.6,0.958333,14,7,0.140244,0.252295,4.49673,0.124991,32,883.755,0,1,0,0,0,705317,168,4198.26,4.12623e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,1,3600,4,198,46,0,0.232323,1,1140.33,285.082,1106.2,299.152,763.202,0,0,54127.1,0.982014,14,10,0.0652174,0.130435,4.48773,0.128678,24,883.755,0,1,0,0,0,925033,198,4671.83,4.60251e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,0,3600,60,55,49,0,0.890909,1,406.755,6.77925,177.184,253.98,920.423,0,0,78444.5,0.121245,4,1,0.264626,0.53569,4.64878,0.142964,28,1125.49,0,1,0,0,0,809075,55,14710.3,1.4517e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,1,3600,60,51,42,0,0.823529,1,583.357,9.72262,322.357,344.857,1102.16,0,0,77518,0.156741,4,1,0.21746,0.508432,4.64131,0.142392,28,1125.49,0,1,0,0,0,726083,51,14236.7,1.40449e+07,0,0,0,0
