solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
HybridAdaptivePredictive,Paris_Small,normal_wave,0,3600,6,120,37,0,0.308333,1,900.405,150.068,889.378,360.351,731.51,0,0,63130.7,0.950648,8,2,0.166667,0.329907,4.66173,0.131797,28,1812.08,0,1,0,0,0,2162129,120,18017.6,1.75926e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,normal_wave,1,3600,6,98,40,0,0.408163,1,1234.85,205.808,1068,374.625,586.283,0,0,56620,0.973009,13,2,0.266667,0.502494,4.65823,0.140081,28,1812.08,0,1,0,0,0,1501030,98,15316.5,1.48932e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,normal_ramp,0,3600,6,98,30,0,0.306122,1,894.467,149.078,739.967,349.733,891.94,0,0,72063.8,0.882546,7,2,0.188889,0.34641,4.33705,0.0916868,24,995.954,0,1,0,0,0,2113225,98,21563.4,2.11177e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,normal_ramp,1,3600,6,113,44,0,0.389381,1,825.068,137.511,723.636,335.25,909.477,0,0,76351.6,0.954583,10,3,0.143939,0.291051,4.33355,0.0952336,24,995.954,0,1,0,0,0,2064891,113,18273.2,1.78995e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,stress_shock,0,3600,5,156,43,0,0.275641,1,1293.98,258.795,1114.67,459.907,812.747,0,0,55435.6,0.971833,15,7,0.145349,0.266175,4.24745,0.193363,24,825.8,0,1,0,0,0,2340928,156,15005.8,1.48066e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,stress_shock,1,3600,5,167,62,0,0.371257,1,1220.06,244.013,1210.19,330.468,750.093,0,0,66153,0.972667,16,11,0.0709677,0.149574,4.24502,0.19449,28,825.8,0,1,0,0,0,2412286,167,14444.7,1.42708e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,stress_buildup,0,3600,4,200,42,0,0.21,1,1258.38,314.595,1625.05,544.262,794.391,0,0,47354.9,0.982153,14,9,0.0952381,0.196338,4.50696,0.121742,24,1422.85,0,1,0,0,0,2295832,200,11479.1,1.13332e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,stress_buildup,1,3600,4,198,42,0,0.212121,1,964.357,241.089,1064.55,315.429,664.563,0,0,50648.7,0.987083,14,8,0.107143,0.207567,4.50199,0.122876,28,1422.85,0,1,0,0,0,2143712,198,10826.8,1.06885e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,over_fleet,0,3600,60,56,48,0,0.857143,1,549.167,9.15278,242.708,321.375,926.96,0,0,74957.2,0.149185,3,1,0.171053,0.433013,4.65925,0.133314,28,1812.08,0,1,0,0,0,2242705,56,40048,3.96521e+07,0,0,0,0
HybridAdaptivePredictive,Paris_Small,over_fleet,1,3600,60,54,48,0,0.888889,1,571.854,9.5309,198.375,403.25,984.199,0,0,73981.1,0.14087,4,1,0.229798,0.51031,4.65701,0.132839,28,1812.08,0,1,0,0,0,1857251,54,34393.3,3.39797e+07,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_wave,0,3600,6,94,27,0,0.287234,1,1326.52,221.086,1342.85,350.778,686.392,0,0,57837.7,0.949815,9,3,0.203704,0.458123,4.64996,0.142736,28,1191.7,0,1,0,0,0,578829,94,5342.32,5.15082e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_wave,1,3600,6,108,25,0,0.231481,1,791.56,131.927,707.68,303.24,701.31,0,0,58475.8,0.896296,8,1,0.273333,0.507543,4.65718,0.134317,28,1191.7,0,1,0,0,0,722632,108,6690.94,6.50508e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_ramp,0,3600,6,109,38,0,0.348624,1,889.447,148.241,1010.82,302.079,821.587,0,0,70994,0.904491,9,3,0.210526,0.383164,4.32047,0.104606,24,655.015,0,1,0,0,0,764073,109,7009.75,6.82557e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,normal_ramp,1,3600,6,96,36,0,0.375,1,884.333,147.389,885.083,345.972,851.115,0,0,74109.7,0.885556,9,5,0.111111,0.235702,4.32607,0.0971887,24,655.015,0,1,0,0,0,656007,96,6833.3,6.63828e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,stress_shock,0,3600,5,158,59,0,0.373418,1,1296.1,259.22,1235.81,398.237,798.467,0,0,69228.2,0.957556,15,7,0.128814,0.236074,4.21201,0.208109,28,543.2,0,1,0,0,0,852987,158,5398.59,5.3054e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,stress_shock,1,3600,5,179,63,0,0.351955,1,1075.51,215.102,1047.44,272.571,618.582,0,0,64315.5,0.975444,16,8,0.133333,0.243846,4.2107,0.211837,24,543.2,0,1,0,0,0,1076194,179,6012.2,5.92737e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,stress_buildup,0,3600,4,236,49,0,0.207627,1,1088.65,272.163,1107.96,302.939,816.501,0,0,48150.8,0.976458,16,9,0.117347,0.211104,4.49569,0.126239,28,935.74,0,1,0,0,0,1011337,236,4285.28,4.20663e+06,0,0,0,0
HybridAdaptivePredictive,NewYork_Small,stress_buildup,1,3600,4,204,42,0,0.205882,1,1175.29,293.821,1143.31,396.143,800.747,0,0,43937.3,0.966181,16,3,0.261905,0.478566,4.49982,0.122887,28,935.74,0,1,0,0,0,970217,204,4755.91,4.67583e+06,0,0,0,0
