seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
42,0,Tokyo_Small,eval_normal_wave,TokenPassing,3600,6,115,50,0.4348,1.0000,0.0000,736.4800,184.1200,0.7982,4.6566,181.9535,607.2564,973.9891,1.0000,29.0913,26.5606,791.5093,209.3504,1709.8608,284976.8125,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4348,0.5652,4.7228,1125.4863,wave,0.2424,0.4832,1.2313,0.0000,1.0000,0.0000,0.0000,28,937.2386,0.3647,1.0619,11,0,48699.4531,5.2261,0.0000,0.0000,0.3391,0.3749,0.0000,3.1846,16065.6943,20,3.6881,1689705.5000,0.0000,196634
42,1,Tokyo_Small,eval_normal_wave,TokenPassing,3600,6,109,39,0.3578,1.0000,0.0000,1058.2821,264.5705,0.8056,4.6571,270.8788,797.2143,1045.2001,0.7717,29.5271,27.0010,837.8716,246.0615,2115.6331,352605.5000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3578,0.6422,4.6589,1125.4863,wave,0.3646,0.6644,1.2446,0.0000,1.0000,0.0000,61.8388,28,936.5689,0.3686,0.9529,11,0,40762.8047,5.0092,0.0000,0.0000,0.3439,0.5206,0.0000,5.1369,40323.9883,27,3.5148,2088209.5000,0.0000,230604
42,2,Tokyo_Small,eval_normal_ramp,TokenPassing,3600,6,105,44,0.4190,1.0000,0.0000,741.8636,185.4659,0.7693,4.3414,219.7179,511.9730,1180.2579,1.0000,29.4667,27.2106,949.1213,228.9151,1601.5619,266926.9688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4190,0.5810,4.3915,618.6302,ramp_up_down,0.2094,0.3947,1.2849,0.0000,1.0000,0.0000,0.0000,24,547.7400,0.2985,0.9163,10,2,51931.3516,5.1905,0.0000,0.0000,0.4456,0.6412,0.0000,3.1141,11861.8086,18,6.6053,1585192.8750,0.0000,168164
42,3,Tokyo_Small,eval_normal_ramp,TokenPassing,3600,6,106,43,0.4057,1.0000,0.0000,849.3488,212.3372,0.8000,4.3409,266.0750,573.4243,1023.7689,0.7695,29.0985,25.4563,770.6998,266.7950,1570.2736,261712.2500,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4057,0.5943,4.3757,618.6302,ramp_up_down,0.3333,0.5999,1.1897,0.0000,1.0000,0.0000,61.3212,24,547.4183,0.3049,0.9799,10,0,44022.0625,5.0755,0.0000,0.0000,0.3651,0.4119,0.0000,3.0372,17317.5703,15,2.7615,1552411.0000,0.0000,166449
42,4,Tokyo_Small,eval_stress_shock,TokenPassing,3600,6,170,45,0.2647,1.0000,0.0000,690.5555,230.1852,0.6446,4.2581,156.0000,640.2500,1047.5055,1.0000,28.5064,25.3236,874.8556,59.1200,925.9706,154328.4375,0,0,0.0000,0.0000,0.0000,0.0000,0,0.2647,0.7353,4.2472,513.2000,shock_burst,0.3692,0.6657,1.2508,0.0000,1.0000,0.0000,0.0000,28,433.6656,0.4252,0.9461,16,2,47137.7461,3.7706,0.0000,0.0000,0.2306,0.4656,0.0000,3.6423,15689.9697,18,100221.7891,900245.6250,0.0000,157415
42,5,Tokyo_Small,eval_stress_shock,TokenPassing,3600,6,165,34,0.2061,1.0000,0.0000,1205.2646,401.7549,0.6430,4.2626,192.2812,957.3636,978.1385,1.0000,29.0465,25.3598,860.1920,68.4192,758.0424,126340.4062,0,0,0.0000,0.0000,0.0000,0.0000,0,0.2061,0.7939,4.2412,513.2000,shock_burst,0.3375,0.5978,1.2677,0.0000,1.0000,0.0000,0.0000,24,432.4639,0.4335,1.0288,12,1,33256.7109,3.8182,0.0000,0.0000,0.1772,0.4672,0.0000,2.0352,7451.4971,6,3.0945,747637.5625,0.0000,125077
42,6,Tokyo_Small,eval_stress_buildup,TokenPassing,3600,6,168,36,0.2143,1.0000,0.0000,688.8055,229.6019,0.5016,4.5061,113.4333,583.7000,724.8694,1.0000,29.0338,24.0455,809.5054,26.9813,577.0357,96172.6172,0,0,0.0000,0.0000,0.0000,0.0000,0,0.2143,0.7857,4.4774,883.7547,building_up,0.4318,0.8501,1.2710,0.0000,1.0000,0.0000,0.0000,32,756.5500,0.3434,1.0315,20,2,26095.3008,2.9405,0.0000,0.0000,0.1539,0.3737,0.0000,4.1702,15749.7363,17,1.9660,550835.8125,0.0000,96942
42,7,Tokyo_Small,eval_stress_buildup,TokenPassing,3600,6,198,31,0.1566,1.0000,0.0000,629.2903,209.7634,0.5019,4.5035,170.0385,562.3636,762.2928,0.8966,26.8595,23.9111,651.7503,39.4603,658.9545,109825.7578,0,0,0.0000,0.0000,0.0000,0.0000,0,0.1566,0.8434,4.4712,883.7547,building_up,0.3587,0.6778,1.2526,0.0000,1.0000,0.0000,17.5799,24,757.2228,0.3398,0.9497,11,0,23631.0781,2.9444,0.0000,0.0000,0.1400,0.3747,0.0000,2.8049,10865.8594,13,1.8070,640399.7500,0.0000,130473
42,8,Tokyo_Small,eval_over_fleet,TokenPassing,3600,6,55,54,0.9818,1.0000,0.0000,362.2037,72.4407,0.9152,4.6686,224.5370,138.0000,981.4570,0.8742,28.0722,24.5414,754.1093,352.9463,726.6182,121103.0312,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9818,0.0182,4.7391,1125.4863,wave,0.2998,0.5821,1.2295,0.0000,1.0000,0.0000,28.2456,28,935.2545,0.3565,1.0653,4,0,52998.6797,53.2727,0.0000,0.0000,0.9980,0.4781,0.0000,6.9357,49226.2031,48,1.1388,701804.5000,0.0000,39964
42,9,Tokyo_Small,eval_over_fleet,TokenPassing,3600,6,51,51,1.0000,1.0000,0.0000,394.2745,78.8549,0.9309,4.6652,255.2745,139.0000,1109.7141,0.8694,27.4802,23.4517,866.9570,352.1759,731.2353,121872.5469,0,0,0.0000,0.0000,0.0000,0.0000,0,1.0000,0.0000,4.7265,1125.4863,wave,0.2445,0.5169,1.2727,0.0000,1.0000,0.0000,33.3317,28,936.3745,0.3498,1.0056,4,1,56595.4180,51.5686,0.0000,0.0000,1.0000,0.5694,0.0000,4.7137,33510.3242,37,1.0810,705529.6250,0.0000,37293
