source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,MAPPO,Tokyo_Small,normal_wave,0,6,3600,115,72,0.6261,1.0000,727.5833,181.8958,0.6735,4.6500,273.3115,446.2963,1067.2606,0.7810,59.8593,28,0.3666,4.8372,48,0.8378,76842.7656,0.2642,0.4733,1125.4863,4.7165,79672,692.8000,115466.6641,0,0
RL,MAPPO,Tokyo_Small,normal_wave,1,6,3600,109,75,0.6881,1.0000,750.0267,375.0133,0.4748,4.6491,263.9219,541.1250,1068.3638,0.8096,50.2491,28,0.3744,5.6006,55,0.8592,80127.2812,0.2674,0.4891,1125.4863,4.6533,35653,327.0917,54515.2891,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,2,6,3600,105,57,0.5429,1.0000,765.6140,382.8070,0.3552,4.3343,265.2941,486.0364,1395.7892,1.0000,0.0000,24,0.2995,3.4712,27,0.8031,79559.9844,0.4240,0.8246,618.6302,4.3862,48445,461.3810,76896.8281,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,3,6,3600,106,82,0.7736,1.0000,693.2317,693.2317,0.2019,4.3301,244.0959,459.5075,1005.9089,0.8242,42.9141,24,0.3063,3.2075,31,0.8922,82484.5312,0.4098,0.8027,618.6302,4.3643,14459,136.4057,22734.2773,0,0
RL,MAPPO,Tokyo_Small,shock,4,6,3600,170,131,0.7706,1.0000,674.6489,337.3244,0.4290,4.1703,259.5299,406.9546,1081.5211,0.8334,43.2257,28,0.4744,2.8997,47,0.8399,141679.2656,0.3122,0.5765,513.2000,4.1541,25791,151.7118,25285.2949,0,1
RL,MAPPO,Tokyo_Small,shock,5,6,3600,165,127,0.7697,1.0000,636.5040,636.5040,0.1756,4.1762,271.8158,359.5221,1178.7584,0.8673,36.0641,24,0.4816,3.3883,57,0.8601,149702.3281,0.3645,0.6584,513.2000,4.1374,15748,95.4424,15907.0703,0,2
RL,MAPPO,Tokyo_Small,buildup,6,6,3600,168,139,0.8274,1.0000,639.8777,639.8777,0.1708,4.4761,257.9847,402.7710,1107.1138,0.8583,36.5620,32,0.3506,3.8083,93,0.8289,153888.8125,0.3394,0.6189,883.7547,4.4432,11026,65.6310,10938.4922,0,2
RL,MAPPO,Tokyo_Small,buildup,7,6,3600,198,167,0.8434,1.0000,522.9042,522.9042,0.2019,4.4605,210.9935,321.7242,882.2299,0.8363,34.5475,24,0.3649,4.3681,98,0.9188,147332.3906,0.3029,0.5429,883.7547,4.4290,16786,84.7778,14129.6299,0,1
RL,MAPPO,Tokyo_Small,over_fleet,8,6,3600,55,49,0.8909,1.0000,457.2449,91.4490,0.8537,4.6675,218.8333,234.1875,1007.3231,0.9206,17.3687,28,0.3605,6.9031,38,0.9543,49358.8281,0.3015,0.6375,1125.4863,4.7396,39665,721.1818,120196.9688,0,0
RL,MAPPO,Tokyo_Small,over_fleet,9,6,3600,51,43,0.8431,1.0000,515.2325,103.0465,0.9036,4.6613,242.9302,290.7391,1078.0280,0.8875,27.3246,28,0.3578,5.2247,47,0.9143,46355.2031,0.3188,0.7019,1125.4863,4.7261,43255,848.1373,141356.2031,0,0
RL,FaithfulMAPPER,Tokyo_Small,normal_wave,10,6,3600,115,102,0.8870,1.0000,504.9510,504.9510,0.2586,4.6507,248.6225,257.3689,1102.5065,0.8869,28.1212,28,0.3569,6.7020,107,0.8307,112455.6641,0.2808,0.5596,1125.4863,4.7113,16073,139.7652,23294.2031,0,0
