seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
42,FCA,FaithfulCongestionAware,Kyoto_Small,normal_ramp,0,6,3600,108,36,0.333333,1.0,874.583,145.764,0.97787,4.26428,219.778,675.639,886.991,0.0,0.0,24,0.129809,1.0,0,0.0,78074.2,0.166667,0.30429,347.136,0.0,49530,458.546,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,normal_ramp,1,6,3600,113,38,0.336283,1.0,734.711,122.452,0.939583,4.28384,204.605,624.053,848.396,0.0,0.0,24,0.114135,1.0,0,0.0,78578.1,0.105263,0.196929,347.136,0.0,48370,428.0,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,normal_wave,0,6,3600,94,32,0.340426,1.0,903.219,150.536,0.969861,4.62132,204.219,831.781,728.434,0.0,0.0,24,0.174773,1.0,0,0.0,60705.8,0.270833,0.480072,631.469,0.0,32939,350.351,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,normal_wave,1,6,3600,103,26,0.252427,1.0,1106.88,184.481,0.951806,4.63409,251.231,1068.5,659.77,0.0,0.0,24,0.155261,1.0,0,0.0,55759.3,0.423077,0.773067,631.469,0.0,51324,498.233,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,over_fleet,0,60,3600,48,38,0.791667,1.0,492.658,8.21096,0.135509,4.62546,279.368,229.158,923.297,0.0,0.0,24,0.153505,1.0,0,0.0,68727.2,0.199248,0.449684,631.469,0.0,111984,2332.88,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,over_fleet,1,60,3600,56,50,0.892857,1.0,488.74,8.14567,0.142477,4.62082,361.22,154.14,1160.57,0.0,0.0,32,0.155017,1.0,0,0.0,87361.3,0.23875,0.47833,631.469,0.0,118831,2121.88,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,stress_buildup,0,4,3600,220,47,0.213636,1.0,777.128,194.282,0.986458,4.45915,124.043,692.979,507.358,0.0,0.0,24,0.154625,1.0,0,0.0,57805.7,0.0691489,0.125874,495.862,0.0,251136,1141.5,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,stress_buildup,1,4,3600,214,32,0.149533,1.0,914.531,228.633,0.984653,4.46542,188.688,735.875,618.652,0.0,0.0,28,0.152258,1.0,0,0.0,49329.9,0.15625,0.279509,495.862,0.0,144325,674.388,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,stress_shock,0,5,3600,150,46,0.306667,1.0,831.261,166.252,0.968667,4.1395,152.174,711.935,568.566,0.0,0.0,28,0.256332,1.0,0,0.0,65604.0,0.173913,0.310497,288.0,0.0,130860,872.36,0.0,0,0
42,FCA,FaithfulCongestionAware,Kyoto_Small,stress_shock,1,5,3600,179,49,0.273743,1.0,816.265,163.253,0.9785,4.1321,144.878,683.143,584.301,0.0,0.0,24,0.254019,1.0,0,0.0,63986.9,0.106122,0.197864,288.0,0.0,153808,859.229,0.0,0,0
