seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
43,0,Tokyo_Small,eval_normal_wave,RMCA,3600,6,105,34,0.3238,1.0000,0.0000,1033.9412,344.6471,0.6529,4.6583,344.2258,636.8333,1207.3442,0.7015,28.9712,26.9119,863.0358,240.1928,908.3714,151395.2344,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3238,0.6762,4.7010,1125.4863,wave,0.3860,0.7034,1.1651,0.0000,1.0000,0.0000,102.7570,28,936.8886,0.3651,0.9013,5,0,41049.7070,4.7048,0.0000,4.7048,0.3098,0.4554,0.0000,4.3831,26046.8145,20,1.0080,5.8532,1213.9994,2434.5840,897279.9375,9.9143,90695.7266,0.0000,95379
43,1,Tokyo_Small,eval_normal_wave,RMCA,3600,6,120,42,0.3500,1.0000,0.0000,766.4524,383.2262,0.4595,4.6591,310.6842,461.6818,1198.8062,0.7717,29.5703,27.4291,832.1573,211.3590,654.5500,109091.6641,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3500,0.6500,4.7411,1125.4863,wave,0.4481,1.0817,1.2823,0.0000,1.0000,0.0000,70.9230,28,937.8661,0.3565,0.6902,10,0,50349.8594,4.7167,0.0000,4.7167,0.3530,0.5377,0.0000,3.1674,32064.1699,9,1.0000,4.8322,1425.0692,3237.7432,636725.3750,12.1083,72425.4062,0.0000,78546
43,2,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,109,43,0.3945,1.0000,0.0000,647.6047,647.6047,0.2141,4.3361,298.6667,343.0526,1335.4806,0.8943,29.3889,27.6252,918.1266,233.3882,1099.3854,183230.8906,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3945,0.6055,4.3798,618.6302,ramp_up_down,0.4695,1.0164,1.2747,0.0000,1.0000,0.0000,31.5705,28,547.3128,0.3128,0.4308,9,0,57425.6641,4.7156,0.0000,4.7156,0.4654,0.6850,0.0000,1.6024,5094.0771,4,1.0000,6.6141,1113.9207,2765.2092,1085055.5000,9.4037,111204.7812,0.0000,119833
43,3,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,92,50,0.5435,1.0000,0.0000,575.7200,575.7200,0.2061,4.3377,239.1395,319.2222,1024.5945,0.8569,27.9160,26.2920,778.4353,220.2843,404.0000,67333.3359,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5435,0.4565,4.3656,618.6302,ramp_up_down,0.3095,0.5678,1.1859,0.0000,1.0000,0.0000,34.2206,24,547.4922,0.3105,0.3965,6,1,51229.7227,4.5761,0.0000,4.5761,0.5233,0.4442,0.0000,1.7079,6215.8652,5,1.0000,2.6457,1665.3352,3570.9099,389617.4688,8.1630,33902.5312,0.0000,37168
43,4,Tokyo_Small,eval_stress_shock,RMCA,3600,5,129,80,0.6202,1.0000,0.0000,574.3375,574.3375,0.3408,4.2098,225.1408,353.4878,911.2233,0.8095,26.7263,23.0238,773.1744,79.0503,182.8837,30480.6211,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6202,0.3798,4.2448,513.2000,shock_burst,0.4862,0.9114,1.3420,0.0000,1.0000,0.0000,42.8962,24,436.9483,0.4550,0.4202,9,0,72897.8672,4.6202,0.0000,4.6202,0.5698,0.4764,0.0000,1.9951,13453.1260,13,1.0264,3.4854,1731.8467,3670.2786,172965.6719,4.9457,19181.4883,0.0000,23592
43,5,Tokyo_Small,eval_stress_shock,RMCA,3600,5,162,96,0.5926,1.0000,0.0000,536.2500,268.1250,0.4177,4.1893,216.9524,315.7677,976.2861,0.9000,28.6325,26.8232,750.2105,51.4948,174.2099,29034.9785,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5926,0.4074,4.1892,513.2000,shock_burst,0.4381,0.8465,1.2778,0.0000,1.0000,0.0000,21.6951,24,438.2528,0.4668,0.4669,10,0,93723.4688,4.5802,0.0000,4.5802,0.5546,0.4674,0.0000,2.2511,28639.4922,15,1.3173,5.7229,1759.4478,3589.2725,167221.2031,5.0679,23815.0586,0.0000,28222
43,6,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,206,129,0.6262,1.0000,0.0000,681.2248,340.6124,0.5722,4.4628,317.0354,331.7480,1193.6755,0.7530,28.9034,26.1683,846.8906,25.8507,200.6505,33441.7461,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6262,0.3738,4.4157,883.7547,building_up,0.3479,0.6297,1.2102,0.0000,1.0000,0.0000,78.3003,36,764.7228,0.3742,0.5800,8,0,153984.1406,4.6553,0.0000,4.6553,0.6239,0.4780,0.0000,2.0550,36201.7227,30,1.0255,5.7276,1881.5912,4306.7334,190942.3281,4.5874,34794.5742,0.0000,41334
43,7,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,202,107,0.5297,1.0000,0.0000,619.8505,619.8505,0.3142,4.4698,239.3297,351.7850,1034.8873,0.8648,28.4599,27.0769,822.8199,46.0456,330.6535,55108.9102,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5297,0.4703,4.4628,883.7547,building_up,0.4706,0.9184,1.2270,0.0000,1.0000,0.0000,32.3522,24,764.0294,0.3609,0.6531,9,0,110732.9453,4.7030,0.0000,4.7030,0.5229,0.4918,0.0000,2.6409,38659.3633,31,1.0000,10.2963,1160.9896,3235.5647,320113.6875,4.9307,58523.8398,0.0000,66792
43,8,Tokyo_Small,eval_over_fleet,RMCA,3600,60,49,35,0.7143,1.0000,0.0000,704.4572,88.0571,0.1350,4.6693,391.4243,298.1282,1214.7977,0.6207,28.2802,24.9168,922.0922,345.9441,1084.5306,180755.1094,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7143,0.2857,4.7601,1125.4863,wave,0.4059,0.7959,1.1909,0.0000,1.0000,0.0000,148.4647,28,935.1180,0.3540,0.8781,3,0,42517.9219,4.3673,0.0000,4.3673,0.6831,0.5093,0.0000,4.3931,27501.4648,18,1.0881,1.3147,1651.8595,2051.7454,1044151.6875,3.7959,50577.0117,0.0000,53142
43,9,Tokyo_Small,eval_over_fleet,RMCA,3600,60,57,44,0.7719,1.0000,0.0000,532.0227,76.0032,0.1179,4.6708,341.4762,201.6304,1067.0315,0.6250,28.6363,25.4574,782.2531,345.1320,861.7018,143616.9531,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7719,0.2281,4.6869,1125.4863,wave,0.3636,0.6983,1.3733,0.0000,1.0000,0.0000,128.0699,24,935.3997,0.3502,0.6593,4,0,46949.3828,4.4737,0.0000,4.4737,0.7375,0.5217,0.0000,2.1545,11953.8770,12,1.0212,1.3050,1580.1692,1908.3694,832969.0000,4.2105,46858.6250,0.0000,49117
