seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,8,130,67,0.5154,0.8692,0.1308,744.1194,148.8239,0.6611,1.0027,307.7963,508.7292,1166.8180,0.7582,29.6079,25.6958,906.9254,241.2281,69.0000,8625.0000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5929,0.4071,1.0000,2.0000,flat,0.1591,0.3387,1.2342,1.2663,0.8692,0.0000,74.4327,2,0.0136,0.0232,0.4023,9,3,78176.8047,8970
42,1,Tokyo_Small,eval,MAPPO,3600,8,135,94,0.6963,0.9556,0.0444,706.0745,141.2149,0.7138,1.0007,235.9091,455.8571,1067.0454,0.9046,29.3572,26.9962,794.1068,199.1124,122.6222,15327.7773,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7287,0.2713,1.0007,2.0000,flat,0.2158,0.3846,1.2551,1.2542,0.9556,0.0000,22.5000,2,0.0061,0.0092,0.3874,11,3,100302.2734,16554
42,2,Tokyo_Small,eval,MAPPO,3600,8,129,75,0.5814,0.9225,0.0775,823.3066,164.6613,0.6656,1.0001,267.8594,558.8475,1228.0513,0.9169,29.2780,27.4186,855.8423,216.2665,86.1318,10766.4727,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6303,0.3697,1.0000,2.0000,flat,0.2188,0.4075,1.2247,1.2759,0.9225,0.0000,22.2491,2,0.0011,0.0029,0.3837,10,3,92103.8438,11111
42,3,Tokyo_Small,eval,MAPPO,3600,8,117,64,0.5470,0.9487,0.0513,873.7812,218.4453,0.5202,1.0003,237.7018,630.7358,1337.3141,1.0000,29.4716,26.1189,930.2014,219.8676,143.4872,17935.8965,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5766,0.4234,1.0000,2.0000,flat,0.3289,0.6264,1.2075,1.2995,0.9487,0.0000,0.0000,2,0.0025,0.0069,0.3580,12,1,85588.1016,16788
42,4,Tokyo_Small,eval,MAPPO,3600,8,132,84,0.6364,0.9621,0.0379,792.3810,158.4762,0.6393,1.0002,252.8630,560.4769,1254.0410,0.9919,29.4076,26.1272,907.3547,218.1253,102.4773,12809.6592,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6614,0.3386,1.0011,2.0000,flat,0.1713,0.3263,1.2933,1.2274,0.9621,0.0000,2.0548,2,0.0031,0.0046,0.4055,11,4,105339.4531,13527
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,8,130,54,0.4154,0.8231,0.1769,735.0555,147.0111,0.6303,1.0002,285.5800,502.6111,1184.8446,0.8298,29.3044,25.5336,943.4174,239.0952,85.1769,10647.1152,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5047,0.4953,1.0000,2.0000,flat,0.1716,0.3057,1.2313,1.2716,0.8231,0.0000,48.6111,2,0.0014,0.0047,0.3317,6,2,63981.6055,11073
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,8,135,46,0.3407,0.6444,0.3556,993.5000,198.7000,0.7237,1.0002,334.2750,663.6047,1280.6351,0.7662,29.3013,26.2887,1005.9069,290.6109,88.3407,11042.5928,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5287,0.4713,1.0000,2.0000,flat,0.1349,0.2736,1.2201,1.3184,0.6444,0.0000,78.1480,2,0.0011,0.0046,0.2713,6,2,58909.2148,11926
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,8,129,38,0.2946,0.7054,0.2946,1061.2632,265.3158,0.6191,1.0001,378.8000,708.4054,1507.8652,0.7961,29.0937,27.3014,1022.9826,267.5758,113.2868,14160.8525,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4176,0.5824,1.0000,2.0000,flat,0.1689,0.3093,1.2015,1.2937,0.7054,0.0000,77.2269,2,0.0006,0.0028,0.2633,5,2,57298.8789,14614
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,8,117,47,0.4017,0.7179,0.2821,1080.4255,270.1064,0.6126,1.0001,397.8974,700.9412,1695.3542,0.8522,29.0472,25.5526,1121.3132,265.0749,105.7863,13223.2910,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5595,0.4405,1.0000,2.0000,flat,0.2292,0.4123,1.1983,1.2478,0.7179,0.0000,58.8266,2,0.0011,0.0042,0.2542,6,1,79681.6484,12377
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,8,132,50,0.3788,0.7500,0.2500,868.6200,173.7240,0.6790,1.0001,338.6087,579.6326,1522.7527,0.8994,29.3355,26.3223,1065.4536,249.8800,125.7652,15720.6436,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5051,0.4949,1.0000,2.0000,flat,0.1848,0.3340,1.3254,1.1872,0.7500,0.0000,34.0582,2,0.0008,0.0030,0.3004,6,2,76137.6328,16601
