seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval_slack,MAPPO,3600,8,130,46,0.3538,0.8846,0.1154,733.3696,183.3424,0.5225,1.0001,237.7632,581.2571,1065.4784,0.8963,29.6079,25.7356,899.4297,240.7934,243.2615,30407.6914,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4000,0.6000,1.0000,2.0000,flat,0.4474,0.7930,1.2279,1.3190,0.8846,0.0000,24.6675,2,0.0011,0.0044,0.3977,11,0,49012.0078,31624
42,1,Tokyo_Small,eval_slack,MAPPO,3600,8,135,70,0.5185,0.9778,0.0222,867.5571,289.1857,0.4463,1.0004,253.9483,571.3922,1068.7285,0.8417,29.3572,26.9962,783.7651,194.0712,71.6667,8958.3330,1,0,0.0000,0.0000,0.0000,0.0000,0,0.5303,0.4697,1.0000,2.0000,flat,0.4914,0.9323,1.2603,1.0218,0.9778,0.0000,40.2026,2,0.0025,0.0081,0.3936,14,1,74810.9922,9675
42,2,Tokyo_Small,eval_slack,MAPPO,3600,8,129,63,0.4884,0.9380,0.0620,750.0793,250.0264,0.4360,1.0002,254.3158,492.2857,1045.8594,0.8225,29.2780,27.4186,851.8154,214.7928,73.8605,9232.5586,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5207,0.4793,1.0000,2.0000,flat,0.2444,0.4398,1.2274,1.2479,0.9380,0.0000,45.1439,2,0.0022,0.0051,0.4524,9,2,65889.1406,9528
42,3,Tokyo_Small,eval_normal,MAPPO,3600,8,128,77,0.6016,0.9453,0.0547,668.7013,167.1753,0.5412,1.0003,225.5072,408.9474,1053.0377,0.9339,29.4472,27.2729,832.7620,221.4324,53.4609,6682.6172,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6364,0.3636,1.0010,2.0000,flat,0.3672,0.6510,1.2651,1.5908,0.9453,0.0000,14.8997,2,0.0022,0.0073,0.3906,12,1,81083.9062,6843
42,4,Tokyo_Small,eval_normal,MAPPO,3600,8,133,56,0.4211,0.9549,0.0451,716.4643,238.8214,0.4279,1.0002,211.3600,494.8085,999.1216,0.9454,29.4464,26.1442,836.6882,250.6241,103.7970,12974.6240,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4409,0.5591,1.0000,2.0000,flat,0.4304,0.8199,1.1940,1.3264,0.9549,0.0000,11.5357,2,0.0014,0.0057,0.4370,12,1,55950.8086,13805
42,5,Tokyo_Small,eval_normal,MAPPO,3600,8,135,65,0.4815,0.9481,0.0519,743.8770,247.9590,0.4187,1.0002,231.4407,455.5172,1206.1729,1.0000,29.6133,27.5815,946.0317,195.6834,188.7926,23599.0742,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5078,0.4922,1.0000,2.0000,flat,0.3548,0.6778,1.2118,1.1547,0.9481,0.0000,0.0000,2,0.0011,0.0050,0.4028,15,1,78401.2344,25487
42,6,Tokyo_Small,eval_stress_light,MAPPO,3600,8,135,70,0.5185,0.9185,0.0815,789.9286,789.9286,0.1680,1.0008,243.4915,485.3000,1112.3699,0.9137,29.5257,26.8325,894.5370,204.1227,99.8519,12481.4814,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5645,0.4355,1.0019,2.0000,flat,0.5466,1.0713,1.2120,1.3285,0.9185,0.0000,21.0176,2,0.0061,0.0109,0.4464,17,0,77865.8984,13480
42,7,Tokyo_Small,eval_stress_light,MAPPO,3600,8,132,54,0.4091,0.9242,0.0758,723.2963,361.6482,0.3736,1.0000,216.5870,611.9756,1094.9362,1.0000,29.6340,26.6020,797.6967,204.5704,347.0530,43381.6289,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4426,0.5574,1.0000,2.0000,flat,0.3000,0.5375,1.1852,1.2961,0.9242,0.0000,0.0000,1,0.0000,0.0000,0.3860,9,1,59126.5508,45811
42,8,Tokyo_Small,eval_stress_light,MAPPO,3600,8,136,61,0.4485,0.9191,0.0809,779.1967,389.5984,0.2525,1.0002,238.3571,508.8723,1110.7892,0.9320,29.1774,26.8544,840.2106,200.5752,132.8382,16604.7793,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4880,0.5120,1.0011,2.0000,flat,0.3244,0.5886,1.2986,1.2069,0.9191,0.0000,16.1993,2,0.0014,0.0058,0.4605,10,1,67758.1406,18066
42,9,Tokyo_Small,eval_stress_heavy,MAPPO,3600,8,114,60,0.5263,0.9123,0.0877,693.6166,346.8083,0.3551,1.0001,219.5490,467.3111,1031.3237,0.9395,29.0685,25.4324,813.4594,226.7247,67.4035,8425.4385,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5769,0.4231,1.0000,2.0000,flat,0.4059,0.7360,1.2206,1.3393,0.9123,0.0000,13.2843,2,0.0006,0.0027,0.4304,11,1,61879.4219,7684
42,10,Tokyo_Small,eval_stress_heavy,MAPPO,3600,8,138,53,0.3841,0.9130,0.0870,616.4717,616.4717,0.2241,1.0002,200.3261,428.1219,922.4400,0.9209,29.1327,26.7621,749.9028,211.9394,181.8116,22726.4492,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4206,0.5794,1.0000,2.0000,flat,0.4091,0.7551,1.2312,1.2597,0.9130,0.0000,15.8381,2,0.0008,0.0053,0.4778,9,1,48889.3203,25090
42,11,Tokyo_Small,eval_stress_heavy,MAPPO,3600,8,150,88,0.5867,0.9600,0.0400,759.0568,253.0189,0.3977,1.0000,259.6494,506.4516,1188.9369,0.9158,29.3986,27.3572,901.2241,204.7189,126.4733,15809.1670,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6111,0.3889,1.0000,2.0000,flat,0.2576,0.4803,1.2744,1.1591,0.9600,0.0000,21.8620,1,0.0000,0.0000,0.4717,14,3,104626.4453,18971
42,12,Tokyo_Small,eval_slack,FaithfulMAPPER,3600,8,130,63,0.4846,0.8154,0.1846,679.7460,169.9365,0.6214,1.0002,273.4828,418.1698,1163.4164,0.8508,29.3044,25.5336,946.6683,244.2576,36.5692,4571.1538,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5943,0.4057,1.0000,2.0000,flat,0.2227,0.4494,1.2344,1.2564,0.8154,0.0000,40.7995,2,0.0014,0.0043,0.3748,10,3,73295.2344,4754
42,13,Tokyo_Small,eval_slack,FaithfulMAPPER,3600,8,135,79,0.5852,0.8296,0.1704,717.6962,143.5392,0.6567,1.0002,246.0441,489.8065,1173.8824,0.9542,29.1901,26.2052,882.2200,219.5200,32.6519,4081.4814,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7054,0.2946,1.0000,2.0000,flat,0.2289,0.4109,1.2339,1.3579,0.8296,0.0000,11.2676,2,0.0019,0.0049,0.4107,11,3,92736.7188,4408
42,14,Tokyo_Small,eval_slack,FaithfulMAPPER,3600,8,129,54,0.4186,0.7907,0.2093,841.4259,168.2852,0.6861,1.0002,283.8000,560.6470,1354.2518,0.9544,29.2185,26.8781,940.4290,243.9718,64.2946,8036.8218,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5294,0.4706,1.0000,2.0000,flat,0.2133,0.3899,1.2330,1.2123,0.7907,0.0000,12.9496,2,0.0017,0.0040,0.3552,7,2,73129.6016,8294
42,15,Tokyo_Small,eval_normal,FaithfulMAPPER,3600,8,128,63,0.4922,0.8828,0.1172,728.3651,182.0913,0.5362,1.0003,269.8793,454.0189,1029.9724,0.7633,29.4472,27.2729,911.0754,243.6466,104.4297,13053.7109,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5575,0.4425,1.0023,2.0000,flat,0.3348,0.6264,1.2405,1.6019,0.8828,0.0000,63.8848,2,0.0028,0.0064,0.3761,11,1,64888.2617,13367
42,16,Tokyo_Small,eval_normal,FaithfulMAPPER,3600,8,133,76,0.5714,0.9098,0.0902,708.3553,177.0888,0.5971,1.0001,198.2424,486.0172,1001.6689,1.0000,29.4464,26.1418,869.1779,257.8134,114.8647,14358.0830,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6281,0.3719,1.0000,2.0000,flat,0.3258,0.6098,1.1950,1.2503,0.9098,0.0000,0.0000,2,0.0008,0.0043,0.4253,13,2,76126.8359,15277
42,17,Tokyo_Small,eval_normal,FaithfulMAPPER,3600,8,135,68,0.5037,0.8593,0.1407,752.8530,188.2132,0.5970,1.0002,256.9333,503.6731,1253.0939,0.9754,29.6133,27.5815,1010.5671,212.5195,47.9556,5994.4443,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5862,0.4138,1.0000,2.0000,flat,0.3103,0.5656,1.2026,1.2467,0.8593,0.0000,6.3145,2,0.0014,0.0055,0.3686,10,2,85210.3828,6474
42,18,Tokyo_Small,eval_stress_light,FaithfulMAPPER,3600,8,135,60,0.4444,0.8296,0.1704,724.6000,362.3000,0.3677,1.0001,225.0370,499.6200,1105.0190,0.9821,29.5257,26.7875,958.1217,218.6612,100.2000,12525.0000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5357,0.4643,1.0000,2.0000,flat,0.3601,0.7187,1.2271,1.1942,0.8296,0.0000,4.0332,2,0.0006,0.0035,0.4217,11,1,66301.1484,13527
42,19,Tokyo_Small,eval_stress_light,FaithfulMAPPER,3600,8,132,65,0.4924,0.8712,0.1288,651.9077,217.3026,0.4336,1.0002,235.3214,430.6000,1033.7382,0.8786,29.7585,26.7277,831.6221,223.4100,66.5076,8313.4473,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5652,0.4348,1.0000,2.0000,flat,0.3056,0.6928,1.2069,1.1036,0.8712,0.0000,28.5738,2,0.0022,0.0053,0.4189,13,3,67192.9766,8779
42,20,Tokyo_Small,eval_stress_light,FaithfulMAPPER,3600,8,136,66,0.4853,0.8382,0.1618,671.8485,223.9495,0.4487,1.0001,242.7241,441.6429,1207.1301,0.9947,28.8748,26.4666,905.1484,208.8358,42.7279,5340.9927,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5789,0.4211,1.0000,2.0000,flat,0.2222,0.4000,1.2948,1.2724,0.8382,0.0000,1.2981,2,0.0006,0.0029,0.4219,9,2,79670.5859,5811
