solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,115,27,0,0.234783,1,1069.44,178.241,823.407,279.037,793.676,0,0,54082.7,0.951991,8,1,0.314815,0.555556,4.66379,0.1312,28,1125.49,0,3.42377,0,0,0,108740,0,945.487,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,109,25,0,0.229358,1,1128.88,188.147,1120.56,217.8,735.068,0,0,59203.5,0.973102,9,1,0.256,0.505964,4.66419,0.132466,28,1125.49,0,2.47164,0,0,0,114571,0,1051,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,105,32,0,0.304762,1,1009.47,168.245,893.469,281.438,995.944,0,0,70931.7,0.919444,7,3,0.125,0.233854,4.34779,0.089113,24,618.63,0,1.5462,0,0,0,121762,0,1159.54,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,106,40,0,0.377358,1,833.3,138.883,679.95,205.05,740.329,0,0,74415.9,0.969306,9,4,0.133333,0.239792,4.34633,0.0933957,24,618.63,0,1.42913,0,0,0,109031,0,1028.5,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,170,40,0,0.235294,1,738.425,147.685,671.725,156.925,600.796,0,0,62718,0.9845,11,6,0.13,0.237171,4.26491,0.180667,28,513.2,0,2.2201,0,0,0,300114,0,1765.32,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,165,29,0,0.175758,1,981.103,196.221,784.241,196.862,733.051,0,0,51558.2,0.982389,7,5,0.0827586,0.16893,4.28043,0.182667,24,513.2,0,3.78322,0,0,0,235856,0,1429.36,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,0,3600,4,168,26,0,0.154762,1,1514.23,378.558,1483.62,204.308,644.052,0,0,47664.4,0.986944,10,5,0.153846,0.317162,4.51086,0.117966,32,883.755,0,3.62689,0,0,0,216374,0,1287.88,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,1,3600,4,198,36,0,0.181818,1,900.222,225.056,739.028,175.778,535.075,0,0,47695.9,0.989792,11,7,0.0972222,0.175682,4.50409,0.119713,24,883.755,0,1.77506,0,0,0,236950,0,1196.66,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,0,3600,60,55,45,0,0.818182,1,491.444,8.19074,217.911,320.067,929.734,0,0,78267.4,0.138644,3,1,0.202083,0.430331,4.6675,0.129888,28,1125.49,0,2.85688,0,0,0,211398,0,3843.4,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,1,3600,60,51,44,0,0.862745,1,607.818,10.1303,233.682,402.773,1084.57,0,0,80602.2,0.166384,2,1,0.170455,0.352089,4.66394,0.124185,28,1125.49,0,3.7042,0,0,0,200838,0,3937.8,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,0,3600,6,94,35,0,0.37234,1,881.4,146.9,709.8,222,814.078,0,0,66279.6,0.972222,9,2,0.242857,0.436124,4.64939,0.150063,24,631.469,0,2.42859,0,0,0,39760,0,422.926,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,1,3600,6,103,12,0,0.116505,1,1077.42,179.569,1094.67,448.5,966.202,0,0,41443.8,0.953194,4,2,0.125,0.235702,4.66631,0.135174,24,631.469,0,7.55741,0,0,0,25906,0,251.456,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,0,3600,6,108,35,0,0.324074,1,889.314,148.219,682.143,230.943,893.31,0,0,80502.8,0.978102,7,5,0.0619048,0.117803,4.32448,0.106708,24,347.136,0,1.61663,0,0,0,55843,0,517.009,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,1,3600,6,113,37,0,0.327434,1,796.216,132.703,667.946,209.811,804.105,0,0,76837.7,0.939676,8,5,0.0945946,0.173057,4.3353,0.0986388,24,347.136,0,1.38127,0,0,0,60416,0,534.593,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_shock,0,3600,5,150,36,0,0.24,1,904.778,180.956,825.917,169.75,636.551,0,0,60215.8,0.969944,8,6,0.0666667,0.136083,4.24335,0.200386,28,288,0,1.47733,0,0,0,113334,0,755.527,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_shock,1,3600,5,179,47,0,0.26257,1,820.128,164.026,730.702,162.426,639.277,0,0,63008.8,0.978722,12,6,0.110638,0.208467,4.22606,0.20011,24,288,0,1.73035,0,0,0,147231,0,822.492,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_buildup,0,3600,4,220,31,0,0.140909,1,817.935,204.484,854.613,139.355,547.907,0,0,46613.9,0.988611,12,5,0.185484,0.345929,4.49398,0.132678,24,495.862,0,2.23583,0,0,0,133252,0,605.668,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_buildup,1,3600,4,214,29,0,0.135514,1,961,240.25,918.931,185.069,591.575,0,0,45673.7,0.985,11,4,0.198276,0.356692,4.49863,0.128363,28,495.862,0,2.56473,0,0,0,129757,0,606.318,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,over_fleet,0,3600,60,48,42,0,0.875,1,483.81,8.06349,210.476,310.262,1037.96,0,0,74005.6,0.107537,3,1,0.177083,0.401245,4.65121,0.13855,24,631.469,0,2.00204,0,0,0,112178,0,2336.92,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,over_fleet,1,3600,60,56,49,0,0.875,1,590.633,9.84388,203.51,419.041,1168.72,0,0,88963.2,0.166,4,1,0.227491,0.510204,4.6555,0.132762,32,631.469,0,3.52001,0,0,0,114980,0,2053.12,0,0,0,0,0
FaithfulCongestionAware,LosAngeles_Small,normal_wave,0,3600,6,106,19,0,0.179245,1,1051.89,175.316,857.684,310.842,738.654,0,0,41420.2,0.901713,7,1,0.294737,0.536739,4.66825,0.127934,28,944.367,0,7.27542,0,0,0,63188,0,596.028,0,0,0,0,0
FaithfulCongestionAware,LosAngeles_Small,normal_wave,1,3600,6,99,22,0,0.222222,1,1029.14,171.523,812.955,311.909,768.544,0,0,46289.5,0.860741,6,1,0.333333,0.642824,4.66677,0.135075,28,944.367,0,3.64073,0,0,0,79465,0,802.596,0,0,0,0,0
FaithfulCongestionAware,LosAngeles_Small,normal_ramp,0,3600,6,98,27,0,0.27551,1,983.444,163.907,812.185,256.185,988.405,0,0,66255.1,0.910463,8,3,0.191358,0.379517,4.3527,0.0898334,28,519.094,0,2.00626,0,0,0,71560,0,730.122,0,0,0,0,0
