solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,105,23,0,0.219048,1,1076.3,179.384,962.217,199.478,742.311,0,0,52143.7,0.965509,11,1,0.417391,0.78502,4.65634,0.132471,28,1125.49,0,1,0,0,0,85414,0,813.362,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,120,18,0,0.15,1,1543.83,257.306,1439.61,339,882.545,0,0,44795.7,0.94,5,2,0.2,0.376796,4.65321,0.145055,28,1125.49,0,1,0,0,0,106785,0,889.792,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,109,34,0,0.311927,1,989.176,164.863,820.912,257.735,933.764,0,0,75023.6,0.975,8,4,0.147059,0.263067,4.31573,0.102664,28,618.63,0,1,0,0,0,115682,0,1061.21,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,92,32,0,0.347826,1,1026.72,171.12,855.656,216.719,849.293,0,0,76482.7,0.947963,6,4,0.0729167,0.139754,4.31701,0.102989,24,618.63,0,1,0,0,0,74166,0,806.033,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,129,45,0,0.348837,1,904.422,180.884,761.244,152.156,607.43,0,0,69218,0.968278,13,5,0.168889,0.306312,4.20625,0.209944,24,513.2,0,1,0,0,0,178417,0,1383,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,162,50,0,0.308642,1,928.18,185.636,857.8,131.6,542.211,0,0,70139,0.983611,19,5,0.28,0.521536,4.2007,0.213992,24,513.2,0,1,0,0,0,250987,0,1549.24,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,0,3600,4,206,25,0,0.121359,1,953.56,238.39,741.92,211.64,639.325,0,0,44908.2,0.990556,8,4,0.15,0.285657,4.4899,0.132847,36,883.755,0,1,0,0,0,282802,0,1372.77,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,1,3600,4,202,22,0,0.108911,1,1453.55,363.386,1212.05,241.5,616.191,0,0,44079.1,0.987222,12,2,0.363636,0.710023,4.4899,0.12879,24,883.755,0,1,0,0,0,207556,0,1027.46,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,0,3600,60,49,44,0,0.897959,1,595.75,9.92917,293.568,361.523,1243.08,0,0,88992,0.142875,3,1,0.206061,0.421528,4.64806,0.134475,28,1125.49,0,1,0,0,0,198777,0,4056.47,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,1,3600,60,57,48,0,0.842105,1,523.188,8.71979,217.229,344.562,1107.84,0,0,88944,0.154681,4,1,0.260057,0.53278,4.64512,0.142728,24,1125.49,0,1,0,0,0,229706,0,4029.74,0,0,0,0,0
