solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,115,26,0,0.226087,1,1116.12,186.019,990.385,256.346,817.352,0,0,54521.2,0.95125,7,3,0.179487,0.34401,4.64972,0.141241,28,1125.49,0,1,0,0,0,87865,0,763.965,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,normal_wave,0,3600,6,115,22,0,0.191304,1,898,149.667,961.136,375,868.964,0,0,54675.1,0.816204,9,2,0.290909,0.567727,4.65165,0.135468,28,1125.49,0,1,0,0,0,673700,0,5858.15,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,109,31,0,0.284404,1,1172,195.333,1031.55,279.71,821.916,0,0,71547.9,0.972546,7,3,0.145161,0.260073,4.64176,0.150292,28,1125.49,0,1,0,0,0,131974,0,1210.68,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,normal_wave,1,3600,6,109,32,0,0.293578,1,1103.91,183.984,896.688,551.375,826.678,0,0,59516,0.755787,7,3,0.15625,0.279509,4.64912,0.140321,28,1125.49,0,1,0,0,0,833306,0,7644.9,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,105,31,0,0.295238,1,958.806,159.801,812.129,234.968,1002.67,0,0,75945.1,0.91963,7,4,0.112903,0.206552,4.31879,0.0971577,24,618.63,0,1,0,0,0,84245,0,802.219,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,normal_ramp,0,3600,6,105,16,0,0.152381,1,1034.62,172.438,925.375,412.5,893.621,0,0,43704.8,0.510787,7,1,0.35,0.667317,4.33718,0.0912585,24,618.63,0,1,0,0,0,593830,0,5655.39,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,106,33,0,0.311321,1,938.455,156.409,779.727,210.424,773.413,0,0,66567.3,0.969861,7,3,0.166667,0.327777,4.31941,0.103115,24,618.63,0,1,0,0,0,92666,0,874.113,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,normal_ramp,1,3600,6,106,20,0,0.188679,1,1025.65,170.942,835.95,704.45,891.503,0,0,60344.8,0.688287,7,2,0.26,0.474342,4.32648,0.0996257,24,618.63,0,1,0,0,0,994289,0,9379.97,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,170,41,0,0.241176,1,858.683,171.737,739.049,149.122,622.739,0,0,71250.5,0.9845,10,7,0.0780488,0.142218,4.2022,0.211255,28,513.2,0,1,0,0,0,267358,0,1572.63,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,stress_shock,0,3600,5,170,30,0,0.176471,1,1313.27,262.653,1087.07,607.933,944.49,0,0,55913.5,0.800111,10,1,0.306667,0.567646,4.21957,0.201545,28,513.2,0,1,0,0,0,1272013,0,7482.35,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,165,40,0,0.242424,1,962.575,192.515,799.05,179.325,727.561,0,0,69941.1,0.981056,10,4,0.15,0.285044,4.20844,0.218632,24,513.2,0,1,0,0,0,268746,0,1628.7,0,0,0,0,0
FaithfulCongestionAwareCapacited,Tokyo_Small,stress_shock,1,3600,5,165,23,0,0.139394,1,1155.13,231.026,1323.17,502.609,1014.4,0,0,60901.7,0.891333,8,2,0.226087,0.425998,4.21795,0.213622,24,513.2,0,1,0,0,0,1395049,0,8454.76,0,0,0,0,0
