solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
HybridAdaptivePredictive,Tokyo_Small,normal_wave,0,3600,6,81,22,0,0.271605,1,918.318,153.053,716,391.045,903.588,0,0,45096,0.853148,7,2,0.272727,0.510226,4.65379,0.14109,28,1125.49,0,1,0,0,0,582760,81,7194.44,6.95169e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_wave,1,3600,6,79,19,0,0.240506,1,940,156.667,988.474,414.737,833.821,0,0,46607.6,0.901806,8,1,0.315789,0.609255,4.65386,0.138556,28,1125.49,0,1,0,0,0,358762,79,4541.16,4.33669e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,0,3600,6,99,42,0,0.424242,1,940.333,156.722,750.071,398,1003.44,0,0,78231.4,0.948796,10,3,0.190476,0.340068,4.31427,0.0988011,24,618.63,0,1,0,0,0,915353,99,9245.9,9.03415e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,normal_ramp,1,3600,6,114,29,0,0.254386,1,822.138,137.023,1162.24,271.138,710.229,0,0,64373.5,0.939583,8,1,0.293103,0.526356,4.32231,0.0957669,28,618.63,0,1,0,0,0,834190,114,7317.38,7.11157e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,0,3600,5,159,47,0,0.295597,1,1174.79,234.957,1163.55,379.404,881.827,0,0,61825,0.976333,14,5,0.195745,0.347011,4.20817,0.213943,24,513.2,0,1,0,0,0,1087563,159,6839.96,6.73779e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_shock,1,3600,5,183,67,0,0.36612,1,1158.97,231.794,1224.04,290.701,756.819,0,0,69761.3,0.988278,21,8,0.191045,0.348756,4.20571,0.21283,24,513.2,0,1,0,0,0,1249079,183,6825.52,6.72339e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,0,3600,4,224,50,0,0.223214,1,899.12,224.78,780.48,320.62,753.926,0,0,48650.5,0.974167,18,8,0.15,0.285657,4.49708,0.124747,28,883.755,0,1,0,0,0,1095726,224,4891.58,4.81129e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,stress_buildup,1,3600,4,222,35,0,0.157658,1,1299.69,324.921,1442.49,428.229,768.579,0,0,39623.7,0.982222,12,4,0.178571,0.336852,4.49033,0.128066,28,883.755,0,1,0,0,0,1053248,222,4744.32,4.65616e+06,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,0,3600,60,44,31,0,0.704545,1,484.161,8.06935,236.871,305.387,1264.15,0,0,67126,0.113898,3,1,0.22434,0.509024,4.65099,0.142908,28,1125.49,0,1,0,0,0,592173,44,13458.2,1.32049e+07,0,0,0,0
HybridAdaptivePredictive,Tokyo_Small,over_fleet,1,3600,60,56,45,0,0.803571,1,493.711,8.22852,275.156,308.756,1052.95,0,0,82413.5,0.126222,3,1,0.221528,0.498392,4.63888,0.156774,28,1125.49,0,1,0,0,0,879523,56,15705.6,1.54616e+07,0,0,0,0
