seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
44,0,Tokyo_Small,eval_normal_wave,RMCA,3600,6,81,26,0.3210,1.0000,0.0000,783.3461,391.6731,0.4292,4.6601,397.9615,482.6970,1081.4771,0.5435,29.0533,26.5659,830.9788,249.0288,892.4691,148744.8594,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3210,0.6790,4.7195,1125.4863,wave,0.3897,0.7134,1.2356,0.0000,1.0000,0.0000,181.6661,28,936.3778,0.3635,0.7919,4,0,28118.4023,4.8025,0.0000,4.8025,0.3174,0.4852,0.0000,3.2960,22024.1992,13,1.2406,4.0306,1641.0248,3133.2817,873993.5000,8.2593,67346.3516,0.0000,72290
44,1,Tokyo_Small,eval_normal_wave,RMCA,3600,6,79,40,0.5063,1.0000,0.0000,719.4500,359.7250,0.4195,4.6546,215.1389,469.1707,1000.2813,0.9299,27.5240,24.8454,722.9757,270.2626,587.0759,97845.9922,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5063,0.4937,4.6903,1125.4863,wave,0.5053,0.9487,1.2479,0.0000,1.0000,0.0000,15.0826,28,937.1006,0.3718,0.7605,7,0,40011.2539,4.7468,0.0000,4.7468,0.5610,0.5123,0.0000,3.4547,15923.6553,14,1.0000,6.2635,1378.9292,3246.1885,563716.8750,8.5949,42128.0195,0.0000,46379
44,2,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,99,59,0.5960,1.0000,0.0000,614.1017,307.0508,0.4101,4.3316,245.7600,334.8462,1016.2125,0.8270,28.4555,26.6666,833.8855,246.1933,650.3636,108393.9375,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5960,0.4040,4.3165,618.6302,ramp_up_down,0.4127,0.8127,1.3009,0.0000,1.0000,0.0000,42.5175,24,549.0455,0.3046,0.4208,8,1,59956.5352,4.7576,0.0000,4.7576,0.5679,0.5006,0.0000,1.5078,4620.1045,4,1.0000,5.4073,1290.9159,3381.5090,636716.8750,12.3333,59848.4883,0.0000,64386
44,3,Tokyo_Small,eval_normal_ramp,RMCA,3600,6,114,50,0.4386,1.0000,0.0000,561.6200,280.8100,0.3692,4.3335,236.6000,341.3469,889.8505,0.7522,28.7345,26.8039,822.0781,246.4431,944.6053,157434.2031,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4386,0.5614,4.3581,618.6302,ramp_up_down,0.4778,0.8782,1.3063,0.0000,1.0000,0.0000,58.6299,28,548.9341,0.3021,0.6249,8,0,44492.5234,4.6404,0.0000,4.6404,0.3626,0.4439,0.0000,2.2656,11560.7012,12,1.0421,4.2687,1075.6747,2336.6975,931956.4375,9.6754,102759.1328,0.0000,107685
44,4,Tokyo_Small,eval_stress_shock,RMCA,3600,5,159,72,0.4528,1.0000,0.0000,629.2639,314.6320,0.4808,4.2079,261.4546,390.7606,1036.6816,0.7930,29.2357,23.8651,845.3345,63.6928,415.5912,69265.1953,1,0,0.0000,0.0000,0.0000,0.0000,0,0.4528,0.5472,4.1689,513.2000,shock_burst,0.4454,0.8647,1.2170,0.0000,1.0000,0.0000,54.1182,24,436.2808,0.4613,0.4764,8,0,74641.0781,4.6415,0.0000,4.6415,0.4330,0.4879,0.0000,2.4292,23361.3145,9,1.2339,5.1526,1560.8837,2810.0334,406015.4375,7.3522,57487.0508,0.0000,66079
44,5,Tokyo_Small,eval_stress_shock,RMCA,3600,5,183,114,0.6230,1.0000,0.0000,601.3070,200.4357,0.6334,4.1674,212.3579,369.3529,979.4898,0.9225,27.9039,25.2283,778.5887,41.4835,455.0219,75836.9766,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6230,0.3770,4.1809,513.2000,shock_burst,0.3309,0.5859,1.2249,0.0000,1.0000,0.0000,16.4599,24,439.4364,0.4849,0.4044,8,1,111661.8359,4.7268,0.0000,4.7268,0.6149,0.4748,0.0000,1.5259,14197.8262,15,1.5016,7.1130,1116.8828,3072.7253,444278.8125,5.4536,72296.4922,0.0000,83269
44,6,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,224,125,0.5580,1.0000,0.0000,662.2960,331.1480,0.5248,4.4704,226.5463,453.1167,1044.3124,0.9219,29.0975,26.2781,764.4222,34.1191,397.6473,66274.5547,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5580,0.4420,4.4506,883.7547,building_up,0.4758,0.9281,1.3037,0.0000,1.0000,0.0000,17.6838,28,764.4341,0.3624,0.6440,13,0,130539.0391,4.5357,0.0000,4.5357,0.5149,0.4418,0.0000,3.0564,51081.4805,33,1.0000,10.3721,1416.3224,4326.3267,385558.9375,5.1562,77395.3516,0.0000,89073
44,7,Tokyo_Small,eval_stress_buildup,RMCA,3600,4,222,109,0.4910,1.0000,0.0000,591.6422,295.8211,0.5454,4.4647,261.6000,358.9514,973.7639,0.7445,28.8960,25.2226,751.9205,24.8067,332.5405,55423.4219,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4910,0.5090,4.4088,883.7547,building_up,0.3539,0.6408,1.2065,0.0000,1.0000,0.0000,66.8472,28,764.7008,0.3668,0.6312,7,0,106140.2656,4.6036,0.0000,4.6036,0.4849,0.4728,0.0000,2.3831,32098.3438,21,1.0000,6.5821,1507.4818,5092.5366,322052.5000,5.4459,64721.3164,0.0000,73824
44,8,Tokyo_Small,eval_over_fleet,RMCA,3600,60,44,31,0.7045,1.0000,0.0000,513.2258,102.6452,0.0960,4.6668,315.1035,270.0000,1119.1626,0.7103,26.8000,23.2812,914.8398,345.0008,911.6591,151943.1875,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7045,0.2955,4.7473,1125.4863,wave,0.3071,0.6154,1.1947,0.0000,1.0000,0.0000,91.2709,28,934.5442,0.3644,0.7612,3,0,34694.0391,4.5909,0.0000,4.5909,0.6562,0.5367,0.0000,3.6556,18348.2227,13,1.2125,1.5073,1473.8567,1879.0339,872331.3750,3.6136,37964.3633,0.0000,40113
44,9,Tokyo_Small,eval_over_fleet,RMCA,3600,60,56,42,0.7500,1.0000,0.0000,522.8571,74.6939,0.1266,4.6645,299.7692,223.9535,1043.7234,0.6964,28.2711,23.8219,791.4982,336.5012,780.7500,130125.0000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7500,0.2500,4.6754,1125.4863,wave,0.3159,0.7284,1.2157,0.0000,1.0000,0.0000,91.0246,28,935.6744,0.3606,0.7837,5,0,43836.3828,4.3571,0.0000,4.3571,0.7671,0.4619,0.0000,2.2491,16516.6699,14,2.9119,3.2991,1495.0533,1823.0287,755370.5625,4.5179,41760.8672,0.0000,43722
