seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
43,0,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,105,58,0.5524,1.0000,0.0000,1002.2414,334.0805,0.5430,4.6541,278.9245,697.4783,1039.4218,0.7453,28.9712,26.9119,863.0358,240.1928,656.2476,109374.6016,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5524,0.4476,4.6966,1125.4863,wave,0.3103,0.5462,1.1651,0.0000,1.0000,0.0000,71.0402,28,937.7725,0.3685,0.8561,7,0,60286.4609,3.3429,0.0000,3.3429,0.4709,0.4058,0.0000,4.0963,44100.9766,45,2.0835,640638.2500,5.8952,68906
43,1,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,120,79,0.6583,1.0000,0.0000,718.7342,239.5781,0.5512,4.6490,257.4143,471.2609,1152.4609,0.8954,29.5703,27.4291,832.1573,211.3590,499.1417,83190.2812,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6583,0.3417,4.7368,1125.4863,wave,0.3188,0.5778,1.2823,0.0000,1.0000,0.0000,26.9221,28,939.3553,0.3729,0.9114,9,1,91044.4141,3.6167,0.0000,3.6167,0.6970,0.5644,0.0000,7.8294,152835.3125,68,1.7539,482746.5625,5.3500,59897
43,2,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,109,76,0.6972,1.0000,0.0000,700.9079,700.9079,0.2713,4.3287,254.9420,450.2222,1201.1373,0.9423,29.3889,27.6252,918.1266,233.3882,230.2661,38377.6758,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6972,0.3028,4.3689,618.6302,ramp_up_down,0.2899,0.5212,1.2747,0.0000,1.0000,0.0000,14.7146,28,549.6061,0.3077,0.8195,7,1,91286.4453,3.4404,0.0000,3.4404,0.7098,0.5911,0.0000,3.3812,43691.2070,35,1.6382,217137.9375,4.7156,25099
43,3,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,92,66,0.7174,1.0000,0.0000,759.1061,379.5530,0.3725,4.3349,270.7895,542.3461,1060.5590,0.7833,27.9160,26.2920,778.4353,220.2843,315.8044,52634.0586,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7174,0.2826,4.3628,618.6302,ramp_up_down,0.3286,0.5933,1.1859,0.0000,1.0000,0.0000,58.6777,24,548.4753,0.3075,0.8235,6,1,69996.8906,3.8370,0.0000,3.8370,0.6863,0.4414,0.0000,3.1635,30481.7910,32,2.4013,302169.9688,4.9022,29054
43,4,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,129,103,0.7984,1.0000,0.0000,647.5825,647.5825,0.2885,4.1966,226.4316,454.1031,994.5602,0.8785,26.7263,23.0238,773.1744,79.0503,244.8992,40816.5391,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7984,0.2016,4.2354,513.2000,shock_burst,0.3864,0.6967,1.3420,0.0000,1.0000,0.0000,27.5195,24,438.2722,0.4621,0.9004,8,0,102439.6953,4.2016,0.0000,4.2016,0.7973,0.5178,0.0000,3.5961,51042.6289,38,1.6288,234894.0938,4.5581,31592
43,5,Tokyo_Small,eval_stress_shock,MAPPO,3600,6,162,132,0.8148,1.0000,0.0000,549.6061,549.6061,0.3195,4.1818,243.3719,304.5478,957.1082,0.7865,28.6325,26.8232,750.2105,51.4948,142.3580,23726.3379,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8148,0.1852,4.1846,513.2000,shock_burst,0.3662,0.6859,1.2778,0.0000,1.0000,0.0000,51.9503,24,439.0630,0.4694,0.8554,9,0,126338.2734,3.8704,0.0000,3.8704,0.7375,0.4520,0.0000,4.0301,72320.2422,53,1.4789,134091.7500,4.4630,23062
43,6,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,206,169,0.8204,1.0000,0.0000,734.6036,367.3018,0.4140,4.4590,272.9367,454.8808,1138.8624,0.8345,28.9034,26.1683,846.8906,25.8507,227.4466,37907.7656,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8204,0.1796,4.4137,883.7547,building_up,0.3571,0.6441,1.2102,0.0000,1.0000,0.0000,45.1642,36,766.6739,0.3671,0.8351,8,0,192467.7500,4.1990,0.0000,4.1990,0.7888,0.4614,0.0000,4.8846,146598.9062,118,1.0600,216792.3750,4.1456,46854
43,7,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,202,175,0.8663,1.0000,0.0000,569.8457,569.8457,0.2672,4.4606,245.9304,326.5369,1058.8879,0.8611,28.4599,27.0769,822.8199,46.0456,116.6287,19438.1191,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8663,0.1337,4.4541,883.7547,building_up,0.3446,0.6213,1.2270,0.0000,1.0000,0.0000,34.1528,24,766.8439,0.3590,0.8717,8,0,185305.3906,4.3119,0.0000,4.3119,0.8706,0.5007,0.0000,4.0731,96778.4844,99,1.2376,106410.8125,4.0297,23559
43,8,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,49,45,0.9184,1.0000,0.0000,557.8222,92.9704,1.0082,4.6671,276.6190,276.0227,1262.2935,0.9127,28.2802,24.9168,922.0922,345.9441,634.1633,105693.8750,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9184,0.0816,4.7592,1125.4863,wave,0.3051,0.6047,1.1909,0.0000,1.0000,0.0000,24.1604,28,935.2219,0.3584,0.7897,5,0,56803.2031,3.7347,0.0000,3.7347,0.9259,0.5369,0.0000,5.1620,54077.6680,41,1.3840,606641.3750,3.3673,31074
43,9,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,57,50,0.8772,1.0000,0.0000,491.6200,98.3240,0.8940,4.6676,261.2917,239.0000,1133.8599,0.8679,28.6363,25.4574,782.2531,345.1320,708.4211,118070.1719,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8772,0.1228,4.6873,1125.4863,wave,0.4028,0.9071,1.3733,0.0000,1.0000,0.0000,34.5197,24,935.5467,0.3557,0.9105,7,0,56692.9883,3.9123,0.0000,3.9123,0.8765,0.5455,0.0000,6.3213,58979.9766,44,1.4571,681051.3125,4.0702,40380
