seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
43,0,Tokyo_Small,train,IPPO,3600,6,108,53,0.4907,1.0000,0.0000,952.9811,476.4906,0.4916,4.3367,303.8889,695.3889,1400.3544,0.9216,29.3644,26.8048,857.3212,229.3745,663.1111,110518.5156,0,0,-0.0001,1.1176,0.6931,1.7305,350,0.4907,0.5093,4.3427,618.6302,ramp_up_down,0.2020,0.3665,1.6033,0.0000,1.0000,0.0000,23.8180,28,548.3489,0.3024,0.7174,7,2,74218.7812,3.2407,0.0000,3.2407,0.6334,1.0940,0.0000,3.2631,29451.8594,22,1.7429,651878.0625,7.3704,71616
43,1,Tokyo_Small,train,FaithfulMAPPER,3600,6,119,50,0.4202,1.0000,0.0000,926.0400,463.0200,0.3923,4.3388,248.1026,762.7576,1086.1661,0.8756,29.1030,27.7142,818.7275,193.6167,960.0420,160007.0000,0,0,-0.0006,1.7618,0.6931,1.3041,352,0.4202,0.5798,4.3257,618.6302,ramp_up_down,0.2944,0.5420,1.6414,0.0000,1.0000,0.0000,30.8693,24,548.2167,0.3021,0.8621,7,0,54308.3086,2.9580,0.0000,2.9580,0.4250,0.8963,0.0000,2.7642,15749.1992,16,1.7946,945481.1250,8.5714,114245
43,2,Tokyo_Small,train,MAPPO,3600,6,108,45,0.4167,1.0000,0.0000,854.1556,427.0778,0.3886,4.3423,233.3590,650.9394,1207.7197,1.0000,29.6986,28.2515,850.9772,205.8526,688.2685,114711.4219,0,0,-0.0000,1.4720,0.6931,2.0466,351,0.4167,0.5833,4.3906,618.6302,ramp_up_down,0.1922,0.3706,1.6796,0.0000,1.0000,0.0000,0.0000,24,546.8831,0.3094,0.8953,6,1,54347.3906,3.2500,0.0000,3.2500,0.5363,1.1964,0.0000,2.3089,18143.1836,12,1.5719,675527.6250,6.6019,74333
43,3,Kyoto_Small,train,IPPO,3600,6,99,58,0.5859,1.0000,0.0000,954.2414,318.0805,0.5309,4.4806,301.3265,723.1500,1016.1642,0.6745,19.3593,17.0091,847.2199,191.2949,318.7071,53117.8438,0,0,-0.0001,0.6874,0.6931,1.3579,318,0.5859,0.4141,4.5051,495.8625,building_up,0.2367,0.4652,1.5461,0.0000,1.0000,0.0000,98.0937,24,428.1461,0.3442,0.8400,7,0,58937.5273,3.2121,0.0000,3.2121,0.5541,0.7478,0.0000,6.3022,34504.5078,29,2.3208,311793.2812,6.7980,31552
43,4,Kyoto_Small,train,FaithfulMAPPER,3600,6,124,64,0.5161,1.0000,0.0000,846.2812,423.1406,0.4936,4.4882,230.7885,672.1957,934.8015,0.8101,19.6747,17.3672,673.7579,151.1678,415.6855,69280.9141,0,0,-0.0004,0.6445,0.6931,0.8203,381,0.5161,0.4839,4.5551,495.8625,building_up,0.2381,0.4337,1.6739,0.0000,1.0000,0.0000,43.8282,24,427.5894,0.3473,0.9406,11,1,59827.2969,3.0726,0.0000,3.0726,0.5244,0.7494,0.0000,3.7160,23387.2363,28,2.8534,408440.2812,6.5968,51545
43,5,Kyoto_Small,train,MAPPO,3600,6,101,58,0.5743,1.0000,0.0000,747.2586,373.6293,0.4398,4.4845,268.7347,526.8333,1116.1746,0.8307,19.4507,17.8747,819.1367,193.9891,296.9010,49483.5000,0,0,-0.0000,1.1870,0.6931,1.5700,334,0.5743,0.4257,4.6034,495.8625,building_up,0.2540,0.4508,1.6435,0.0000,1.0000,0.0000,45.4998,24,427.5350,0.3513,0.8701,9,2,64738.1211,3.3069,0.0000,3.3069,0.6356,0.8774,0.0000,5.0391,38112.1367,36,3.6145,288778.2500,7.4752,29987
43,6,LosAngeles_Small,train,IPPO,3600,6,107,62,0.5794,1.0000,0.0000,963.9677,240.9919,0.7009,4.6521,323.3455,624.3111,1126.8352,0.6970,23.2890,21.0461,886.0073,200.7239,676.2430,112707.1641,0,0,-0.0000,1.5195,0.6931,2.0164,350,0.5794,0.4206,4.6951,944.3675,wave,0.1950,0.3582,1.8033,0.0000,1.0000,0.0000,97.9784,28,787.5483,0.3694,0.8938,9,3,69863.7812,3.2710,0.0000,3.2710,0.5259,0.9478,0.0000,5.9113,63358.0117,36,2.3764,666421.3125,6.7383,72358
43,7,LosAngeles_Small,train,FaithfulMAPPER,3600,6,124,58,0.4677,1.0000,0.0000,911.7241,911.7241,0.2294,4.6513,261.0769,680.4091,1197.8297,0.9176,24.0740,20.8653,939.9169,206.1350,330.5565,55092.7422,0,0,-0.0005,0.9265,0.6931,0.9521,416,0.4677,0.5323,4.6779,944.3675,wave,0.3671,0.6743,1.5906,0.0000,1.0000,1.0000,21.5110,28,787.3222,0.3682,1.0079,9,1,69474.1250,3.3548,0.0000,3.3548,0.4826,0.9567,0.0000,4.3088,25911.1406,29,1.2593,318762.2812,7.5968,40989
43,8,LosAngeles_Small,train,MAPPO,3600,6,94,52,0.5532,1.0000,0.0000,695.4231,347.7115,0.4254,4.6567,251.9778,469.7857,1060.7852,0.8420,23.0478,20.7074,893.5099,226.4417,359.5319,59921.9844,0,0,-0.0002,1.3504,0.6931,1.8470,283,0.5532,0.4468,4.7307,944.3675,wave,0.2029,0.3625,1.6724,0.0000,1.0000,0.0000,39.8208,24,787.4319,0.3556,0.8791,8,3,55160.8281,3.0106,0.0000,3.0106,0.4697,0.7781,0.0000,3.3078,25643.1309,20,2.2872,346519.0312,7.7128,33796
43,9,Tokyo_Small,train,IPPO,3600,6,100,50,0.5000,1.0000,0.0000,989.7600,329.9200,0.5038,4.3394,272.3171,667.0000,1199.9440,0.8813,29.4802,26.2324,845.0286,247.5145,757.9100,126318.3359,0,0,-0.0002,1.6214,0.6931,2.0521,288,0.5000,0.5000,4.3331,618.6302,ramp_up_down,0.2328,0.4165,1.6868,0.0000,1.0000,0.0000,32.3283,28,547.7472,0.3028,0.8919,8,2,59997.1992,2.8800,0.0000,2.8800,0.4691,0.7908,0.0000,2.9611,18677.8613,19,1.5885,747375.6875,8.9600,75791
