seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,actor_loss,critic_loss,entropy,adv_std,n_experiences,wallclock_ms
43,0,Tokyo_Small,train,MAPPO,3600,8,146,20,0.1370,0.3014,0.6986,1378.9000,275.7800,0.6775,-0.0000,3.2520,0.5880,1.5227,56,12468
43,1,Tokyo_Medium,train,MAPPO,3600,12,109,9,0.0826,0.4128,0.5872,1936.8889,322.8148,0.5448,-0.0000,16.0846,0.6010,2.4467,56,125124
43,2,Tokyo_Large,train,MAPPO,3600,15,109,1,0.0092,0.5596,0.4404,1869.0000,311.5000,0.4151,-0.0000,110.0384,0.6143,5.7228,86,247006
43,3,Tokyo_Small,train,MAPPO,3600,8,153,30,0.1961,0.3529,0.6471,1199.6000,239.9200,0.6625,-0.0003,1.5522,0.5878,1.1181,82,24421
43,4,Tokyo_Medium,train,MAPPO,3600,12,106,19,0.1792,0.5189,0.4811,1676.4736,239.4962,0.6302,-0.0000,19.8518,0.5966,3.2581,91,102758
43,5,Tokyo_Large,train,MAPPO,3600,15,116,6,0.0517,0.5690,0.4310,1991.1666,248.8958,0.5654,-0.0001,64.0237,0.6131,5.2646,98,385425
43,6,Tokyo_Small,train,MAPPO,3600,8,146,24,0.1644,0.3288,0.6712,1349.4166,269.8833,0.6694,-0.0001,1.6765,0.5880,1.1746,75,27841
43,7,Tokyo_Medium,train,MAPPO,3600,12,94,18,0.1915,0.5745,0.4255,1588.2222,264.7037,0.5367,-0.0000,19.3547,0.5980,2.9561,72,61104
43,8,Tokyo_Large,train,MAPPO,3600,15,102,13,0.1275,0.7157,0.2843,1540.0000,220.0000,0.4843,-0.0000,38.5995,0.6073,3.7825,108,261966
43,9,Tokyo_Small,train,MAPPO,3600,8,144,26,0.1806,0.3472,0.6528,1132.3462,226.4692,0.6744,-0.0000,3.0377,0.5879,1.3416,64,18218
43,10,Tokyo_Medium,train,MAPPO,3600,12,105,18,0.1714,0.5143,0.4857,2048.3333,256.0417,0.6909,-0.0001,14.9528,0.6020,2.9021,78,93094
43,11,Tokyo_Large,train,MAPPO,3600,15,107,9,0.0841,0.6449,0.3551,2013.0000,251.6250,0.5695,-0.0000,75.3537,0.6110,4.9973,103,200480
43,12,Tokyo_Small,train,MAPPO,3600,8,164,37,0.2256,0.3720,0.6280,1010.4324,202.0865,0.7024,-0.0000,1.6311,0.5871,1.2690,84,16877
43,13,Tokyo_Medium,train,MAPPO,3600,12,98,17,0.1735,0.5408,0.4592,1468.9412,209.8487,0.6060,-0.0000,17.5153,0.5980,3.1788,74,84361
43,14,Tokyo_Large,train,MAPPO,3600,15,120,9,0.0750,0.5750,0.4250,1692.0000,211.5000,0.5964,-0.0002,56.7019,0.6097,5.0722,93,360358
43,15,Tokyo_Small,train,MAPPO,3600,8,161,30,0.1863,0.3354,0.6646,1242.6333,248.5267,0.6856,-0.0000,2.5114,0.5856,1.3653,68,29799
43,16,Tokyo_Medium,train,MAPPO,3600,12,121,13,0.1074,0.4050,0.5950,1300.6154,216.7692,0.5722,-0.0000,15.4139,0.5979,2.4516,67,107397
43,17,Tokyo_Large,train,MAPPO,3600,15,102,11,0.1078,0.6961,0.3039,1734.1818,192.6869,0.6065,-0.0000,59.5930,0.6092,5.1645,99,409295
43,18,Tokyo_Small,train,MAPPO,3600,8,146,31,0.2123,0.3767,0.6233,1147.3871,229.4774,0.6601,-0.0001,1.9093,0.5866,1.3525,73,27595
43,19,Tokyo_Medium,train,MAPPO,3600,12,99,19,0.1919,0.5556,0.4444,1264.4210,210.7368,0.5775,-0.0000,8.9355,0.5969,2.1049,66,136029
43,20,Tokyo_Large,train,MAPPO,3600,15,96,11,0.1146,0.6875,0.3125,1712.7273,214.0909,0.5838,-0.0000,57.8133,0.6105,4.7599,100,252757
43,21,Tokyo_Small,train,MAPPO,3600,8,159,26,0.1635,0.3145,0.6855,1450.0769,290.0154,0.6874,-0.0000,1.6025,0.5871,1.2235,64,25335
43,22,Tokyo_Medium,train,MAPPO,3600,12,108,22,0.2037,0.5370,0.4630,1563.4091,223.3441,0.5941,-0.0000,7.8011,0.5974,2.0925,79,125934
43,23,Tokyo_Large,train,MAPPO,3600,15,111,8,0.0721,0.6126,0.3874,1875.2500,234.4062,0.5893,-0.0000,59.5530,0.6097,4.9252,112,376064
43,24,Tokyo_Small,train,MAPPO,3600,8,149,20,0.1342,0.2953,0.7047,1238.1500,247.6300,0.6515,-0.0000,1.6087,0.5887,1.1623,61,33840
43,25,Tokyo_Medium,train,MAPPO,3600,12,101,15,0.1485,0.5050,0.4950,1547.0667,221.0095,0.5910,-0.0000,26.0182,0.6004,3.6406,65,99294
43,26,Tokyo_Large,train,MAPPO,3600,15,91,7,0.0769,0.7363,0.2637,2230.4285,278.8036,0.5895,-0.0000,44.8459,0.6105,4.3592,105,344608
43,27,Tokyo_Small,train,MAPPO,3600,8,160,42,0.2625,0.4125,0.5875,1088.7142,217.7428,0.7134,-0.0000,3.1150,0.5869,1.5207,92,20741
43,28,Tokyo_Medium,train,MAPPO,3600,12,121,18,0.1488,0.4463,0.5537,1452.3334,207.4762,0.5935,-0.0001,19.5805,0.5987,2.8449,73,273445
43,29,Tokyo_Large,train,MAPPO,3600,15,113,11,0.0973,0.6283,0.3717,1602.5454,200.3182,0.5604,-0.0000,68.9161,0.6088,5.5537,98,283326
43,30,Tokyo_Small,train,MAPPO,3600,8,140,23,0.1643,0.3357,0.6643,1433.7826,286.7565,0.6656,-0.0000,3.8933,0.5876,1.9307,64,37324
43,31,Tokyo_Medium,train,MAPPO,3600,12,106,20,0.1887,0.5283,0.4717,1378.0000,196.8571,0.5988,-0.0000,18.2039,0.5967,3.0934,79,132599
43,32,Tokyo_Large,train,MAPPO,3600,15,94,12,0.1277,0.7128,0.2872,1680.8334,210.1042,0.5468,-0.0000,49.2887,0.6060,4.8767,97,242241
43,33,Tokyo_Small,train,MAPPO,3600,8,142,30,0.2113,0.3803,0.6197,1237.5667,247.5133,0.6584,-0.0000,1.3707,0.5866,1.1707,73,23334
43,34,Tokyo_Medium,train,MAPPO,3600,12,114,22,0.1930,0.5000,0.5000,1250.0000,208.3333,0.5667,-0.0000,9.7180,0.5979,2.6441,79,135594
43,35,Tokyo_Large,train,MAPPO,3600,15,118,11,0.0932,0.6017,0.3983,1772.8182,221.6023,0.5597,-0.0000,66.0782,0.6073,5.3726,93,315670
