seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
42,0,Tokyo_Small,train,IPPO,3600,6,114,49,0.4298,1.0000,0.0000,1106.1837,553.0919,0.4140,4.6596,284.0222,874.1860,986.5317,0.6947,29.5999,27.3918,844.0117,208.7484,594.5351,99089.1797,0,0,-0.0000,1.0706,0.6931,1.2562,549,0.4298,0.5702,4.7058,1125.4863,wave,0.0759,0.1504,1.5627,0.0000,1.0000,0.0000,86.7159,28,937.5833,0.3587,0.8077,6,4,48340.0508,4.8158,0.0000,4.8158,0.3444,0.6726,0.0000,4.5052,53654.8047,42,1.6728,581846.1250,8.2193,63219.3672,0.0000,67777
42,1,Tokyo_Small,train,FaithfulMAPPER,3600,6,102,48,0.4706,1.0000,0.0000,1033.5416,516.7708,0.3432,4.6575,261.1951,770.8421,1085.9397,0.8315,29.1141,28.0808,897.0219,221.3364,627.5980,104599.6719,0,0,-0.0026,1.2948,0.6931,0.8299,470,0.4706,0.5294,4.6798,1125.4863,wave,0.1734,0.3123,1.5979,0.0000,1.0000,0.0000,44.0072,28,937.0889,0.3655,0.7390,7,3,52125.1055,4.6078,0.0000,4.6078,0.4175,0.7477,0.0000,3.5376,34131.9062,29,2.6461,606897.9375,8.3137,58842.9453,0.0000,64015
42,2,Tokyo_Small,train,MAPPO,3600,6,107,54,0.5047,1.0000,0.0000,911.0926,455.5463,0.3955,4.6552,224.1250,756.7045,1019.3839,0.9097,29.5887,28.2658,806.9457,244.0610,457.9720,76328.6641,0,0,-0.0004,1.1454,0.6931,1.0697,501,0.5047,0.4953,4.7168,1125.4863,wave,0.1136,0.2108,1.5342,0.0000,1.0000,0.0000,20.2482,32,937.9089,0.3635,0.7967,6,3,55046.7305,4.6822,0.0000,4.6822,0.4104,0.6163,0.0000,6.7137,84479.7422,34,1.1287,439013.3438,9.3271,43866.0625,0.0000,49003
42,3,Kyoto_Small,train,IPPO,3600,6,106,54,0.5094,1.0000,0.0000,990.1852,247.5463,0.6883,4.3166,246.8478,716.8000,1101.4176,0.8924,20.0031,18.8523,830.5653,184.6836,479.5755,79929.2422,0,0,-0.0000,0.6622,0.6931,1.3026,493,0.5094,0.4906,4.3340,347.1364,ramp_up_down,0.0509,0.1250,1.5978,0.0000,1.0000,0.0000,26.5643,28,309.9314,0.3104,0.7558,7,5,59476.5547,4.6509,0.0000,4.6509,0.5643,0.9728,0.0000,3.7116,20655.2305,19,2.1663,473566.5000,6.9623,48587.5430,0.0000,50835
42,4,Kyoto_Small,train,FaithfulMAPPER,3600,6,103,45,0.4369,1.0000,0.0000,941.4445,235.3611,0.7325,4.3129,257.1250,800.5385,1122.4508,0.8731,20.0071,18.1432,797.4321,198.5962,482.3301,80388.3516,0,0,-0.0022,0.9393,0.6928,1.1028,494,0.4369,0.5631,4.3723,347.1364,ramp_up_down,0.1734,0.3123,1.6133,0.0000,1.0000,0.0000,32.6348,24,309.8072,0.3178,0.7752,7,2,50510.2852,4.7961,0.0000,4.7961,0.3729,0.7275,0.0000,2.8011,17803.0449,20,5.6239,472198.5312,7.5146,47179.7695,0.0000,49680
42,5,Kyoto_Small,train,MAPPO,3600,6,104,50,0.4808,1.0000,0.0000,739.1000,184.7750,0.7232,4.3128,242.5532,552.5435,998.5676,0.8234,19.6768,16.7763,792.5654,201.9872,484.8750,80812.5000,0,0,-0.0003,0.5347,0.6928,1.1311,494,0.4808,0.5192,4.3718,347.1364,ramp_up_down,0.1515,0.2802,1.6553,0.0000,1.0000,0.0000,42.8397,24,310.2570,0.3113,0.7574,7,3,49928.3828,4.7500,0.0000,4.7500,0.4701,0.7782,0.0000,3.9752,25009.5312,26,6.2612,475083.1250,7.4135,47935.0547,0.0000,50427
42,6,LosAngeles_Small,train,IPPO,3600,6,109,64,0.5872,1.0000,0.0000,968.5000,322.8333,0.6387,4.4999,263.6604,671.6957,1130.2312,0.8573,23.8541,21.0815,898.3566,231.7802,549.4404,91573.3906,0,0,0.0000,0.5500,0.6931,1.1513,528,0.5872,0.4128,4.4968,741.5442,building_up,0.1235,0.2222,1.5234,0.0000,1.0000,0.0000,37.6141,28,637.2650,0.3378,0.8034,8,4,72334.7969,4.8440,0.0000,4.8440,0.5490,0.8444,0.0000,4.3037,45494.1719,33,3.6120,541024.6875,7.1009,56499.7070,0.0000,59889
42,7,LosAngeles_Small,train,FaithfulMAPPER,3600,6,102,53,0.5196,1.0000,0.0000,964.9434,321.6478,0.6151,4.5008,275.5000,711.0488,1109.8765,0.8057,23.1280,20.9518,721.6492,235.7084,503.5882,83931.3750,0,0,-0.0005,0.3959,0.6923,0.9176,486,0.5196,0.4804,4.5617,741.5442,building_up,0.0946,0.1755,1.5449,0.0000,1.0000,0.0000,53.5247,28,636.8703,0.3375,0.7464,7,4,58823.4531,4.7647,0.0000,4.7647,0.5901,0.8088,0.0000,3.2036,25270.0996,27,3.7974,489749.7188,7.7549,48113.8281,0.0000,51366
42,8,LosAngeles_Small,train,MAPPO,3600,6,107,48,0.4486,1.0000,0.0000,912.0208,304.0069,0.5942,4.5050,233.1707,695.1081,1068.8572,0.9168,24.1404,21.0625,755.9061,199.9250,745.2523,124208.7266,0,0,-0.0006,0.4750,0.6924,1.0172,515,0.4486,0.5514,4.5981,741.5442,building_up,0.1301,0.2558,1.5440,0.0000,1.0000,0.0000,19.3993,24,636.4291,0.3341,0.8089,7,3,51305.1445,4.8131,0.0000,4.8131,0.4239,0.6695,0.0000,5.0274,47539.0859,27,26.6841,732644.5625,8.1963,76144.7109,0.0000,79742
42,9,Tokyo_Small,train,IPPO,3600,6,114,54,0.4737,1.0000,0.0000,1008.5370,504.2685,0.3729,4.5028,286.4445,702.9048,1180.0004,0.8239,28.4508,25.0091,784.0228,217.0009,409.2105,68201.7578,0,0,-0.0000,0.5465,0.6931,0.9683,538,0.4737,0.5263,4.5712,883.7547,building_up,0.2077,0.3740,1.5930,0.0000,1.0000,0.0000,50.4444,24,758.5661,0.3339,0.8557,8,2,63720.0234,4.7193,0.0000,4.7193,0.4699,0.7521,0.0000,3.9326,39027.1172,42,1.4536,391233.1250,7.6579,41524.3359,0.0000,46650
