seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
42,0,Tokyo_Small,train,IPPO,3600,7,88,57,0.6477,1.0000,0.0000,1056.7192,528.3596,0.3738,3.0942,301.2281,817.9403,1021.2018,0.6780,29.1581,27.1324,914.8841,271.7115,229.5455,22954.5449,0,0,-0.0001,2.9475,0.6931,0.2817,319,0.6477,0.3523,3.0969,1676.2472,uniform,0.2849,0.5193,1.6700,0.0000,1.0000,0.0000,96.9877,17,1323.8188,0.0429,1.1973,5,1,58208.5039,3.6250,0.0000,3.6250,0.5635,0.7709,0.0000,1.6718,8648.1797,42,1.0543,0.0000,0.0000,0.0000,169531.2188,17.2045,11876.3750,34.5735,20200
42,0,Tokyo_Small,train,MAPPER,3600,7,88,71,0.8068,1.0000,0.0000,645.3099,322.6549,0.3873,3.0913,290.9014,399.0625,1109.3734,0.7627,29.1581,27.1324,914.8841,271.7115,172.6932,17269.3184,0,0,-0.0028,0.5543,0.6931,0.1308,296,0.8068,0.1932,3.0933,1676.2472,uniform,0.2621,0.4770,1.6700,0.0000,1.0000,0.0000,69.0267,17,1323.7939,0.0433,1.1044,5,0,78765.5156,3.3636,0.0000,3.3636,0.7471,0.8206,0.0000,1.3230,5539.4556,40,1.1243,0.0000,0.0000,0.0000,113975.1016,9.4205,5635.3159,49.9386,15197
42,0,Tokyo_Small,train,MAPPO,3600,7,88,73,0.8295,1.0000,0.0000,779.3973,155.8795,0.7213,3.0848,263.3836,574.9630,1124.5122,0.8539,29.1581,27.1324,914.8841,271.7115,245.5568,24555.6816,0,0,-0.0003,1.7233,0.6931,0.2546,327,0.8295,0.1705,3.0881,1676.2472,uniform,0.2132,0.4066,1.6700,0.0000,1.0000,0.0000,38.4811,17,1323.8541,0.0427,1.3654,5,0,82089.3906,3.7159,0.0000,3.7159,0.7723,0.8249,0.0000,1.5945,13348.1201,93,1.7261,0.0000,0.0000,0.0000,181982.2969,14.9886,8221.6631,88.5554,21609
42,1,Tokyo_Medium,train,IPPO,3600,14,161,92,0.5714,1.0000,0.0000,1129.1848,125.4650,0.6481,3.0865,536.6630,671.6174,2074.3396,0.7731,58.0491,56.8962,1683.6952,262.0247,864.5963,43229.8125,0,0,-0.0002,0.9091,0.6931,0.3621,635,0.5714,0.4286,3.0844,3350.3521,uniform,0.2769,0.5517,1.6385,0.0000,1.0000,0.0000,121.7951,14,2625.8564,0.0274,1.0431,6,0,190839.2500,3.9441,0.0000,3.9441,0.5388,1.6352,0.0000,1.3576,13697.2461,98,1.3332,0.0000,0.0000,0.0000,778135.7500,23.4410,110934.0078,89.1059,139200
42,1,Tokyo_Medium,train,MAPPER,3600,14,161,113,0.7019,1.0000,0.0000,1048.9646,131.1206,0.6256,3.0805,508.8584,574.7710,2148.4514,0.8444,58.0491,56.8962,1683.6952,262.0247,726.6149,36330.7461,0,0,-0.0027,0.6294,0.6928,0.1179,650,0.7019,0.2981,3.0785,3350.3521,uniform,0.2314,0.4452,1.6385,0.0000,1.0000,0.0000,79.1681,14,2626.0945,0.0273,1.1018,4,0,242775.0000,4.0373,0.0000,4.0373,0.7468,1.8451,0.0000,1.3665,17875.2871,140,1.5650,0.0000,0.0000,0.0000,626281.0625,15.4472,80689.8906,125.1035,116985
42,1,Tokyo_Medium,train,MAPPO,3600,14,161,137,0.8509,1.0000,0.0000,881.3138,110.1642,0.6175,3.0787,490.0365,412.8859,2123.9502,0.8669,58.0491,56.8962,1683.6952,262.0247,607.7329,30386.6465,0,0,-0.0012,0.7459,0.6924,0.1256,590,0.8509,0.1491,3.0759,3350.3521,uniform,0.1532,0.3002,1.6385,0.0000,1.0000,0.0000,65.2465,14,2625.8887,0.0266,1.0217,4,1,290981.1875,3.6646,0.0000,3.6646,0.8981,1.8304,0.0000,1.2854,16157.0723,141,1.2916,0.0000,0.0000,0.0000,491821.1250,15.9689,54406.2461,153.8962,97845
42,2,LosAngeles_Small,train,IPPO,3600,7,96,86,0.8958,1.0000,0.0000,846.0930,211.5233,0.6312,3.0884,346.7907,521.4778,1231.4037,0.7102,23.0149,20.7510,952.2700,232.8362,280.6146,28061.4590,0,0,-0.0001,0.2471,0.6931,0.2028,380,0.8958,0.1042,3.0874,1674.7537,uniform,0.2465,0.4434,1.6428,0.0000,1.0000,0.0000,100.5100,15,1306.8406,0.0482,1.0194,7,1,105900.7188,3.9583,0.0000,3.9583,0.9114,0.9370,0.0000,1.2788,7660.9868,46,1.6135,0.0000,0.0000,0.0000,220437.1094,24.2708,14703.7998,67.2737,26939
42,2,LosAngeles_Small,train,MAPPER,3600,7,96,80,0.8333,1.0000,0.0000,726.3500,181.5875,0.6169,3.0867,298.5625,451.2069,1272.4104,0.8524,23.0149,20.7510,952.2700,232.8362,280.1875,28018.7500,0,0,-0.0019,0.3581,0.6914,0.1117,379,0.8333,0.1667,3.0864,1674.7537,uniform,0.1914,0.3518,1.6428,0.0000,1.0000,0.0000,44.0804,15,1306.9286,0.0486,1.1911,5,1,101792.8281,3.9479,0.0000,3.9479,0.9054,1.0006,0.0000,1.3493,8714.0088,68,1.4361,0.0000,0.0000,0.0000,213170.4375,13.0417,12935.9502,78.4223,26898
42,2,LosAngeles_Small,train,MAPPO,3600,7,96,89,0.9271,1.0000,0.0000,692.5056,230.8352,0.5602,3.0867,300.4045,397.4783,1252.6227,0.8340,23.0149,20.7510,952.2700,232.8362,253.6771,25367.7090,0,0,-0.0035,0.3249,0.6898,0.1186,335,0.9271,0.0729,3.0859,1674.7537,uniform,0.1629,0.3075,1.6428,0.0000,1.0000,0.0000,49.8799,15,1306.8591,0.0486,1.2410,5,1,111483.4141,3.4896,0.0000,3.4896,0.9578,0.9515,0.0000,1.3760,10309.5947,76,1.4592,0.0000,0.0000,0.0000,185021.4531,11.6042,8847.5254,92.8610,24353
42,3,LosAngeles_Medium,train,IPPO,3600,14,168,109,0.6488,1.0000,0.0000,1203.7523,120.3752,0.7788,3.0920,643.2569,572.5041,2364.3359,0.7351,45.8691,44.1290,1908.1929,245.9095,863.4286,43171.4297,0,0,-0.0001,0.5484,0.6931,0.3014,692,0.6488,0.3512,3.0901,3353.0793,uniform,0.3539,0.6819,1.6625,0.0000,1.0000,0.0000,170.3897,14,2605.0625,0.0384,1.2475,6,0,257712.6094,4.1190,0.0000,4.1190,0.6683,2.0603,0.0000,1.5895,39009.4570,108,2.2294,0.0000,0.0000,0.0000,773177.7500,25.7798,114512.4141,91.5578,145056
