seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,12,216,116,0.5370,1.0000,0.0000,963.3793,120.4224,0.7274,1.0015,294.6526,668.7342,1147.8550,0.7791,29.6924,27.1866,822.5379,156.2676,2169.4397,180786.6562,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5370,0.4630,1.0019,3.0000,flat,0.2390,0.4264,1.2575,0.0000,1.0000,0.0000,65.0816,2,0.0164,0.0119,0.4390,11,1,133151.1719,3.7130,0.0000,3.7130,0.4956,0.4767,0.0000,1.0565,1206.1940,0,4.1539,2167369.7500,6.7176,468599
42,1,Tokyo_Small,eval,MAPPO,3600,12,213,131,0.6150,1.0000,0.0000,916.3435,114.5429,0.6738,1.0004,248.4299,693.3555,1081.2158,0.8704,29.7031,27.6996,840.7281,141.6629,1451.5634,120963.6172,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6150,0.3850,1.0010,3.0000,flat,0.2771,0.5709,1.2559,0.0000,1.0000,0.0000,32.1867,2,0.0047,0.0063,0.4145,18,1,141639.2812,3.2864,0.0000,3.2864,0.5935,0.5124,0.0000,1.0466,992.0550,0,4.3344,1446005.7500,6.9343,309183
42,2,Tokyo_Small,eval,MAPPO,3600,12,206,130,0.6311,1.0000,0.0000,790.8077,131.8013,0.5737,1.0001,279.3832,544.0706,1138.1750,0.8148,29.8381,28.7128,829.6490,156.1585,1302.5098,108542.4688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6311,0.3689,1.0000,3.0000,flat,0.2376,0.4191,1.2538,0.0000,1.0000,0.0000,51.7482,2,0.0011,0.0026,0.4752,11,2,147962.7500,3.2524,0.0000,3.2524,0.6642,0.5405,0.0000,1.0528,1070.3912,0,51.0349,1298743.1250,6.2136,268317
42,3,Tokyo_Small,eval,MAPPO,3600,12,213,112,0.5258,1.0000,0.0000,799.8214,159.9643,0.4204,1.0001,222.3871,555.9500,1020.9334,0.9182,29.9282,27.9563,835.4070,155.4059,1086.1315,90510.9531,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5258,0.4742,1.0004,3.0000,flat,0.2966,0.5376,1.2441,0.0000,1.0000,0.0000,18.2004,2,0.0017,0.0032,0.4680,12,2,114344.5469,3.4178,0.0000,3.4178,0.4564,0.4428,0.0000,1.0533,995.6150,0,2.9347,1082929.6250,5.8920,231346
42,4,Tokyo_Small,eval,MAPPO,3600,12,183,119,0.6503,1.0000,0.0000,768.7479,128.1246,0.5706,1.0002,229.2700,545.5568,1094.5808,0.9548,29.5105,28.1361,829.9865,176.6719,930.3170,77526.4141,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6503,0.3497,1.0011,3.0000,flat,0.2434,0.4644,1.2699,0.0000,1.0000,0.0000,10.3538,2,0.0028,0.0040,0.4433,14,2,130255.1172,3.3005,0.0000,3.3005,0.6207,0.5106,0.0000,1.0474,1047.1433,0,2.7113,925999.3750,5.7923,170248
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,12,216,100,0.4630,1.0000,0.0000,795.2900,99.4112,0.7159,1.0005,279.0667,543.1265,1213.8605,0.8699,29.6924,27.1866,822.5379,156.2676,945.0972,78758.1016,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4630,0.5370,1.0003,3.0000,flat,0.1975,0.3590,1.2575,0.0000,1.0000,0.0000,36.2946,2,0.0078,0.0059,0.3049,9,2,121386.0469,4.7176,0.0000,4.7176,0.4196,0.4682,0.0000,1.0352,890.5149,0,4.1480,941139.2500,5.1343,204141
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,12,213,100,0.4695,1.0000,0.0000,920.5100,131.5014,0.6402,1.0004,283.8000,656.4578,1204.4191,0.8488,29.7031,27.6996,840.7281,141.6629,1011.8591,84321.5938,1,0,0.0000,0.0000,0.0000,0.0000,0,0.4695,0.5305,1.0000,3.0000,flat,0.1718,0.3040,1.2559,0.0000,1.0000,0.0000,42.9162,2,0.0047,0.0072,0.3472,8,3,120441.9062,4.7136,0.0000,4.7136,0.5021,0.5679,0.0000,1.0395,913.4202,0,5.0400,1002768.3125,5.2488,215526
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,12,206,100,0.4854,1.0000,0.0000,903.1800,150.5300,0.5689,1.0007,279.2588,588.8442,1148.8280,0.8228,29.8381,28.7128,829.6490,156.1585,1178.7524,98229.3750,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4854,0.5146,1.0003,3.0000,flat,0.2490,0.4725,1.2538,0.0000,1.0000,0.0000,49.4932,2,0.0086,0.0082,0.3611,11,1,114882.8047,4.5194,0.0000,4.5194,0.5157,0.5456,0.0000,1.0395,860.6417,0,2.6533,1171730.7500,5.2961,242823
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,12,213,114,0.5352,1.0000,0.0000,859.0877,122.7268,0.6429,1.0004,229.1170,624.8636,996.5029,0.8699,29.9282,27.9563,835.4070,155.4059,1022.1878,85182.3125,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5352,0.4648,1.0003,3.0000,flat,0.2819,0.5049,1.2441,0.0000,1.0000,0.0000,29.8165,2,0.0044,0.0055,0.4027,13,2,113601.3203,4.6714,0.0000,4.6714,0.4977,0.4743,0.0000,1.0480,1051.7140,0,4.1856,1014973.1250,5.9718,217726
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,12,183,103,0.5628,1.0000,0.0000,789.8350,98.7294,0.6704,1.0006,277.1087,531.0370,1071.1013,0.7731,29.5105,28.1361,829.9865,176.6719,929.6612,77471.7656,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5628,0.4372,1.0003,3.0000,flat,0.1988,0.3602,1.2699,0.0000,1.0000,0.0000,62.8884,2,0.0056,0.0082,0.3757,8,1,110323.4375,4.5738,0.0000,4.5738,0.5353,0.5088,0.0000,1.0431,964.8027,0,4.1482,923660.4375,5.4863,170128
42,10,Tokyo_Small,eval,TamAlwaysAccept,3600,12,216,89,0.4120,1.0000,0.0000,913.2584,114.1573,0.6886,1.0003,322.4750,632.9000,1283.7747,0.7962,29.6924,27.1866,822.5379,156.2676,556.3380,46361.4961,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4120,0.5880,1.0002,3.0000,flat,0.1763,0.3164,1.2575,0.0000,1.0000,0.0000,65.7201,2,0.0047,0.0052,0.2940,7,2,114255.9453,4.8519,0.0000,4.8519,0.4295,0.5384,0.0000,1.0339,850.1754,0,4.4530,549901.1875,4.2176,120169
