seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,8,130,61,0.4692,0.8692,0.1308,741.6393,148.3279,0.6427,1.0028,294.2745,499.2826,1223.8247,0.8318,29.6079,25.6958,906.9254,241.2281,127.5769,15947.1152,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5398,0.4602,1.0007,2.0000,flat,0.2469,0.4380,1.2342,1.2663,0.8692,0.0000,49.5096,2,0.0158,0.0230,0.3527,8,1,74653.3047,16585
42,1,Tokyo_Small,eval,MAPPO,3600,8,135,84,0.6222,0.9704,0.0296,717.6071,143.5214,0.6258,1.0001,237.8630,510.6094,1092.7477,0.9188,29.3572,26.9962,791.9152,194.3047,76.4667,9558.3330,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6412,0.3588,1.0000,2.0000,flat,0.1843,0.3270,1.2628,1.0010,0.9704,0.0000,19.3135,2,0.0006,0.0023,0.4127,9,3,91790.8047,10323
42,2,Tokyo_Small,eval,MAPPO,3600,8,129,65,0.5039,0.8992,0.1008,793.1693,198.2923,0.6073,1.0002,255.8596,543.9483,1241.7557,0.9707,29.2780,27.3966,875.9965,224.8819,88.3798,11047.4805,1,0,0.0000,0.0000,0.0000,0.0000,0,0.5603,0.4397,1.0000,2.0000,flat,0.1762,0.3258,1.2230,1.2792,0.8992,0.0000,7.5085,2,0.0014,0.0049,0.3437,8,3,80714.1250,11401
42,3,Tokyo_Small,eval,MAPPO,3600,8,117,59,0.5043,0.9402,0.0598,771.8305,192.9576,0.5426,1.0003,258.5000,571.2200,1314.6260,1.0000,29.5886,26.1836,937.2425,220.1743,179.4701,22433.7598,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5364,0.4636,1.0000,2.0000,flat,0.3443,0.6163,1.2177,1.1265,0.9402,0.0000,0.0000,2,0.0033,0.0061,0.3383,10,1,77562.9297,20998
42,4,Tokyo_Small,eval,MAPPO,3600,8,132,79,0.5985,0.9697,0.0303,824.1519,164.8304,0.6511,1.0005,238.7879,570.1865,1165.9410,0.9765,29.4076,26.1272,902.5417,215.9731,117.6364,14704.5459,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6172,0.3828,1.0028,2.0000,flat,0.3048,0.5890,1.2976,1.0738,0.9697,0.0000,5.5997,2,0.0044,0.0081,0.3282,15,1,92109.3438,15528
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,8,130,49,0.3769,0.7846,0.2154,829.8367,207.4592,0.6087,1.0001,292.8222,538.5400,1343.4639,0.9176,29.1105,25.4210,953.6919,250.3485,108.2692,13533.6543,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4804,0.5196,1.0000,2.0000,flat,0.2039,0.3679,1.2335,1.2566,0.7846,0.0000,24.1295,2,0.0006,0.0026,0.3307,6,2,65829.7266,14075
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,8,135,53,0.3926,0.6889,0.3111,927.2830,231.8208,0.6103,1.0000,308.8367,576.3542,1293.7723,0.8378,29.3013,26.3442,978.9435,272.8670,85.2000,10650.0000,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5699,0.4301,1.0000,2.0000,flat,0.1105,0.2111,1.2366,1.2959,0.6889,0.0000,50.0823,1,0.0000,0.0000,0.3098,6,3,68569.9375,11502
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,8,129,52,0.4031,0.7442,0.2558,927.7308,185.5462,0.6523,1.0001,283.2222,627.1628,1346.2523,0.9507,29.2780,27.4034,993.5493,266.6782,119.1550,14894.3799,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5417,0.4583,1.0000,2.0000,flat,0.1944,0.3680,1.2115,1.2785,0.7442,0.0000,13.9718,2,0.0006,0.0024,0.3065,7,1,70005.1172,15371
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,8,117,49,0.4188,0.7350,0.2650,949.1837,189.8367,0.6283,1.0001,356.5116,557.6279,1696.0752,0.9515,29.4716,26.1189,1112.9069,263.3499,104.5641,13070.5127,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5698,0.4302,1.0000,2.0000,flat,0.1522,0.2784,1.2056,1.2307,0.7350,0.0000,17.2966,2,0.0008,0.0035,0.2936,6,2,83107.6875,12234
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,8,132,46,0.3485,0.7424,0.2576,1012.5217,202.5043,0.7008,1.0000,389.9500,676.8605,1550.9775,0.7955,29.3355,26.3166,1060.3989,248.4355,158.9621,19870.2656,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4694,0.5306,1.0007,2.0000,flat,0.1865,0.3401,1.3108,1.2331,0.7424,0.0000,79.7545,2,0.0006,0.0019,0.2610,5,1,71344.9688,20983
42,10,Tokyo_Small,eval,Hybrid,3600,8,130,43,0.3308,0.6923,0.3077,814.5582,162.9116,0.6652,1.0001,308.4250,528.8605,1284.8762,0.8332,29.3044,24.9760,1021.9158,274.9806,112.4923,14061.5381,0,0,-0.0000,0.0000,0.0000,0.0000,407,0.4778,0.5222,1.0000,2.0000,flat,0.1687,0.3037,1.2164,1.2880,0.6923,0.0000,51.4497,2,0.0006,0.0028,0.2856,5,2,55249.6758,14624
42,11,Tokyo_Small,eval,Hybrid,3600,8,135,43,0.3185,0.5259,0.4741,936.4651,187.2930,0.6604,1.0000,338.1500,620.0732,1419.3225,0.8395,28.8285,26.3101,1109.6417,335.6917,109.1185,13639.8145,0,0,-0.0000,0.0000,0.0000,0.0000,300,0.6056,0.3944,1.0000,2.0000,flat,0.1565,0.3037,1.2585,1.2512,0.5259,0.0000,54.2855,2,0.0003,0.0028,0.2401,6,2,61030.8711,14731
42,12,Tokyo_Small,eval,Hybrid,3600,8,129,31,0.2403,0.4961,0.5039,1028.5161,205.7032,0.6280,1.0001,403.0333,611.5143,1648.8855,0.8182,29.0937,27.2294,1213.9572,354.5787,104.3256,13040.6973,0,0,-0.0000,0.0000,0.0000,0.0000,285,0.4844,0.5156,1.0000,2.0000,flat,0.0941,0.1908,1.2689,1.1891,0.4961,0.0000,73.2562,2,0.0008,0.0042,0.2205,3,2,51115.4492,13458
42,13,Tokyo_Small,eval,Hybrid,3600,8,117,39,0.3333,0.5299,0.4701,960.1539,192.0308,0.6517,1.0000,418.8108,550.0541,1933.2834,0.9232,28.4427,25.2407,1344.9908,323.3537,102.0855,12760.6836,0,0,-0.0000,0.0000,0.0000,0.0000,247,0.6290,0.3710,1.0000,2.0000,flat,0.1914,0.3616,1.2079,1.2171,0.5299,0.0000,32.1541,1,0.0000,0.0000,0.2565,5,1,75398.0547,11944
