seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,eval,MAPPO,5,0.5396,0.0596,0.9297,0.0399,769.6796,37.4738,0.6139,0.0387,1.0008,0.0010,257.0570,20.4491,539.0494,29.7277,1207.7791,74.5799,0.9396,0.0601,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,FaithfulMAPPER,5,0.3880,0.0240,0.7390,0.0305,929.3112,58.6868,0.6401,0.0342,1.0001,0.0000,326.2686,40.6091,595.3091,50.3332,1446.1083,153.0976,0.8906,0.0631,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,Hybrid,5,0.3006,0.0356,0.5640,0.0690,960.7116,86.2404,0.6556,0.0154,1.0003,0.0006,377.1638,45.3205,590.4950,43.3611,1604.9727,229.9881,0.8494,0.0376,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TamAlwaysAccept,5,0.2756,0.0376,0.4516,0.0568,860.2797,66.7297,0.6586,0.0366,1.0000,0.0000,376.9711,49.5404,537.5867,39.0354,1559.9558,158.1644,0.8319,0.0460,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,MAPPO,5,0.6380,0.0357,0.9624,0.0381,775.8247,72.7188,0.6134,0.0635,1.0003,0.0002,256.7636,33.7258,538.3137,68.2910,1158.1315,72.1891,0.9105,0.0665,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,FaithfulMAPPER,5,0.4608,0.0324,0.7843,0.0597,825.1961,16.7873,0.6589,0.0339,1.0003,0.0004,321.8924,22.7043,526.4321,26.1395,1315.3669,95.7261,0.8196,0.0622,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,Hybrid,5,0.3703,0.0210,0.6488,0.0408,859.6914,65.7553,0.6492,0.0262,1.0004,0.0003,315.9688,9.4959,551.4963,39.6613,1368.2406,70.5089,0.8657,0.0262,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,TamAlwaysAccept,5,0.3536,0.0430,0.5469,0.0527,800.5347,52.9055,0.6621,0.0303,1.0002,0.0002,324.4301,23.4214,496.1992,43.2843,1397.7310,22.2832,0.8650,0.0473,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,MAPPO,5,0.5629,0.0686,0.9216,0.0431,854.1828,74.0845,0.6613,0.0075,1.0002,0.0002,278.5935,25.6296,568.4266,49.3738,1244.4537,122.2099,0.8790,0.0893,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,FaithfulMAPPER,5,0.4293,0.0380,0.7572,0.0318,930.3615,50.2806,0.6738,0.0194,1.0003,0.0002,334.6744,33.4779,613.1763,61.2267,1355.1321,128.8045,0.8103,0.0162,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,Hybrid,5,0.3651,0.0143,0.6469,0.0292,902.8734,29.9364,0.6814,0.0065,1.0002,0.0001,332.4258,6.7750,612.2760,52.6874,1449.3342,89.0425,0.8726,0.0610,0.0000,0.0000,0.0000
42,LosAngeles_Small,eval,TamAlwaysAccept,5,0.3328,0.0402,0.5305,0.0253,880.4860,83.3111,0.6691,0.0133,1.0002,0.0001,355.8657,28.1925,538.7706,57.6253,1512.5599,114.5237,0.8508,0.0255,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,MAPPO,5,0.2706,0.0179,0.4085,0.0359,885.7748,20.8869,0.3869,0.0207,1.0001,0.0001,395.3072,28.6823,521.6407,20.1710,1617.5012,116.9366,0.8188,0.0241,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,FaithfulMAPPER,5,0.2642,0.0228,0.3602,0.0455,893.1379,46.6289,0.4028,0.0160,1.0002,0.0002,392.9360,33.9305,537.9972,26.0332,1658.8265,167.5751,0.8462,0.0752,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,Hybrid,5,0.2669,0.0269,0.3571,0.0371,879.3690,111.4253,0.3912,0.0198,1.0000,0.0000,377.1239,32.0142,525.4434,97.6668,1539.8314,202.0710,0.8145,0.0588,0.0000,0.0000,0.0000
42,Tokyo_Small,stress,TamAlwaysAccept,5,0.2854,0.0230,0.3458,0.0219,825.5220,67.8784,0.3845,0.0123,1.0002,0.0003,398.8308,50.8004,430.8663,44.0782,1572.8280,149.1120,0.7932,0.0457,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,MAPPO,5,0.3403,0.0409,0.4918,0.0474,807.5796,67.3668,0.3953,0.0168,1.0009,0.0008,354.2206,26.2867,479.4793,63.3034,1425.8746,92.1914,0.8062,0.0274,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,FaithfulMAPPER,5,0.3220,0.0256,0.4599,0.0379,780.5306,40.0099,0.3906,0.0166,1.0005,0.0007,323.4888,13.1937,497.8111,33.7281,1390.5502,54.3230,0.8605,0.0341,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,Hybrid,5,0.3271,0.0561,0.4243,0.0357,758.8923,92.8583,0.3872,0.0139,1.0009,0.0007,339.2052,23.4526,447.3906,74.7417,1390.7944,92.6898,0.8214,0.0426,0.0000,0.0000,0.0000
42,Kyoto_Small,stress,TamAlwaysAccept,5,0.3465,0.0312,0.4053,0.0437,713.7501,41.2138,0.3805,0.0130,1.0004,0.0008,317.1025,7.2616,406.6962,38.3582,1412.0853,100.0682,0.8902,0.0512,0.0000,0.0000,0.0000
42,LosAngeles_Small,stress,MAPPO,5,0.3136,0.0254,0.4778,0.0294,897.1337,68.6314,0.3985,0.0107,1.0002,0.0002,347.4867,16.0516,539.1545,38.1567,1541.2823,158.5654,0.8869,0.0796,0.0000,0.0000,0.0000
