seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,0,Tokyo_Small,eval,MAPPO,3600,8,130,53,0.4077,0.7615,0.2385,767.0944,191.7736,0.5939,1.0026,258.4792,529.9362,1167.4163,0.9033,29.3044,25.0862,922.7853,244.2870,62.1462,7768.2690,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5354,0.4646,1.0000,2.0000,flat,0.1597,0.3062,1.2482,1.2072,0.8390,0.0000,24.9959,2,0.0139,0.0225,0.3756,7,2,61873.0625,8079
42,1,Tokyo_Small,eval,MAPPO,3600,8,135,65,0.4815,0.7630,0.2370,756.3077,189.0769,0.5706,1.0004,290.5818,542.0213,1256.6868,0.8649,29.1599,26.7725,856.2305,228.3232,56.3556,7044.4443,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6311,0.3689,1.0000,2.0000,flat,0.2742,0.4916,1.2457,1.2851,0.8374,0.0000,39.2445,2,0.0022,0.0088,0.3580,9,1,81684.6406,7608
42,2,Tokyo_Small,eval,MAPPO,3600,8,129,68,0.5271,0.7752,0.2248,801.6765,200.4191,0.6247,1.0002,286.0000,562.3818,1255.7784,0.8782,29.2780,27.3147,915.5375,252.6184,62.8682,7858.5273,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6800,0.3200,1.0000,2.0000,flat,0.1639,0.2944,1.2225,1.2501,0.8403,0.0000,34.8443,2,0.0017,0.0050,0.3385,7,3,85392.9375,8110
42,3,Tokyo_Small,eval,MAPPO,3600,8,117,49,0.4188,0.8120,0.1880,940.3469,235.0867,0.5949,1.0003,348.9535,614.8864,1677.9984,0.9617,29.5886,26.1836,961.1679,248.1676,141.3419,17667.7344,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5158,0.4842,1.0000,2.0000,flat,0.2428,0.4976,1.2389,1.0972,0.8796,0.0000,13.3538,2,0.0022,0.0079,0.2943,9,1,82221.9219,16537
42,4,Tokyo_Small,eval,MAPPO,3600,8,132,63,0.4773,0.8636,0.1364,744.1111,186.0278,0.5803,1.0002,265.9286,511.4340,1195.7743,0.8993,29.3355,25.3226,939.1635,234.7627,168.7803,21097.5371,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5526,0.4474,1.0000,2.0000,flat,0.2711,0.5045,1.2958,1.2591,0.9120,0.0000,26.7737,2,0.0017,0.0058,0.3428,10,0,75333.7812,22279
42,5,Tokyo_Small,eval,FaithfulMAPPER,3600,8,130,42,0.3231,0.7385,0.2615,729.5952,182.3988,0.5139,1.0001,294.8781,528.6889,1346.6104,0.9133,29.1105,25.4210,998.4459,266.4335,175.2154,21901.9238,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4375,0.5625,1.0000,2.0000,flat,0.2091,0.3758,1.2360,1.2453,0.7442,0.0000,25.5560,2,0.0008,0.0034,0.3231,6,1,56557.6367,22778
42,6,Tokyo_Small,eval,FaithfulMAPPER,3600,8,135,50,0.3704,0.6444,0.3556,995.1200,248.7800,0.5580,1.0000,369.1555,660.2667,1366.0182,0.7401,28.2866,26.1082,1021.4100,278.0850,153.3852,19173.1484,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5747,0.4253,1.0000,2.0000,flat,0.1818,0.3370,1.2149,1.3278,0.6493,0.0000,95.9519,2,0.0003,0.0017,0.2985,6,2,68300.9062,20707
42,7,Tokyo_Small,eval,FaithfulMAPPER,3600,8,129,39,0.3023,0.7054,0.2946,936.8718,234.2179,0.5640,1.0001,333.6389,615.0263,1516.5911,0.9091,29.2780,26.8676,1026.7882,274.2310,198.0698,24758.7207,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4286,0.5714,1.0000,2.0000,flat,0.1622,0.3175,1.2251,1.2371,0.7054,0.0000,30.3207,2,0.0008,0.0042,0.2627,6,2,59147.0508,25551
42,8,Tokyo_Small,eval,FaithfulMAPPER,3600,8,117,44,0.3761,0.7265,0.2735,947.5455,236.8864,0.5662,1.0000,369.0714,531.4146,1570.8267,0.8512,28.7314,25.3067,1097.1968,240.7423,185.1880,23148.5039,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5176,0.4824,1.0000,2.0000,flat,0.1685,0.3254,1.2196,1.1926,0.7265,0.0000,54.9061,1,0.0000,0.0000,0.2740,6,2,69116.3750,21667
42,9,Tokyo_Small,eval,FaithfulMAPPER,3600,8,132,45,0.3409,0.7500,0.2500,894.3111,223.5778,0.5769,1.0001,294.1219,608.2791,1565.7739,1.0000,29.3355,26.0780,1056.8265,250.2937,187.2576,23407.1973,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4545,0.5455,1.0000,2.0000,flat,0.1942,0.3536,1.3014,1.2590,0.7557,0.0000,0.0000,2,0.0006,0.0037,0.2769,6,1,70459.8281,24718
42,10,Tokyo_Small,eval,TamAlwaysAccept,3600,8,130,36,0.2769,0.6538,0.3462,809.5278,202.3819,0.5429,1.0000,372.3055,482.0714,1546.3060,0.8307,29.3044,25.4878,1042.2188,281.5538,142.7538,17844.2305,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4235,0.5765,1.0000,2.0000,flat,0.0606,0.1361,1.2484,1.2195,0.6538,0.0000,63.0443,2,0.0003,0.0019,0.2544,4,3,55667.0195,18558
42,11,Tokyo_Small,eval,TamAlwaysAccept,3600,8,135,46,0.3407,0.5111,0.4889,804.7826,201.1956,0.5767,1.0001,328.7619,497.9767,1458.7921,0.8874,28.4309,25.5650,1129.0826,337.1526,106.8296,13353.7041,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6667,0.3333,1.0000,2.0000,flat,0.1364,0.2820,1.2433,1.2673,0.5111,0.0000,37.0035,2,0.0006,0.0035,0.2765,7,3,67104.4375,14422
42,12,Tokyo_Small,eval,TamAlwaysAccept,3600,8,129,30,0.2326,0.4651,0.5349,1040.7000,260.1750,0.5750,1.0001,410.9667,686.0000,1698.7583,0.8267,29.0937,26.4920,1250.9221,379.7629,115.1085,14388.5654,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5000,0.5000,1.0000,2.0000,flat,0.1254,0.2438,1.2428,1.2164,0.4651,0.0000,71.2150,2,0.0006,0.0029,0.2346,4,2,50962.7500,14849
42,13,Tokyo_Small,eval,TamAlwaysAccept,3600,8,117,31,0.2650,0.5043,0.4957,1013.1613,253.2903,0.5355,1.0001,441.3333,625.4062,1880.0688,0.8520,28.3884,23.6929,1341.9352,354.0277,127.2479,15905.9824,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5254,0.4746,1.0000,2.0000,flat,0.2522,0.4493,1.1846,1.2404,0.5043,0.0000,65.3196,2,0.0006,0.0037,0.2051,5,1,58282.1367,14888
42,14,Tokyo_Small,eval,TamAlwaysAccept,3600,8,132,39,0.2955,0.5455,0.4545,822.4359,205.6090,0.5597,1.0001,383.0513,471.9048,1584.2258,0.8272,29.1026,25.9341,1243.3713,323.5109,127.5152,15939.3936,0,0,0.0000,0.0000,0.0000,0.0000,0,0.5417,0.4583,1.0000,2.0000,flat,0.1962,0.3570,1.3299,1.2440,0.5455,0.0000,66.2061,2,0.0008,0.0048,0.2369,5,2,61784.8047,16832
42,15,Tokyo_Small,eval,CongestionAware,3600,8,130,40,0.3077,1.0000,0.0000,695.3250,231.7750,0.4991,1.0002,210.4706,496.0625,1144.7429,1.0000,29.6079,26.1481,839.9340,219.7594,272.5385,34067.3086,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3077,0.6923,1.0000,2.0000,flat,0.3148,0.5774,1.2384,0.0000,1.0000,0.0000,0.0000,2,0.0014,0.0065,0.4036,12,1,45789.7188,35430
42,16,Tokyo_Small,eval,CongestionAware,3600,8,135,53,0.3926,1.0000,0.0000,911.2642,227.8160,0.5730,1.0003,238.9767,664.4324,967.6038,0.8098,29.3572,26.9962,783.9375,191.9491,241.4593,30182.4082,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3926,0.6074,1.0000,2.0000,flat,0.3377,0.6232,1.2550,0.0000,1.0000,0.0000,45.4560,2,0.0019,0.0070,0.4518,12,2,51283.0039,32597
42,17,Tokyo_Small,eval,CongestionAware,3600,8,129,38,0.2946,1.0000,0.0000,780.0789,195.0197,0.5122,1.0003,216.3235,560.5455,1009.5465,0.9334,29.2780,27.4186,813.4323,200.2791,296.6434,37080.4258,0,0,0.0000,0.0000,0.0000,0.0000,0,0.2946,0.7054,1.0000,2.0000,flat,0.3361,0.6071,1.2287,0.0000,1.0000,0.0000,14.4142,2,0.0022,0.0078,0.4122,8,0,38362.7695,38267
42,18,Tokyo_Small,eval,CongestionAware,3600,8,117,54,0.4615,1.0000,0.0000,822.8519,205.7130,0.5944,1.0002,204.7317,603.4054,1237.3746,1.0000,29.5886,26.6193,896.0030,227.6813,220.5214,27565.1719,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4615,0.5385,1.0000,2.0000,flat,0.4140,0.7324,1.2122,0.0000,1.0000,0.0000,0.0000,2,0.0017,0.0053,0.4239,14,0,66818.2266,25801
42,19,Tokyo_Small,eval,CongestionAware,3600,8,132,51,0.3864,1.0000,0.0000,678.2157,169.5539,0.5929,1.0003,208.4524,462.4102,1082.0533,1.0000,29.5305,26.4191,892.4816,214.0693,220.8030,27600.3789,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3864,0.6136,1.0000,2.0000,flat,0.3393,0.6110,1.2908,0.0000,1.0000,0.0000,0.0000,2,0.0019,0.0068,0.4448,12,1,55184.7188,29146
42,20,Tokyo_Small,eval,TrafficFlow,3600,8,130,43,0.3308,1.0000,0.0000,762.4651,190.6163,0.5409,1.0005,226.5143,470.9375,1123.3141,0.9918,29.6079,26.1481,839.9340,219.7594,232.0692,29008.6543,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3308,0.6692,1.0010,2.0000,flat,0.4060,0.7359,1.2384,0.0000,1.0000,0.0000,1.8515,2,0.0028,0.0111,0.3875,13,0,48302.5039,30169
