seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,eval,MAPPO,5,0.4625,0.0440,0.7951,0.0388,801.9073,71.8293,0.5929,0.0183,1.0007,0.0009,289.9886,31.8272,552.1320,35.4806,1310.7308,186.8583,0.9015,0.0332,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,FaithfulMAPPER,5,0.3426,0.0279,0.7130,0.0373,900.6887,91.3627,0.5558,0.0218,1.0001,0.0000,332.1732,33.3771,588.7351,51.1491,1473.1641,97.4644,0.8828,0.0857,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TamAlwaysAccept,5,0.2821,0.0358,0.5360,0.0642,898.1215,105.6902,0.5579,0.0166,1.0001,0.0000,387.2838,37.8135,552.6719,86.6787,1633.6302,145.3330,0.8448,0.0233,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,CongestionAware,5,0.3686,0.0612,1.0000,0.0000,777.5471,85.5177,0.5543,0.0407,1.0003,0.0000,215.7910,12.1847,557.3712,72.6191,1088.2642,96.1434,0.9486,0.0741,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TrafficFlow,5,0.3600,0.0541,1.0000,0.0000,851.0906,82.0860,0.5502,0.0415,1.0003,0.0001,227.2469,31.6179,616.8239,91.3478,1030.2024,84.2797,0.8884,0.1291,0.0000,0.0000,0.0000
42,Tokyo_Small,eval,TokenPassing,5,0.3403,0.0614,1.0000,0.0000,883.9722,168.4144,0.5715,0.0344,1.0002,0.0001,254.6851,53.4514,666.7960,99.2840,1079.0583,99.7496,0.8499,0.1518,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,MAPPO,5,0.5151,0.0492,0.8012,0.0366,816.5095,100.1493,0.6120,0.0635,1.0003,0.0002,291.0678,29.8580,555.9713,65.2740,1203.9485,81.5933,0.8311,0.0511,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,FaithfulMAPPER,5,0.4592,0.0599,0.7716,0.0595,876.4692,93.3677,0.6499,0.0041,1.0003,0.0002,301.3715,22.9763,546.7474,74.4350,1302.0377,108.9214,0.8657,0.0595,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,TamAlwaysAccept,5,0.3984,0.0658,0.6372,0.0520,856.7963,68.6031,0.6641,0.0108,1.0006,0.0006,313.9755,36.7709,556.5505,57.2007,1381.7455,51.9790,0.8889,0.0939,0.0000,0.0000,0.0000
42,Kyoto_Small,eval,CongestionAware,5,0.4989,0.0402,1.0000,0.0000,787.8068,74.8925,0.6892,0.0294,1.0004,0.0002,249.8852,24.6781,566.3318,73.9526,1071.9089,127.0251,0.8586,0.0660,0.0000,0.0000,0.0000
