solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
TokenPassing,smoke_test,normal,0,400,6,17,2,0,0.117647,1,294,49,320,182,802.549,0,0,9673.45,0.917917,1,1,0,0,2.10686,0.120946,8,3.42,0,1,0,0,0,6486,0,378.118,0,0,0,0,0
CongestionAware,smoke_test,normal,0,400,6,17,2,0,0.117647,1,294,49,320,182,802.549,0,0,9673.45,0.917917,1,1,0,0,2.10686,0.120946,8,3.42,0,1,0,0,0,6432,0,375.294,0,0,0,0,0
FaithfulCongestionAware,smoke_test,normal,0,400,6,17,2,0,0.117647,1,294,49,354,182,802.549,0,0,9697.33,0.917917,1,1,0,0,2.10686,0.120946,8,3.42,0,1,0,0,0,1405,0,79.3529,0,0,0,0,0
TrafficFlow,smoke_test,normal,0,400,6,17,1,0,0.0588235,1,336,56,272,86,326.348,0,0,4389.39,0.919167,1,1,0,0,2.20725,0.144638,8,3.42,0,1,0,0,0,3599,0,205.941,0,0,0,0,0
RHCR,smoke_test,normal,0,400,6,17,2,0,0.117647,1,295.5,49.25,342.5,182,802.549,0,0,6976.54,0.66375,1,1,0,0,2.32128,0.127691,8,3.42,0,1,0,0,0,48769,0,2865.12,0,6,0,0,0
TokenPassing,smoke_test,normal,1,400,6,14,1,0,0.0714286,1,296,49.3333,785,145,496.548,0,0,9370.69,0.914167,1,1,0,0,2.09415,0.115611,5,3.42,0,1,0,0,0,6367,0,451.643,0,0,0,0,0
CongestionAware,smoke_test,normal,1,400,6,14,1,0,0.0714286,1,296,49.3333,785,145,496.548,0,0,9370.69,0.914167,1,1,0,0,2.09415,0.115611,5,3.42,0,1,0,0,0,5952,0,422.714,0,0,0,0,0
FaithfulCongestionAware,smoke_test,normal,1,400,6,14,1,0,0.0714286,1,296,49.3333,785,145,496.548,0,0,9370.69,0.914167,1,1,0,0,2.09415,0.115611,5,3.42,0,1,0,0,0,1099,0,75.2857,0,0,0,0,0
TrafficFlow,smoke_test,normal,1,400,6,14,1,0,0.0714286,1,334,55.6667,191,143,496.548,0,0,6321.06,0.915,1,1,0,0,2.1605,0.133329,5,3.42,0,1,0,0,0,2488,0,175.429,0,0,0,0,0
RHCR,smoke_test,normal,1,400,6,14,1,0,0.0714286,1,297,49.5,1355,145,496.548,0,0,8366.41,0.824167,1,1,0,0,2.18128,0.139087,5,3.42,0,1,0,0,0,13042,0,929.214,0,7,0,0,0
TokenPassing,smoke_test,normal,2,400,6,8,1,0,0.125,1,352,58.6667,587,62,241.547,0,0,7870.91,0.755417,1,1,0,0,2.30828,0.316452,4,3.42,0,1,0,0,0,3462,0,426,0,0,0,0,0
