solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
TokenPassing,Tokyo_Small,normal_wave,0,3600,6,115,26,0,0.226087,1,1184.62,197.436,1074.58,272.115,926.698,0,0,57202.6,0.951204,7,3,0.192308,0.36891,4.64697,0.145201,28,1125.49,0,1,0,0,0,573565,0,4987.43,0,0,0,0,0
CongestionAware,Tokyo_Small,normal_wave,0,3600,6,115,26,0,0.226087,1,1184.62,197.436,1074.58,272.115,926.698,0,0,57202.6,0.951204,7,3,0.192308,0.36891,4.64697,0.145201,28,1125.49,0,1,0,0,0,568557,0,4943.88,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,115,26,0,0.226087,1,1116.12,186.019,990.385,256.346,817.352,0,0,54521.2,0.95125,7,3,0.179487,0.34401,4.64972,0.141241,28,1125.49,0,1,0,0,0,89978,0,782.313,0,0,0,0,0
TrafficFlow,Tokyo_Small,normal_wave,0,3600,6,115,4,0,0.0347826,1,716.25,119.375,963,256.5,861.132,0,0,14426,0.955231,3,1,0.25,0.5,4.64254,0.141826,28,1125.49,0,1,0,0,0,26938,0,234.148,0,0,0,0,0
RHCR,Tokyo_Small,normal_wave,0,3600,6,115,10,0,0.0869565,1,611.4,101.9,407,204.4,763.864,0,0,20595.6,0.395093,3,1,0.16,0.316228,4.66892,0.122096,28,1125.49,0,1,0,0,0,966919,0,8407.9,0,11,0,0,0
TokenPassing,Tokyo_Small,normal_wave,1,3600,6,109,28,0,0.256881,1,1302.68,217.113,1175.29,314.75,964.498,0,0,66840.8,0.972963,9,1,0.261905,0.505076,4.64417,0.146495,28,1125.49,0,1,0,0,0,621503,0,5701.77,0,0,0,0,0
CongestionAware,Tokyo_Small,normal_wave,1,3600,6,109,28,0,0.256881,1,1302.68,217.113,1175.29,314.75,964.498,0,0,66840.8,0.972963,9,1,0.261905,0.505076,4.64417,0.146495,28,1125.49,0,1,0,0,0,607936,0,5577.3,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,109,31,0,0.284404,1,1172,195.333,1031.55,279.71,821.916,0,0,71547.9,0.972546,7,3,0.145161,0.260073,4.64176,0.150292,28,1125.49,0,1,0,0,0,112961,0,1036.25,0,0,0,0,0
TrafficFlow,Tokyo_Small,normal_wave,1,3600,6,109,0,0,0,1,0,0,0,0,0,0,0,8219.07,0.975602,0,0,0,0,4.63896,0.14848,28,1125.49,0,1,0,0,0,38282,0,351.11,0,0,0,0,0
RHCR,Tokyo_Small,normal_wave,1,3600,6,109,8,0,0.0733945,1,1295.12,215.854,898.75,396.375,1164.22,0,0,25852,0.536481,2,1,0.166667,0.353553,4.6629,0.132456,28,1125.49,0,1,0,0,0,886478,0,8132.72,0,10,0,0,0
TokenPassing,Tokyo_Small,normal_ramp,0,3600,6,105,32,0,0.304762,1,960.781,160.13,791.406,276.188,1108.26,0,0,77356.9,0.919444,7,3,0.125,0.233854,4.31849,0.0965115,24,618.63,0,1,0,0,0,474871,0,4522.49,0,0,0,0,0
CongestionAware,Tokyo_Small,normal_ramp,0,3600,6,105,32,0,0.304762,1,960.781,160.13,791.406,276.188,1108.26,0,0,77356.9,0.919444,7,3,0.125,0.233854,4.31849,0.0965115,24,618.63,0,1,0,0,0,476007,0,4533.3,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,105,31,0,0.295238,1,958.806,159.801,812.129,234.968,1002.67,0,0,75945.1,0.91963,7,4,0.112903,0.206552,4.31879,0.0971577,24,618.63,0,1,0,0,0,75236,0,716.429,0,0,0,0,0
TrafficFlow,Tokyo_Small,normal_ramp,0,3600,6,105,0,0,0,1,0,0,0,0,0,0,0,2853.16,0.922593,0,0,0,0,4.31944,0.0950507,24,618.63,0,1,0,0,0,32130,0,305.895,0,0,0,0,0
