seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
42,Tokyo_Small,train,IPPO,27,0.7652,0.1086,1.0000,0.0000,648.3702,96.5941,0.4204,0.0798,3.0411,0.0394,301.0210,28.3692,381.5962,94.1895,1188.3206,100.4809,0.7919,0.0501,-0.0006,0.3114,0.4852
42,Tokyo_Small,train,MAPPER,27,0.7272,0.0891,0.9969,0.0141,654.3975,71.8643,0.4679,0.1143,3.0406,0.0395,290.2792,25.6219,395.9481,60.0940,1200.1917,91.0901,0.8281,0.0255,-0.0018,0.1065,0.1733
42,Tokyo_Small,train,MAPPO,27,0.7572,0.1171,0.9830,0.0320,612.1105,82.8619,0.5023,0.1109,3.0393,0.0392,283.1560,22.2511,366.5713,91.8564,1199.0232,98.2846,0.8468,0.0144,-0.0010,0.0774,0.0585
42,Tokyo_Medium,train,IPPO,27,0.7311,0.0593,1.0000,0.0000,901.8097,78.4693,0.5112,0.0998,3.0548,0.0352,538.5159,30.4803,431.2478,64.4993,2185.0605,105.4733,0.8125,0.0308,-0.0005,0.3586,0.4737
42,Tokyo_Medium,train,MAPPER,27,0.6734,0.0531,0.9998,0.0011,921.4058,69.5936,0.4628,0.1176,3.0545,0.0351,526.3889,36.0268,461.4817,56.4969,2210.7683,123.7538,0.8409,0.0231,-0.0019,0.1690,0.2151
42,Tokyo_Medium,train,MAPPO,27,0.6736,0.0833,0.9882,0.0285,913.4245,80.6368,0.5978,0.1147,3.0517,0.0348,520.7089,26.4100,479.7115,98.3251,2222.3855,109.5769,0.8538,0.0120,-0.0007,0.0508,0.0507
42,LosAngeles_Small,train,IPPO,27,0.8171,0.0793,1.0000,0.0000,611.3103,91.0006,0.4439,0.0971,3.0542,0.0455,290.9468,31.6186,344.8914,70.9477,1192.5490,115.8118,0.8217,0.0374,-0.0006,0.1949,0.4787
42,LosAngeles_Small,train,MAPPER,27,0.7555,0.0781,0.9951,0.0142,651.5577,94.1053,0.4810,0.1096,3.0535,0.0460,285.2947,33.1013,393.0627,72.9052,1188.8370,132.4406,0.8344,0.0301,-0.0019,0.1054,0.1606
42,LosAngeles_Small,train,MAPPO,27,0.8060,0.1021,0.9876,0.0326,594.4363,94.3670,0.4932,0.1025,3.0525,0.0457,280.1292,24.9345,340.9338,80.0232,1198.8098,109.4834,0.8558,0.0109,-0.0011,0.0239,0.0486
42,LosAngeles_Medium,train,IPPO,27,0.7493,0.0669,1.0000,0.0000,896.3972,94.5518,0.5260,0.1073,3.0822,0.0438,545.2612,39.3945,411.7938,68.3929,2246.9900,136.9896,0.8252,0.0259,-0.0006,0.2827,0.4667
